State / Union Territory,City / town / village,SO2,NO2,PM10,PM2.5,Year,Location,Latitude,Longitude,Temperature (°C),Humidity (%),Pressure (hPa),Wind Speed (m/s),Wind Direction (°),Weather Condition,AQI_PM2.5,AQI_PM10,AQI_SO2,AQI_NO2,AQI,AQI_Category,Roads_count,Industrial_zones_count,Dump_sites_count,Agricultural_fields_count,Urban_density_score,Industrial_presence,Pollution_source_risk,Green_area_ratio,dist_nearest_road_m,dist_nearest_ind_m,dist_nearest_dump_m,dist_nearest_agri_m
Andhra Pradesh,Amaravati,14,12,55,28,2021,"Amaravati, Andhra Pradesh, India",16.494222,80.5105858,18.18,72,1014,1.21,342,clear sky,46.66666667,55,17.5,15,55,Satisfactory,2332,0,0,89,0.06,0,7,0.04,1262.873416,203151.6854,1182490.527,1278.276526
Andhra Pradesh,Anatapur,7,16,64,30,2021,"Anatapur, Andhra Pradesh, India",14.6824,77.6017,21.18,80,1014,2.95,82,clear sky,50,64,8.75,20,64,Satisfactory,5915,3,0,2,0.16,1,17.76,0,383152.0342,4063.036271,1144778.072,383883.8822
Andhra Pradesh,Chittor,5,14,46,25,2021,"Chittor, Andhra Pradesh, India",13.2162432,79.1050786,21.91,90,1014,1.85,36,overcast clouds,41.66666667,46,6.25,17.5,46,Good,1986,4,0,9,0.06,1,5.97,0,406144.4751,233224.3654,1374469.842,408297.7302
Andhra Pradesh,Eluru,5,17,63,30,2021,"Eluru, Andhra Pradesh, India",16.7104257,81.1153816,19.69,70,1014,1.55,61,clear sky,50,63,6.25,21.25,63,Satisfactory,4515,2,0,1,0.13,1,13.55,0,72410.75194,131715.0335,1217297.709,73020.27514
Andhra Pradesh,Guntur,5,17,60,29,2021,"Guntur, Andhra Pradesh, India",16.2915189,80.4541588,18.57,75,1014,1.8,359,clear sky,48.33333333,60,6.25,21.25,60,Satisfactory,7442,4,0,37,0.21,1,22.34,0,21632.85805,216498.6984,1193788.857,24125.12929
Andhra Pradesh,Kadapa,5,14,53,26,2021,"Kadapa, Andhra Pradesh, India",14.4752936,78.8216861,21.45,94,1014,1.53,110,clear sky,43.33333333,53,6.25,17.5,53,Satisfactory,3546,5,0,0,0.1,1,10.66,0,297042.3749,135350.4436,1235996.264,298826.1866
Andhra Pradesh,Kakinada,8,14,61,28,2021,"Kakinada, Andhra Pradesh, India",16.9437385,82.2350607,19.89,70,1014,2.12,12,clear sky,46.66666667,61,10,17.5,61,Satisfactory,4702,12,0,1,0.13,1,14.15,0,199193.859,4285.379593,1300769.901,200156.4101
Andhra Pradesh,Kurnool,6,15,58,26,2021,"Kurnool, Andhra Pradesh, India",15.8309251,78.0425373,19.56,72,1014,2.26,48,clear sky,43.33333333,58,7.5,18.75,58,Satisfactory,4566,13,0,13,0.13,1,13.75,0,283103.6145,144062.4514,1057963.144,281996.6769
Andhra Pradesh,Nellore,5,17,55,23,2021,"Nellore, Andhra Pradesh, India",14.4493717,79.9873763,23.43,79,1013,2.64,46,clear sky,38.33333333,55,6.25,21.25,55,Satisfactory,5208,6,0,8,0.15,1,15.65,0,240520.6603,264617.577,1315151.317,243054.5299
Andhra Pradesh,Ongole,5,17,53,18,2021,"Ongole, Andhra Pradesh, India",15.5058714,80.0499454,21.68,84,1014,3.54,10,few clouds,30,53,6.25,21.25,53,Satisfactory,3448,1,0,0,0.1,1,10.35,0,122900.8463,287971.8564,1226957.314,124974.3023
Andhra Pradesh,Rajahmundry,8,15,72,33,2021,"Rajahmundry, Andhra Pradesh, India",17.0050454,81.7804732,19.21,71,1014,2.29,32,clear sky,54.37931034,72,10,18.75,72,Satisfactory,4724,7,0,4,0.13,1,14.2,0,153970.7754,54679.22307,1255307.761,154469.2456
Andhra Pradesh,Srikakulam,9,20,77,27,2021,"Srikakulam, Andhra Pradesh, India",18.2949307,83.8938844,17.77,74,1015,2.97,332,clear sky,45,77,11.25,25,77,Satisfactory,2642,5,0,28,0.07,1,7.95,0.01,432185.069,61004.89907,1382886.154,432318.5782
Andhra Pradesh,Tirupati,6,22,51,27,2021,"Tirupati, Andhra Pradesh, India",13.6316368,79.4231711,22.05,89,1014,1.92,19,scattered clouds,45,51,7.5,27.5,51,Satisfactory,6026,3,0,33,0.17,1,18.09,0.01,348911.6647,232382.6386,1353699.352,351174.0841
Andhra Pradesh,Vijayawada,5,17,65,34,2021,"Vijayawada, Andhra Pradesh, India",16.5115306,80.6160469,18.43,70,1014,1.12,352,clear sky,56.06896552,65,6.25,21.25,65,Satisfactory,8423,14,0,77,0.23,1,25.32,0.01,12217.22479,191304.7943,1189893.679,13154.59144
Andhra Pradesh,Visakhapatnam,12,35,103,41,2021,"Visakhapatnam, Andhra Pradesh, India",17.6935526,83.2921297,20.1,88,1014,1.03,0,mist,67.89655172,102.3288591,15,43.75,102.3288591,Moderate,5988,45,0,30,0.17,1,18.14,0,340390.0303,47810.98033,1354906.34,340811.5086
Andhra Pradesh,Vizianagaram,9,19,72,27,2021,"Vizianagaram, Andhra Pradesh, India",18.1141255,83.4114389,17.49,70,1015,1.27,324,clear sky,45,72,11.25,23.75,72,Satisfactory,4533,5,0,10,0.13,1,13.62,0,375083.7244,3600.108688,1343751.184,375158.5287
Arunachal Pradesh,Itanagar,3,5,67,,2021,"Itanagar, Arunachal Pradesh, India",27.0979659,93.6237291,15.26,84,1015,1.93,336,clear sky,,67,3.75,6.25,67,Satisfactory,918,0,0,0,0.03,0,2.75,0,1834579.16,1574956.187,1932371.452,1938115.048
Arunachal Pradesh,Naharlagun,27,6,54,15,2021,"Naharlagun, Arunachal Pradesh, India",27.1308555,93.709712,15.66,85,1015,1.83,327,clear sky,25,54,33.75,7.5,54,Satisfactory,1265,0,0,0,0.04,0,3.8,0,1843678.234,1584724.249,1940689.998,1948043.309
Assam,Bongaigaon,4,11,40,,2021,"Bongaigaon, Assam, India",26.4800126,90.5580387,18.85,85,1014,1.09,38,clear sky,,40,5,13.75,40,Good,1469,1,0,0,0.04,1,4.41,0,1507344.985,1287510.283,1627023.256,1638194.328
Assam,Daranga,6,13,54,,2021,"Daranga, Assam, India",26.7851,91.5145,18.45,74,1015,1.91,10,clear sky,,54,7.5,16.25,54,Satisfactory,206,2,0,1,0.01,1,0.63,0,1606361.39,1384619.472,1716340.085,1739597.196
Assam,Dibrugarh,6,11,39,,2021,"Dibrugarh, Assam, India",27.4844597,94.9019447,21.03,94,1014,0,0,mist,,39,7.5,13.75,39,Good,2336,5,0,25,0.07,1,7.03,0.01,1972069.815,1712480.271,2060527.605,2078055.619
Assam,Golaghat,6,12,50,,2021,"Golaghat, Assam, India",26.5108262,93.9743686,18.06,95,1014,0.63,213,clear sky,,50,7.5,15,50,Good,238,4,0,1,0.01,1,0.73,0,1882270.783,1554686.105,1988760.841,1921208.642
Assam,Guwahati,26,11,114,60,2021,"Guwahati, Assam, India",26.1805978,91.753943,21.97,94,1014,0,0,mist,100,109.6375839,32.5,13.75,109.6375839,Moderate,4948,6,0,14,0.14,1,14.87,0,1645012.543,1346890.421,1764972.461,1706753.719
Assam,Magherita,6,11,41,,2021,"Magherita, Assam, India",27.2864,95.6702,17.66,88,1015,0.76,175,clear sky,,41,7.5,13.75,41,Good,89,7,0,0,0,1,0.3,0,2059244.53,1761623.272,2149307.047,2129513.979
Assam,Nagaon,6,14,101,,2021,"Nagaon, Assam, India",26.3313646,92.7524763,18.51,93,1014,1.46,141,clear sky,,101,7.5,17.5,101,Moderate,373,1,0,16,0.01,1,1.12,0.04,1751206.518,1438835.791,1864688.747,1802269.746
Assam,Nalbari,6,14,92,42,2021,"Nalbari, Assam, India",26.3533631,91.3983662,19.58,84,1014,1.33,79,clear sky,69.5862069,92,7.5,17.5,92,Satisfactory,518,0,0,0,0.01,0,1.55,0,1602198.882,1335728.207,1720569.521,1692685.096
Assam,North Lakhimpur,6,14,57,,2021,"North Lakhimpur, Assam, India",27.254431,94.1120339,17.81,80,1014,0.88,13,clear sky,,57,7.5,17.5,57,Satisfactory,366,0,0,1,0.01,0,1.1,0,1886774.162,1627963.473,1980719.562,1992115.396
Assam,Silcher,8,9,46,37,2021,"Silcher, Assam, India",24.8333,92.7789,17.27,88,1014,1.53,62,clear sky,61.13793103,46,10,11.25,61.13793103,Satisfactory,2365,8,0,0,0.07,1,7.13,0,1689864.547,1320521.533,1930839.616,1689672.372
Assam,Sivasagar,6,12,47,,2021,"Sivasagar, Assam, India",26.9834936,94.6394226,18.14,94,1014,1.18,65,clear sky,,47,7.5,15,47,Good,594,0,0,3,0.02,0,1.78,0.01,1948521.931,1649239.077,2045617.325,2015827.267
Assam,Tezpur,6,14,97,,2021,"Tezpur, Assam, India",26.6169571,92.7650072,18.12,94,1014,1.18,95,clear sky,,97,7.5,17.5,97,Satisfactory,1054,0,0,0,0.03,0,3.16,0,1747132.902,1464539.951,1855705.071,1826657.316
Assam,Tinsukia,6,11,47,,2021,"Tinsukia, Assam, India",27.4879722,95.3601855,16.03,87,1014,0.84,62,clear sky,,47,7.5,13.75,47,Good,2468,5,0,6,0.07,1,7.42,0,2022920.324,1751268.518,2110435.739,2117936.873
Bihar,Gaya,11,14,79,52,2021,"Gaya, Bihar, India",24.679389,85.0115833,12.94,88,1016,0,0,mist,86.48275862,79,13.75,17.5,86.48275862,Satisfactory,2047,4,0,47,0.06,1,6.16,0.02,994975.9175,808559.8103,1192612.393,1094342.108
Bihar,Hajipur,5,11,148,60,2021,"Hajipur, Bihar, India",25.6905702,85.2090351,15.98,82,1015,0,0,mist,100,132.2281879,6.25,13.75,132.2281879,Moderate,3679,12,0,0,0.1,1,11.08,0,960255.2615,934739.5072,1135364.469,1181850.026
Bihar,Muzaffarpur,6,13,142,80,2021,"Muzaffarpur, Bihar, India",26.1482548,85.3316097,17.48,47,1015,2.07,294,clear sky,165.862069,128.2416107,7.5,16.25,165.862069,Moderate,2976,2,0,0,0.08,1,8.94,0,953043.3206,992998.4914,1116177.527,1164334.053
Bihar,Patna,8,39,150,73,2021,"Patna, Bihar, India",25.6093239,85.1235252,15.97,82,1015,0,0,mist,141.9655172,133.557047,10,48.75,141.9655172,Moderate,10449,9,0,57,0.29,1,31.38,0.01,955360.7979,922909.5661,1133204.298,1179264.523
Chandigarh (UT),Chandigarh,6,24,98,49,2021,"Chandigarh, Chandigarh (UT), India",30.7333,76.7794,14.53,40,1016,1.66,18,clear sky,81.4137931,98,7.5,30,98,Satisfactory,11423,9,4,15,0.32,1,34.32,0,276202.8603,1715680.669,1087.405156,59753.3401
Chattisgarh,Bilaspur,8,13,71,28,2021,"Bilaspur, Chattisgarh, India",22.1638486,82.1365923,14.36,51,1016,1.89,357,clear sky,46.66666667,71,10,16.25,71,Satisfactory,1265,1,0,0,0.04,1,3.8,0,694424.0734,502661.5333,1065790.202,690780.6028
Chattisgarh,Durg-Bhillainagar,7,11,61,31,2021,"Durg-Bhillainagar, Chattisgarh, India",21.1888,81.2849,16.05,48,1016,1.03,45,clear sky,51,61,8.75,13.75,61,Satisfactory,6095,0,0,2,0.17,0,18.28,0,560190.7636,434659.8819,993283.2001,556057.5854
Chattisgarh,Korba,8,18,61,,2021,"Korba, Chattisgarh, India",22.5198217,82.6350029,12.41,56,1017,2.46,359,clear sky,,61,10,22.5,61,Satisfactory,191,2,0,0,0.01,1,0.58,0,751492.5548,532435.539,1117017.248,748116.7761
Chattisgarh,Raigarh,,,65,28,2021,"Raigarh, Chattisgarh, India",22.2361795,83.3529534,13.49,49,1016,1.37,15,clear sky,46.66666667,65,,,65,Satisfactory,4,0,0,0,0,0,0.01,0,749338.7127,491641.8633,1199525.444,746559.0606
Chattisgarh,Raipur,13,22,62,35,2021,"Raipur, Chattisgarh, India",21.2380912,81.6336993,15.89,48,1016,0.58,35,clear sky,57.75862069,62,16.25,27.5,62,Satisfactory,10619,7,0,13,0.3,1,31.88,0,573262.3869,420225.0026,1029647.483,569418.9774
Dadara & Nagar Haveli and Daman & Diu (UT),Daman,15,20,84,30,2021,"Daman, Dadara & Nagar Haveli and Daman & Diu (UT), India",20.4283,72.8397,22.15,46,1014,2.91,77,clear sky,50,84,18.75,25,84,Satisfactory,737,20,0,1,0.02,1,2.29,0,970107.504,859295.4973,331538.9233,965100.0019
