city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI
Mumbai,19.054999,72.8692035,121.12,Moderate,129.58,Moderate,390.88,Very Poor,1.52,Good,9.6,Good,191.49,Moderate,5
New Delhi,28.6138954,77.2090057,170.13,Moderate,201.91,Poor,834.69,Severe,20.15,Good,3.74,Good,72.51,Satisfactory,5
Pune,18.5213738,73.8545071,116.72,Moderate,123.54,Moderate,394.57,Very Poor,3.2,Good,4.52,Good,152.82,Moderate,5
Shrirampur,19.6199708,74.6546944,43.48,Good,49.5,Good,331.1,Very Poor,12.05,Good,7.83,Good,82.32,Satisfactory,3
Vaduj,17.5950822,74.4504661,135.4,Moderate,144.95,Moderate,490.58,Severe,9.81,Good,4.57,Good,108.63,Moderate,5
Pushkar,26.4876472,74.5578484,82.69,Satisfactory,133.85,Moderate,327.83,Very Poor,8.74,Good,3.7,Good,98.98,Satisfactory,5
Orchha,25.3528706,78.6402465,65.58,Satisfactory,72.87,Satisfactory,381.42,Very Poor,12.44,Good,2.77,Good,49.22,Good,4
Phillaur,31.018294,75.7839116,87.5,Satisfactory,110.83,Moderate,717.22,Severe,11.29,Good,5.79,Good,93.82,Satisfactory,5
Goraya,31.1208324,75.7787046,87.5,Satisfactory,110.83,Moderate,717.22,Severe,11.29,Good,5.79,Good,93.82,Satisfactory,5
Phagwara,31.2206734,75.7696463,84.45,Satisfactory,107.54,Moderate,735.63,Severe,12.67,Good,5.62,Good,88.53,Satisfactory,5
Mohali,30.7041168,76.7176885,146.79,Moderate,168.68,Moderate,941.58,Severe,12.69,Good,7.88,Good,104.19,Moderate,5
Morinda,30.7908462,76.4984505,136.95,Moderate,159.41,Moderate,901.64,Severe,13.12,Good,8.38,Good,104.82,Moderate,5
Kurali,30.8314536,76.5784763,128.95,Moderate,149.53,Moderate,887.19,Severe,11.29,Good,7.53,Good,102.1,Moderate,5
Rupnagar,30.9688367,76.526088,128.95,Moderate,149.53,Moderate,887.19,Severe,11.29,Good,7.53,Good,102.1,Moderate,5
Moga,30.8223408,75.1730967,109.17,Moderate,139.09,Moderate,917.53,Severe,15.39,Good,4.05,Good,86.52,Satisfactory,5
Pahalgam,34.0322048,75.3226479,38.66,Good,53.02,Satisfactory,638.91,Severe,22.79,Good,3.5,Good,61.79,Satisfactory,3
Ambala,30.3843674,76.770421,157.79,Moderate,185.32,Moderate,910.18,Severe,13.65,Good,8.94,Good,112.5,Moderate,5
Doraha,30.7988727,76.0372906,118.47,Moderate,142.63,Moderate,832.78,Severe,13.54,Good,7.81,Good,102.51,Moderate,5
Sriperumbudur,12.9666144,79.9458077,49.08,Good,59.36,Satisfactory,316.9,Very Poor,12.5,Good,8.99,Good,102.03,Moderate,3
