location_id,city,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
165089167,Pahalgam,4,0,4,0,0,343.9,,343.9,,
30609910,Shrirampur,324,3,11,0,0,0.0,1045.9,814.5,,
16173235,Mumbai,938,30,2,0,0,23.6,51.03,1878.86,,
125907877,Rupnagar,579,0,0,0,0,88.56,,,,
16173236,New Delhi,1205,0,0,0,3,1.5,,,,2068.8
125906063,Kurali,661,1,0,0,0,44.11,1335.88,,,
126094102,Moga,1819,1,0,0,0,28.55,1597.66,,,
16174445,Pune,1899,5,2,0,1,24.72,1355.7,1793.35,,563.07
245581303,Nanguneri,66,1,0,0,0,59.93,2216.56,,,
82799649,Orchha,48,0,1,0,0,46.82,,1195.32,,
30612110,Vaduj,112,0,0,0,0,0.76,,,,
125905496,Morinda,393,2,0,0,0,9.59,870.35,,,
245133391,Dehlon,300,1,0,0,0,2.71,1958.21,,,
103898968,Goraya,482,0,0,0,0,7.54,,,,
103907978,Phagwara,335,5,0,0,0,102.43,415.93,,,
243859333,Jagraon,609,0,0,0,0,13.69,,,,
243327628,Sriperumbudur,460,3,1,1,0,35.59,1702.44,637.33,2266.16,
82799646,Pushkar,414,1,218,0,0,7.49,437.1,7.49,,
243416825,Sahnewal,764,5,0,0,0,11.0,784.33,,,
176047379,Doraha,554,3,0,0,0,11.35,1189.58,,,
102751630,Phillaur,532,0,0,0,0,25.75,,,,
245581609,Nazareth,104,0,0,0,0,100.17,,,,
243713144,Vellore,1357,1,0,0,0,62.56,355.22,,,
176044062,Ambala,2095,3,0,0,0,34.33,1264.28,,,
243869887,Gill,1803,0,0,0,0,4.45,,,,
245580128,Nagercoil,1074,2,9,0,0,7.3,297.27,1075.01,,
125904109,Mohali,1677,4,0,0,0,16.95,867.79,,,
243327788,Poonamallee,1768,14,3,0,0,51.56,572.24,566.74,,
245582143,Kulathupuzha,61,0,1,0,0,61.31,,782.86,,
245581905,Alwarkuruchi,58,1,2,0,0,9.68,391.61,391.85,,
245581432,Thiruvananthapuram,2502,4,2,0,1,3.54,432.06,1793.39,,2021.47
245581822,Vikramasingapuram,213,1,0,0,0,24.67,1426.02,,,
245581857,Tirunelveli,657,1,0,0,0,8.74,882.42,,,
245582090,Kollam,1049,7,0,0,0,15.27,161.31,,,
245582256,Tenkasi,336,0,13,0,0,25.78,,187.76,,
245583686,Haripad,343,3,10,0,0,55.7,75.78,943.9,,
245584837,Painavu,83,0,0,0,0,73.63,,,,
245583753,Mandapam,59,0,0,0,0,19.04,,,,
245582795,Ettaiyapuram,59,1,0,0,0,49.33,1468.47,,,
245584040,Rajapalayam,711,4,1,0,0,10.84,1531.85,1683.5,,
245584065,Devipattinam,75,0,0,0,0,29.53,,,,
245585698,Theni,337,4,3,0,0,16.43,802.75,827.91,,
245582675,Vilattikulam,33,0,0,0,0,0.0,,,,
245582136,Ayoor,46,0,5,0,0,19.9,,1727.17,,
245582478,Kottarakkara,241,0,21,0,0,3.87,,117.99,,
245585726,Melur,157,0,0,0,0,0.0,,,,
245586401,Thuvarankurichchi,52,0,0,0,0,27.97,,,,
245586675,Vedasandur,244,4,0,0,0,17.05,1664.82,,,
245586200,Natham,80,2,1,0,0,0.0,2099.1,754.91,,
245584800,Thondi,129,0,0,0,0,8.96,,,,
245586161,Angamaly,575,12,6,0,0,43.26,1285.45,704.47,,
245583048,Puliyangudi,205,0,0,0,0,10.87,,,,
245586442,Muthupet,203,0,2,0,0,12.1,,1393.33,,
245583914,Sattur,302,0,1,0,0,5.68,,1076.17,,
245587450,Kilvelur,89,0,0,0,0,3.19,,,,
245585550,Usilampatti,183,0,0,0,0,16.83,,,,
245587903,Lalgudi,265,0,0,0,0,26.16,,,,
245587128,Orathanadu,185,0,0,0,0,83.16,,,,
245586306,Chinnalapatti,665,1,2,0,0,11.94,1175.59,1464.06,,
245584138,Aruppukkottai,400,0,0,0,0,17.87,,,,
245582958,Sankarankovil,582,0,0,0,0,0.0,,,,
245588416,Kodavasal,154,0,0,0,0,0.0,,,,
245585625,Muvattupuzha,476,2,60,0,0,13.26,1174.11,550.15,,
245588792,Musiri,307,0,2,0,0,2.94,,530.87,,
245584469,Virudhunagar,1067,2,1,0,0,17.57,1432.7,682.49,,
245584105,Alappuzha,1220,3,1,0,0,1.45,663.4,1641.13,,
245589070,Thottiyam,91,0,1,0,0,0.36,,448.83,,
245586959,Udumalapettai,1177,0,3,0,0,65.01,,1324.35,,
245586375,Dindigul,1590,1,0,0,0,7.63,2343.34,,,
245587589,Thanjavur,1403,0,2,0,0,38.21,,1238.2,,
245589056,Palladam,515,5,0,0,0,13.78,371.04,,,
245588836,Karur,771,0,1,0,0,27.76,,2528.27,,
245588875,Kumbakonam,1340,1,0,0,0,57.37,976.14,,,
245592033,Tittakudi,272,0,0,0,0,0.0,,,,
245590728,Sendamangalam,37,0,0,0,0,26.03,,,,
245589530,Thathaiyangarpet,76,0,0,0,0,0.0,,,,
245589987,Jayankondam,101,0,0,0,0,17.68,,,,
245593044,Veeraganur,30,0,0,0,0,63.64,,,,
245593029,Sankagiri,297,3,0,0,0,16.74,1449.6,,,
245589617,Ariyalur,303,2,0,0,0,72.29,1536.12,,,
