location_id,city,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m
16173235,Mumbai,19.054999,72.8692035,121.12,Moderate,129.58,Moderate,390.88,Very Poor,1.52,Good,9.6,Good,191.49,Moderate,5,28.02,42,2.57,330,1766499058,938.0,30.0,2.0,0.0,0.0,23.6,51.03,1878.86,,
16173236,New Delhi,28.6138954,77.2090057,170.13,Moderate,201.91,Poor,834.69,Severe,20.15,Good,3.74,Good,72.51,Satisfactory,5,16.07,77,2.06,260,1766499002,1205.0,0.0,0.0,0.0,3.0,1.5,,,,2068.8
16174445,Pune,18.5213738,73.8545071,116.72,Moderate,123.54,Moderate,394.57,Very Poor,3.2,Good,4.52,Good,152.82,Moderate,5,22.45,34,1.69,106,1766498794,1899.0,5.0,2.0,0.0,1.0,24.72,1355.7,1793.35,,563.07
30609910,Shrirampur,19.6199708,74.6546944,43.48,Good,49.5,Good,331.1,Very Poor,12.05,Good,7.83,Good,82.32,Satisfactory,3,20.4,35,1.75,66,1766499058,324.0,3.0,11.0,0.0,0.0,0.0,1045.9,814.5,,
30612110,Vaduj,17.5950822,74.4504661,135.4,Moderate,144.95,Moderate,490.58,Severe,9.81,Good,4.57,Good,108.63,Moderate,5,21.15,29,2.28,67,1766499058,112.0,0.0,0.0,0.0,0.0,0.76,,,,
82799646,Pushkar,26.4876472,74.5578484,82.69,Satisfactory,133.85,Moderate,327.83,Very Poor,8.74,Good,3.7,Good,98.98,Satisfactory,5,18.37,33,2.8,347,1766499058,414.0,1.0,218.0,0.0,0.0,7.49,437.1,7.49,,
82799649,Orchha,25.3528706,78.6402465,65.58,Satisfactory,72.87,Satisfactory,381.42,Very Poor,12.44,Good,2.77,Good,49.22,Good,4,18.87,46,1.89,4,1766499058,48.0,0.0,1.0,0.0,0.0,46.82,,1195.32,,
102751630,Phillaur,31.018294,75.7839116,87.5,Satisfactory,110.83,Moderate,717.22,Severe,11.29,Good,5.79,Good,93.82,Satisfactory,5,16.24,49,3.67,297,1766499058,532.0,0.0,0.0,0.0,0.0,25.75,,,,
103898968,Goraya,31.1208324,75.7787046,87.5,Satisfactory,110.83,Moderate,717.22,Severe,11.29,Good,5.79,Good,93.82,Satisfactory,5,16.31,49,3.61,295,1766498986,482.0,0.0,0.0,0.0,0.0,7.54,,,,
103907978,Phagwara,31.2206734,75.7696463,84.45,Satisfactory,107.54,Moderate,735.63,Severe,12.67,Good,5.62,Good,88.53,Satisfactory,5,16.32,49,3.54,295,1766498804,335.0,5.0,0.0,0.0,0.0,102.43,415.93,,,
