state,district,location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.6,µg/m³,2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,9.27,µg/m³,2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,10.4,µg/m³,2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,10.4,µg/m³,2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,10.4,µg/m³,2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,9.84,µg/m³,2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.0,µg/m³,2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.0,µg/m³,2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.0,µg/m³,2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.8,µg/m³,2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.6,µg/m³,2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,11.74,µg/m³,2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,12.2,µg/m³,2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,12.2,µg/m³,2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,12.2,µg/m³,2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,9.2,µg/m³,2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,8.79,µg/m³,2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,7.4,µg/m³,2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,7.4,µg/m³,2025-11-24T19:45:00Z,2025-11-25T01:15:00+05:30,12.88925,74.853
Karnataka,Mangaluru,44513,"Kadri, Mangalore - KSPCB",12236497,pm25,pm25,PM2.5,7.4,µg/m³,2025-11-24T20:00:00Z,2025-11-25T01:30:00+05:30,12.88925,74.853
