state,district,location_id,location_name,sensor_id,parameter,parameter_original,parameter_display,value,unit,datetime_utc,datetime_local,latitude,longitude
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.72,ppb,2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.1,ppb,2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.1,ppb,2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.2,ppb,2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.2,ppb,2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.41,ppb,2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.2,ppb,2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.1,ppb,2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.1,ppb,2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.52,ppb,2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.31,ppb,2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.82,ppb,2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.2,ppb,2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.0,ppb,2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.1,ppb,2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.21,ppb,2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,23.7176342,92.7192841
Mizoram,Aizawl,7880,"Sikulpuikawn, Aizawl - Mizoram PCB",12236265,no2,no2,NO₂,0.31,ppb,2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,23.7176342,92.7192841
