city,country,latitude,longitude,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,temperature,humidity,wind_speed,wind_deg,timestamp
Accra,GH,5.58389,-0.19968,1.36,Good,2.21,Good,128.83,Unhealthy,0.11,Good,0.34,Good,23.33,Good,1,30.16,70,5.66,180,2025-12-11T14:42:32
Accra,GH,5.58165,-0.19898,1.36,Good,2.21,Good,128.83,Unhealthy,0.11,Good,0.34,Good,23.33,Good,1,30.16,70,5.66,180,2025-12-11T14:42:32
Fort Christiansborg,GH,5.5401139,-0.2103972,1.49,Good,2.38,Good,129.75,Unhealthy,0.17,Good,0.61,Good,24.54,Good,1,30.28,70,5.66,180,2025-12-11T14:49:45
Accra,GH,5.570722,-0.2120555,1.49,Good,2.38,Good,129.75,Unhealthy,0.17,Good,0.61,Good,24.54,Good,1,30.32,70,5.66,180,2025-12-11T14:42:32
Accra,GH,5.567833,-0.2040278,1.49,Good,2.38,Good,129.75,Unhealthy,0.17,Good,0.61,Good,24.54,Good,1,30.25,70,5.66,180,2025-12-11T14:49:45
Accra,GH,5.566722,-0.2077778,1.49,Good,2.38,Good,129.75,Unhealthy,0.17,Good,0.61,Good,24.54,Good,1,30.32,70,5.66,180,2025-12-11T14:42:32
Medina Estates,GH,5.6335571,-0.1651875,1.53,Good,2.44,Good,129.03,Unhealthy,0.17,Good,0.61,Good,24.84,Good,1,29.99,70,5.66,180,2025-12-11T14:49:45
Medina Estates,GH,5.6408995,-0.1695437,1.53,Good,2.44,Good,129.03,Unhealthy,0.17,Good,0.61,Good,24.84,Good,1,30.01,70,5.66,180,2025-12-11T14:49:45
Medina Estates,GH,5.6408137,-0.1579063,1.53,Good,2.44,Good,129.03,Unhealthy,0.17,Good,0.61,Good,24.84,Good,1,29.99,70,5.66,180,2025-12-11T14:49:45
Nawābganj,IN,26.519,80.233,97.48,Unhealthy,130.04,Moderate,535.37,Unhealthy,12.32,Good,4.34,Good,63.4,Moderate,5,17.64,29,0.9,291,2025-12-11T14:49:45
Pitampura,IN,28.744,77.12,86.93,Unhealthy,177.14,Unhealthy,741.7,Unhealthy,39.34,Good,8.46,Good,35.66,Good,5,17.06,59,0.0,0,2025-12-11T14:49:45
Villa Urquiza,AR,-34.56,-58.506,17.2,Moderate,18.19,Good,192.3,Unhealthy,0.59,Good,0.31,Good,66.51,Moderate,2,28.09,59,4.63,280,2025-12-11T14:41:00
Pālam,IN,28.56,77.094,87.73,Unhealthy,167.15,Unhealthy,739.99,Unhealthy,37.4,Good,8.56,Good,42.62,Good,5,17.01,59,0.0,0,2025-12-11T14:49:45
Delhi,IN,28.6787,77.2262,97.17,Unhealthy,193.95,Unhealthy,823.38,Unhealthy,44.7,Good,10.01,Good,31.61,Good,5,17.06,59,0.0,0,2025-12-11T14:49:45
Asian Games Village,IN,28.563262,77.186937,87.73,Unhealthy,167.15,Unhealthy,739.99,Unhealthy,37.4,Good,8.56,Good,42.62,Good,5,17.01,59,0.0,0,2025-12-11T14:49:45
Hanoi,VN,21.048,105.8,130.3,Unhealthy,144.77,Moderate,671.54,Unhealthy,13.22,Good,5.19,Good,30.83,Good,5,21.01,83,1.54,360,2025-12-11T14:41:01
Ulaanbaatar,MN,47.929732,106.888629,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-27.34,69,1.0,0,2025-12-11T14:49:45
Beijing Municipality,CN,39.95,116.47,21.36,Moderate,29.85,Good,398.81,Unhealthy,28.85,Good,27.85,Good,41.15,Good,2,-2.01,50,3.0,140,2025-12-11T14:49:45
Bangshal,BD,23.728,90.398,201.34,Unhealthy,220.31,Unhealthy,899.59,Unhealthy,13.14,Good,4.14,Good,62.98,Moderate,5,19.98,60,1.54,300,2025-12-11T14:41:00
Ulaanbaatar Hot,MN,47.913429,106.99790699999998,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-27.14,69,1.0,0,2025-12-11T14:49:45
Tanglin Halt,SG,1.298,103.78,9.21,Good,10.3,Good,205.36,Unhealthy,1.1,Good,0.21,Good,13.15,Good,1,27.12,84,1.54,60,2025-12-11T14:49:45
Santiago,CL,-33.464142,-70.660797,3.95,Good,6.51,Good,86.64,Unhealthy,0.61,Good,0.34,Good,43.92,Good,1,21.8,55,1.03,0,2025-12-11T14:49:45
Talcahuano,CL,-36.737202,-73.104427,1.22,Good,3.51,Good,69.4,Unhealthy,0.05,Good,0.51,Good,25.22,Good,1,18.02,68,2.57,240,2025-12-11T14:49:45
Concón,CL,-32.924568,-71.515399,2.57,Good,6.42,Good,70.25,Unhealthy,0.14,Good,0.51,Good,28.38,Good,1,20.85,54,4.28,291,2025-12-11T14:49:45
Zbarz,PL,52.16077306,21.03916667,4.53,Good,6.1,Good,210.37,Unhealthy,14.22,Good,5.06,Good,31.15,Good,1,9.22,84,5.14,260,2025-12-11T14:49:45
Ulaanbaatar Hot,MN,47.9329056,106.9213833,0.5,Good,0.77,Good,133.59,Unhealthy,1.25,Good,0.27,Good,67.17,Moderate,2,-27.1,69,1.0,0,2025-12-11T14:49:45
Wekerom,NL,52.11162100019676,5.708418999868416,6.44,Good,11.44,Good,197.99,Unhealthy,19.32,Good,1.43,Good,30.52,Good,1,8.99,85,3.6,180,2025-12-11T14:49:45
Haidian,CN,40.01,116.333,24.55,Moderate,33.59,Good,436.89,Unhealthy,33.64,Good,32.08,Good,35.31,Good,2,-2.07,26,3.81,155,2025-12-11T14:49:45
