state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T05:15:00Z,2025-11-25T10:45:00+05:30,27.103358,93.679645,21.72,41.0,4.89,0.16,6.78,5.06,32.63,45.61,0.38,103.26
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T05:30:00Z,2025-11-25T11:00:00+05:30,27.103358,93.679645,21.27,41.0,4.8,0.18,6.71,5.14,32.8,45.52,0.53,122.06
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T05:45:00Z,2025-11-25T11:15:00+05:30,27.103358,93.679645,19.26,41.0,4.82,0.16,6.71,5.02,32.13,46.49,0.41,173.91
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T06:00:00Z,2025-11-25T11:30:00+05:30,27.103358,93.679645,19.4,45.64,4.85,0.16,6.78,5.06,32.29,46.45,0.44,120.52
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T06:15:00Z,2025-11-25T11:45:00+05:30,27.103358,93.679645,33.64,58.0,4.85,0.16,6.8,5.11,32.24,46.55,0.93,217.15
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T06:30:00Z,2025-11-25T12:00:00+05:30,27.103358,93.679645,30.69,58.0,4.83,0.17,6.69,5.06,30.49,49.67,0.84,172.53
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T06:45:00Z,2025-11-25T12:15:00+05:30,27.103358,93.679645,33.64,58.0,4.85,0.15,6.73,5.03,32.21,45.96,0.43,108.5
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T07:15:00Z,2025-11-25T12:45:00+05:30,27.103358,93.679645,44.66,77.0,4.9,0.16,6.86,5.14,32.34,44.94,0.32,147.87
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T07:30:00Z,2025-11-25T13:00:00+05:30,27.103358,93.679645,40.31,77.0,4.93,0.15,6.86,5.12,32.54,43.21,0.38,163.69
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T07:45:00Z,2025-11-25T13:15:00+05:30,27.103358,93.679645,40.71,77.0,4.93,0.15,6.83,5.12,32.51,43.65,0.4,121.23
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T08:00:00Z,2025-11-25T13:30:00+05:30,27.103358,93.679645,34.99,77.0,4.93,0.15,6.86,5.14,32.83,43.44,0.59,122.84
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T08:15:00Z,2025-11-25T13:45:00+05:30,27.103358,93.679645,1.16,0.0,4.91,0.16,6.86,5.14,33.37,42.82,0.41,128.16
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T08:30:00Z,2025-11-25T14:00:00+05:30,27.103358,93.679645,0.0,0.0,4.93,0.16,6.86,5.14,33.06,43.55,0.37,234.89
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T08:45:00Z,2025-11-25T14:15:00+05:30,27.103358,93.679645,1.16,0.0,4.93,0.16,6.86,5.14,33.34,43.04,0.4,132.73
Arunachal Pradesh,Itanagar,223146,"Naharlagun, Naharlagun - APSPCB",2025-11-25T09:00:00Z,2025-11-25T14:30:00+05:30,27.103358,93.679645,21.17,71.0,4.93,0.17,6.86,5.14,31.34,46.68,0.27,164.43
