state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,24.82827,92.79525,48.54,79.69,14.61,0.95,4.54,1.8,21.85,76.66,0.36,359.28
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,24.82827,92.79525,48.54,79.69,15.26,0.99,3.52,1.82,20.35,79.41,0.38,5.92
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,24.82827,92.79525,51.61,85.86,14.59,0.99,3.69,1.7,20.36,79.15,0.44,5.5
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,24.82827,92.79525,54.69,92.32,14.94,0.86,3.52,1.75,20.36,78.95,0.23,62.17
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,24.82827,92.79525,54.69,92.32,14.16,0.76,3.64,1.8,20.36,78.83,0.09,170.74
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,24.82827,92.79525,54.69,92.32,14.17,0.92,3.27,2.04,20.35,78.86,0.05,250.63
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,24.82827,92.79525,49.32,85.76,14.5,0.51,3.67,1.66,20.36,78.75,0.13,175.14
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,24.82827,92.79525,43.94,78.91,14.1,0.96,3.57,1.63,20.36,78.56,0.15,70.34
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,24.82827,92.79525,43.94,78.91,14.86,0.73,3.6,1.76,20.36,78.49,0.17,218.69
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,24.82827,92.79525,43.94,78.91,0.0,1.24,3.22,1.47,20.35,78.82,0.25,124.85
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,24.82827,92.79525,40.18,78.65,14.67,0.82,3.51,1.62,20.36,78.65,0.09,94.72
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,24.82827,92.79525,36.42,78.37,15.55,0.75,3.63,1.79,19.06,81.48,0.27,345.64
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,24.82827,92.79525,36.42,78.37,16.7,0.81,3.76,1.63,18.35,82.08,0.32,6.29
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,24.82827,92.79525,36.42,78.37,16.45,1.0,4.07,1.63,18.35,81.92,0.39,18.95
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,24.82827,92.79525,43.8,83.16,16.32,0.74,4.25,1.59,18.34,82.07,0.36,18.54
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,24.82827,92.79525,51.19,88.17,16.53,1.06,3.97,1.46,18.35,81.99,0.45,63.84
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,24.82827,92.79525,51.19,88.17,16.5,0.85,4.29,1.56,18.34,82.37,0.89,96.8
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,24.82827,92.79525,51.19,88.17,16.49,0.62,4.19,1.44,18.35,82.66,1.07,96.47
Assam,Silchar,3409391,"Tarapur, Silchar - PCBA",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,24.82827,92.79525,46.45,90.75,16.43,1.09,4.67,1.56,18.35,83.32,0.95,96.09
