state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,25.265194,87.012947,77.0,145.0,5.8,1.1,30.0,37.4,19.4,77.0,1.0,140.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,25.265194,87.012947,78.0,157.0,6.3,1.08,29.7,22.5,19.2,79.0,0.8,140.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,25.265194,87.012947,78.0,157.0,6.0,1.15,31.1,19.1,18.9,79.0,0.9,130.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,25.265194,87.012947,78.0,157.0,6.0,1.13,30.9,15.0,18.7,80.0,1.1,139.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,25.265194,87.012947,83.0,161.0,5.7,1.12,30.7,15.7,18.6,81.0,1.1,134.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,25.265194,87.012947,83.0,163.0,5.8,1.12,30.6,16.5,18.6,81.0,1.0,189.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,25.265194,87.012947,83.0,163.0,5.9,1.12,30.5,28.3,18.5,81.0,0.9,150.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,25.265194,87.012947,83.0,163.0,5.9,1.15,31.2,26.5,18.5,82.0,1.0,159.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,25.265194,87.012947,86.0,168.0,6.4,1.41,37.6,23.5,18.4,82.0,0.8,150.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,25.265194,87.012947,86.0,170.0,6.7,1.61,42.8,21.2,18.3,81.0,0.9,164.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,25.265194,87.012947,86.0,170.0,6.4,1.8,47.3,24.6,18.3,79.0,0.9,147.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,25.265194,87.012947,86.0,170.0,6.1,1.85,48.7,23.2,18.2,80.0,1.0,144.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,25.265194,87.012947,86.0,176.0,6.3,1.91,50.0,29.6,18.1,80.0,0.9,180.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,25.265194,87.012947,86.0,179.0,6.4,1.95,50.9,35.4,18.1,79.0,0.8,282.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,25.265194,87.012947,86.0,179.0,6.6,1.97,51.3,47.5,18.4,78.0,0.9,264.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,25.265194,87.012947,86.0,179.0,6.1,1.99,51.9,51.1,18.6,78.0,1.0,256.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,25.265194,87.012947,79.0,156.0,6.0,2.02,52.6,50.2,18.7,78.0,1.0,246.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,25.265194,87.012947,78.0,144.0,5.4,2.05,53.3,45.3,18.5,79.0,0.8,270.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,25.265194,87.012947,78.0,144.0,5.7,2.08,54.2,42.2,18.2,80.0,0.9,272.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,25.265194,87.012947,78.0,144.0,5.5,2.11,54.7,40.6,18.2,80.0,1.1,256.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,25.265194,87.012947,73.0,134.0,6.0,1.47,39.0,55.1,18.1,78.0,1.5,247.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,25.265194,87.012947,73.0,133.0,3.7,1.21,32.9,52.8,18.1,77.0,1.5,243.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,25.265194,87.012947,73.0,133.0,7.0,1.24,33.5,53.0,18.0,76.0,1.4,239.0
Bihar,Bhagalpur,270721,"Mayaganj, Bhagalpur - BSPCB",2025-11-24T19:45:00Z,2025-11-25T01:15:00+05:30,25.265194,87.012947,73.0,133.0,5.6,1.25,33.8,53.6,18.0,76.0,1.3,251.0
