state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,21.185571,81.343175,39.79,56.17,6.43,0.57,5.11,10.6,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,21.185571,81.343175,39.79,56.17,6.54,0.59,6.22,9.89,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,21.185571,81.343175,39.79,56.17,6.43,0.59,6.33,9.98,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,21.185571,81.343175,45.2,65.37,7.33,0.59,6.45,9.41,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,21.185571,81.343175,47.9,69.74,6.43,0.57,6.47,10.73,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,21.185571,81.343175,47.9,69.74,,0.57,6.18,,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,21.185571,81.343175,47.9,69.74,6.43,0.57,6.33,9.37,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,21.185571,81.343175,52.07,76.56,6.43,0.57,6.42,8.81,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,21.185571,81.343175,54.15,156.16,6.43,0.58,6.16,9.65,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,21.185571,81.343175,54.15,171.38,6.43,0.59,6.17,9.62,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,21.185571,81.343175,54.15,171.38,6.43,0.56,6.64,9.15,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,21.185571,81.343175,,,,,6.75,,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,21.185571,81.343175,49.31,0.0,6.43,0.57,6.68,10.23,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,21.185571,81.343175,49.31,0.0,6.43,0.58,7.13,10.32,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,21.185571,81.343175,49.31,0.0,6.43,0.58,7.78,8.94,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,21.185571,81.343175,50.08,93.62,6.43,0.57,9.14,9.5,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,21.185571,81.343175,50.47,93.62,6.43,0.59,9.66,10.31,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,21.185571,81.343175,50.47,93.62,6.43,0.59,6.72,10.08,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,21.185571,81.343175,50.47,93.62,6.43,0.57,5.41,10.65,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,21.185571,81.343175,47.76,83.94,6.43,0.57,3.95,9.4,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,21.185571,81.343175,47.76,83.94,6.43,0.57,4.01,9.44,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,21.185571,81.343175,47.76,83.94,6.43,0.58,4.0,10.12,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T19:45:00Z,2025-11-25T01:15:00+05:30,21.185571,81.343175,48.49,85.54,6.43,0.55,4.18,10.49,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T20:00:00Z,2025-11-25T01:30:00+05:30,21.185571,81.343175,48.85,86.33,6.78,0.6,4.12,10.96,,,,
Chhattisgarh,Bhilai,270708,"Civic Center, Bhilai - Bhilai Steel Plant",2025-11-24T20:15:00Z,2025-11-25T01:45:00+05:30,21.185571,81.343175,48.85,86.33,6.52,0.58,4.03,10.05,,,,
