state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,30.379589,76.778328,87.95,146.59,18.98,1.99,24.9,49.5,,,0.78,334.93
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,30.379589,76.778328,87.95,146.59,18.63,1.96,24.72,48.61,,,0.78,344.02
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,30.379589,76.778328,90.28,150.47,16.18,2.0,25.02,50.12,,,0.64,324.41
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,30.379589,76.778328,92.83,154.71,19.36,1.95,24.67,48.35,,,0.75,326.82
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,30.379589,76.778328,92.83,154.71,17.3,2.03,25.24,51.19,,,0.79,322.2
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,30.379589,76.778328,92.83,154.71,16.23,2.04,25.3,51.5,,,0.9,318.19
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,30.379589,76.778328,98.96,164.94,17.7,2.04,25.27,51.36,,,1.0,316.71
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,30.379589,76.778328,105.67,176.11,18.93,2.0,24.98,49.89,,,1.02,316.0
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,30.379589,76.778328,105.67,176.11,19.37,2.04,25.26,51.28,,,1.08,320.19
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,30.379589,76.778328,105.67,176.11,18.88,2.05,25.33,51.67,,,1.06,318.5
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,30.379589,76.778328,103.69,172.81,17.85,2.03,25.18,50.9,,,1.17,316.95
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,30.379589,76.778328,101.42,169.04,18.43,1.94,24.55,47.73,,,1.18,321.83
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,30.379589,76.778328,101.42,169.04,17.57,1.97,24.8,49.0,,,1.24,317.97
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,30.379589,76.778328,101.42,169.04,19.48,2.12,25.84,54.21,,,1.12,330.93
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,30.379589,76.778328,101.35,168.92,19.57,1.95,24.61,48.05,,,1.1,320.54
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,30.379589,76.778328,101.28,168.79,17.22,1.92,24.39,46.97,,,0.91,325.33
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,30.379589,76.778328,101.28,168.79,17.43,2.05,25.33,51.67,,,0.73,345.25
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,30.379589,76.778328,101.28,168.79,19.29,2.03,25.2,51.02,,,0.83,340.73
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,30.379589,76.778328,102.38,170.64,17.1,1.95,24.64,48.21,,,0.7,351.72
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,30.379589,76.778328,103.59,172.65,18.3,2.01,25.06,50.28,,,0.59,326.12
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,30.379589,76.778328,103.59,172.65,18.89,1.96,24.69,48.43,,,0.56,311.34
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,30.379589,76.778328,105.18,175.31,15.76,2.03,25.24,51.21,,,0.3,355.78
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,30.379589,76.778328,105.18,175.31,15.62,1.98,24.85,49.27,,,0.33,359.44
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,30.379589,76.778328,100.45,167.41,17.16,2.02,25.17,50.85,,,0.42,6.09
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T20:00:00Z,2025-11-25T01:30:00+05:30,30.379589,76.778328,95.27,158.78,17.04,2.0,25.04,50.18,,,0.19,324.37
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T20:15:00Z,2025-11-25T01:45:00+05:30,30.379589,76.778328,95.27,158.78,19.09,2.02,25.11,50.56,,,0.41,356.78
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T20:30:00Z,2025-11-25T02:00:00+05:30,30.379589,76.778328,92.85,154.75,17.04,1.93,24.53,47.65,,,0.58,348.09
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T20:45:00Z,2025-11-25T02:15:00+05:30,30.379589,76.778328,90.21,150.34,16.53,1.99,24.92,49.62,,,0.61,346.81
Haryana,Ambala,6964,"Patti Mehar, Ambala - HSPCB",2025-11-24T21:00:00Z,2025-11-25T02:30:00+05:30,30.379589,76.778328,90.21,150.34,19.0,2.07,25.49,52.45,,,0.71,301.72
