state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,15.888653,74.541751,71.3,155.0,81.98,0.24,18.84,19.45,,,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,15.888653,74.541751,71.3,155.0,62.89,0.23,18.73,19.86,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,15.888653,74.541751,65.89,143.24,66.56,0.22,18.79,19.54,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,15.888653,74.541751,48.76,106.0,63.08,0.24,18.81,19.2,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,15.888653,74.541751,48.76,106.0,62.83,0.25,18.72,19.49,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,15.888653,74.541751,50.37,109.5,61.01,0.18,18.79,19.55,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,15.888653,74.541751,55.66,121.0,59.18,0.24,18.68,19.51,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,15.888653,74.541751,55.66,121.0,53.02,0.2,18.78,19.53,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,15.888653,74.541751,55.23,120.07,50.67,0.19,18.74,19.3,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,15.888653,74.541751,53.82,117.0,35.21,0.22,18.5,19.28,,0.0,,
Karnataka,Belgaum,358665,"Ramteerth Nagar, Belgaum - KSPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,15.888653,74.541751,53.82,117.0,35.0,0.21,18.53,19.59,,0.0,,
