state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,11.875,75.3732,31.18,56.88,14.58,0.31,3.61,28.0,26.0,53.0,1.84,235.17
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,11.875,75.3732,30.43,56.91,14.12,0.3,3.42,28.03,26.03,53.03,1.63,233.86
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,11.875,75.3732,29.19,56.91,12.78,0.29,3.09,28.03,26.03,53.03,1.67,234.18
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,11.875,75.3732,33.4,56.93,11.87,0.33,4.19,28.05,26.05,53.05,1.77,234.81
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,11.875,75.3732,31.97,56.91,14.38,0.32,3.81,28.03,26.03,53.03,1.5,233.01
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,11.875,75.3732,30.79,56.93,13.32,0.31,3.51,28.05,26.05,53.05,1.52,233.21
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,11.875,75.3732,31.85,57.0,13.2,0.32,3.78,28.12,26.12,53.12,1.48,232.89
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,11.875,75.3732,33.54,57.02,14.06,0.33,4.22,28.14,26.14,53.14,1.43,232.6
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,11.875,75.3732,30.46,56.9,14.01,0.3,3.42,28.02,26.02,53.02,1.38,232.24
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,11.875,75.3732,28.88,56.9,12.83,0.29,3.01,28.02,26.02,53.02,1.47,232.81
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,11.875,75.3732,30.55,56.92,14.08,0.3,3.44,28.04,26.04,53.04,1.66,234.12
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,11.875,75.3732,28.38,56.96,12.47,0.28,2.88,28.08,26.08,53.08,1.74,234.58
Kerala,Kannur,10747,"Thavakkara, Kannur - Kerala PCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,11.875,75.3732,31.02,57.0,13.79,0.31,3.57,28.12,26.12,53.12,1.53,233.35
