state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,23.10844,77.511428,141.0,225.0,187.8,,24.2,60.0,21.2,58.0,1.5,84.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,23.10844,77.511428,141.0,225.0,219.4,,24.9,50.9,21.0,59.0,1.1,69.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,23.10844,77.511428,141.0,225.0,216.0,,25.1,48.4,20.8,60.0,1.1,55.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,23.10844,77.511428,141.0,225.0,207.8,,24.3,47.9,20.8,60.0,1.2,46.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,23.10844,77.511428,161.0,197.0,174.0,,26.7,50.4,20.9,59.0,1.2,49.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,23.10844,77.511428,161.0,197.0,210.3,,28.4,50.3,20.9,58.0,1.1,58.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,23.10844,77.511428,161.0,197.0,238.9,,26.8,45.2,20.9,59.0,1.0,64.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,23.10844,77.511428,161.0,197.0,186.8,,25.5,42.7,20.7,61.0,1.1,65.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,23.10844,77.511428,112.0,152.0,198.2,,24.3,43.8,20.7,61.0,1.0,78.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,23.10844,77.511428,112.0,152.0,199.2,,23.6,38.6,20.6,62.0,0.8,78.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,23.10844,77.511428,112.0,152.0,206.7,,24.4,39.6,20.4,63.0,1.3,92.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,23.10844,77.511428,112.0,152.0,200.6,,35.7,36.3,20.1,66.0,1.1,77.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,23.10844,77.511428,171.0,221.0,188.8,,30.5,34.5,19.9,67.0,0.7,54.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,23.10844,77.511428,171.0,221.0,196.9,,47.3,30.3,19.9,66.0,0.7,61.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,23.10844,77.511428,171.0,221.0,191.5,,52.7,33.0,19.9,64.0,1.1,52.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,23.10844,77.511428,171.0,221.0,153.5,,42.5,46.2,20.1,62.0,1.5,50.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,23.10844,77.511428,112.0,134.0,153.5,,71.4,44.6,20.1,61.0,1.5,53.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,23.10844,77.511428,112.0,134.0,116.8,,46.9,50.4,20.1,61.0,1.4,69.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,23.10844,77.511428,112.0,134.0,112.8,,34.3,56.3,20.0,61.0,1.5,65.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,23.10844,77.511428,112.0,134.0,139.2,,30.2,50.0,19.8,63.0,1.2,63.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,23.10844,77.511428,89.0,106.0,120.7,,26.7,51.3,19.6,63.0,1.3,53.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,23.10844,77.511428,83.0,109.0,143.5,,220.0,45.6,19.4,63.0,1.1,45.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,23.10844,77.511428,83.0,109.0,113.2,,125.3,52.0,19.3,62.0,1.1,57.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,23.10844,77.511428,83.0,109.0,117.3,,464.5,55.3,19.3,62.0,1.7,42.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T10:00:00Z,2025-11-25T15:30:00+05:30,23.10844,77.511428,63.0,103.0,68.9,,35.3,24.9,22.8,45.0,1.9,61.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T10:15:00Z,2025-11-25T15:45:00+05:30,23.10844,77.511428,63.0,103.0,56.4,,30.2,7.7,22.7,46.0,1.8,76.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T10:30:00Z,2025-11-25T16:00:00+05:30,23.10844,77.511428,63.0,103.0,45.9,,27.5,72.7,22.4,46.0,2.0,82.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T10:45:00Z,2025-11-25T16:15:00+05:30,23.10844,77.511428,63.0,103.0,74.9,,29.7,74.6,22.3,47.0,1.5,80.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T11:00:00Z,2025-11-25T16:30:00+05:30,23.10844,77.511428,76.0,157.0,86.1,0.76,29.4,63.1,22.2,48.0,1.4,74.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T11:15:00Z,2025-11-25T16:45:00+05:30,23.10844,77.511428,76.0,157.0,83.1,0.76,30.8,67.8,22.0,49.0,1.3,66.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T11:30:00Z,2025-11-25T17:00:00+05:30,23.10844,77.511428,76.0,157.0,112.8,,32.4,54.3,21.7,51.0,1.2,61.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T11:45:00Z,2025-11-25T17:15:00+05:30,23.10844,77.511428,76.0,157.0,94.9,,32.2,44.2,21.5,52.0,1.1,56.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T12:00:00Z,2025-11-25T17:30:00+05:30,23.10844,77.511428,90.0,141.0,117.1,,31.7,47.0,21.2,53.0,1.1,57.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T12:15:00Z,2025-11-25T17:45:00+05:30,23.10844,77.511428,90.0,141.0,107.4,1.02,33.6,43.8,21.1,54.0,1.3,41.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T12:30:00Z,2025-11-25T18:00:00+05:30,23.10844,77.511428,90.0,141.0,102.5,,49.4,46.7,21.1,54.0,1.4,51.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T12:45:00Z,2025-11-25T18:15:00+05:30,23.10844,77.511428,90.0,141.0,131.8,,47.6,42.3,20.9,56.0,1.1,58.0
Madhya Pradesh,Bhopal,5632,"Sector-D Industrial Area, Mandideep - MPPCB",2025-11-25T13:00:00Z,2025-11-25T18:30:00+05:30,23.10844,77.511428,163.0,204.0,149.8,,50.0,32.6,20.7,57.0,1.0,52.0
