state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,19.8389439,75.244448,42.68,62.31,12.47,1.22,17.53,31.26,26.74,45.81,0.51,250.61
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,19.8389439,75.244448,42.68,62.31,11.8,1.74,18.84,26.83,26.37,48.37,0.52,256.11
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,19.8389439,75.244448,46.69,68.17,15.69,2.1,17.88,26.42,25.84,50.15,0.5,253.25
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,19.8389439,75.244448,42.68,62.31,9.75,0.89,16.17,29.56,27.36,43.68,0.53,252.74
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,19.8389439,75.244448,59.09,86.27,18.91,3.04,12.25,25.99,25.3,53.79,0.52,248.59
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,19.8389439,75.244448,59.09,86.27,17.35,2.83,12.17,28.31,24.86,54.32,0.5,267.26
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,19.8389439,75.244448,59.09,86.27,12.94,2.42,14.17,28.7,24.46,55.19,0.52,261.6
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,19.8389439,75.244448,59.09,86.27,13.06,2.68,15.44,28.41,25.59,52.41,0.53,250.48
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,19.8389439,75.244448,87.36,127.55,8.11,2.43,13.45,28.03,24.49,57.75,0.51,241.32
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,19.8389439,75.244448,87.36,127.55,14.72,2.52,13.56,24.41,24.51,57.36,0.47,221.48
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,19.8389439,75.244448,86.29,125.98,12.47,2.26,13.98,25.43,24.47,57.77,0.24,163.62
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,19.8389439,75.244448,87.36,127.55,16.34,2.2,14.6,26.32,24.55,56.29,0.49,228.75
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,19.8389439,75.244448,82.97,121.13,16.47,1.25,12.25,30.17,24.47,57.02,0.46,181.5
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,19.8389439,75.244448,82.97,121.13,20.25,1.03,13.32,28.13,24.43,57.13,0.32,220.69
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,19.8389439,75.244448,82.32,120.19,11.84,0.93,14.51,28.63,23.89,59.43,0.44,257.71
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,19.8389439,75.244448,82.97,121.13,12.24,1.8,12.54,27.11,24.3,57.71,0.35,210.64
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,19.8389439,75.244448,80.34,117.29,15.61,1.19,16.16,28.02,23.47,62.27,0.49,239.24
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,19.8389439,75.244448,80.34,117.29,12.46,1.35,17.34,26.3,23.56,61.77,0.33,199.85
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,19.8389439,75.244448,77.47,113.1,20.34,1.58,17.72,27.56,23.24,61.45,0.39,264.02
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,19.8389439,75.244448,80.34,117.29,12.39,1.02,15.41,25.48,23.69,61.37,0.47,236.41
Maharashtra,Aurangabad,5642,"More Chowk Waluj, Aurangabad - MPCB",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,19.8389439,75.244448,76.39,111.52,15.0,2.39,13.08,25.66,23.44,57.0,1.15,171.33
