state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,26.071318,91.87488,73.0,110.0,0.0,0.0,6.4,23.9,27.2,,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,26.071318,91.87488,72.0,108.0,4.4,0.82,6.3,23.5,17.8,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,26.071318,91.87488,68.0,102.0,5.9,1.1,5.9,22.3,17.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,26.071318,91.87488,69.0,104.0,5.9,1.11,6.1,22.6,17.5,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,26.071318,91.87488,70.0,105.0,6.4,1.18,6.1,22.9,17.4,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,26.071318,91.87488,71.0,107.0,5.5,1.03,6.2,23.2,17.3,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,26.071318,91.87488,70.0,105.0,5.0,0.94,6.1,22.9,17.2,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,26.071318,91.87488,70.0,105.0,5.0,0.93,6.1,22.9,17.1,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,26.071318,91.87488,69.0,104.0,5.1,0.95,6.1,22.6,17.0,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,26.071318,91.87488,69.0,104.0,4.5,0.85,6.1,22.7,16.9,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,26.071318,91.87488,68.0,103.0,4.4,0.82,6.0,22.4,16.8,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,26.071318,91.87488,54.0,82.0,5.5,1.01,4.8,17.8,16.7,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,26.071318,91.87488,47.0,71.0,6.0,1.11,4.1,15.4,16.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,26.071318,91.87488,46.0,69.0,5.6,1.04,4.0,15.1,16.5,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,26.071318,91.87488,47.0,71.0,5.2,0.97,4.1,15.5,16.4,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,26.071318,91.87488,48.0,72.0,5.5,1.02,4.2,15.6,16.3,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,26.071318,91.87488,49.0,73.0,6.1,1.13,4.2,15.9,16.2,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,26.071318,91.87488,49.0,73.0,6.6,1.24,4.3,16.0,16.2,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,26.071318,91.87488,49.0,74.0,7.4,1.37,4.3,16.1,16.1,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,26.071318,91.87488,50.0,75.0,5.9,1.09,4.4,16.4,16.1,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,26.071318,91.87488,49.0,74.0,6.8,1.26,4.3,16.1,16.0,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,26.071318,91.87488,51.0,76.0,5.4,1.01,4.4,16.5,15.9,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,26.071318,91.87488,50.0,75.0,5.7,1.06,4.4,16.4,15.7,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,26.071318,91.87488,50.0,75.0,5.5,1.01,4.4,16.4,15.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T19:45:00Z,2025-11-25T01:15:00+05:30,26.071318,91.87488,53.0,79.0,5.7,1.05,4.6,17.2,15.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T20:00:00Z,2025-11-25T01:30:00+05:30,26.071318,91.87488,53.0,80.0,6.2,1.16,4.6,17.3,15.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T20:15:00Z,2025-11-25T01:45:00+05:30,26.071318,91.87488,53.0,79.0,4.6,0.86,4.6,17.2,15.6,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T20:30:00Z,2025-11-25T02:00:00+05:30,26.071318,91.87488,54.0,82.0,3.6,0.66,4.8,17.8,15.4,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T20:45:00Z,2025-11-25T02:15:00+05:30,26.071318,91.87488,57.0,86.0,4.4,0.82,5.0,18.7,15.3,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T21:00:00Z,2025-11-25T02:30:00+05:30,26.071318,91.87488,58.0,88.0,5.5,1.02,5.1,19.1,15.1,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T21:15:00Z,2025-11-25T02:45:00+05:30,26.071318,91.87488,60.0,90.0,5.4,1.01,5.2,19.6,15.0,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T21:30:00Z,2025-11-25T03:00:00+05:30,26.071318,91.87488,61.0,92.0,5.3,0.98,5.4,20.1,14.9,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T21:45:00Z,2025-11-25T03:15:00+05:30,26.071318,91.87488,62.0,94.0,5.8,1.08,5.4,20.4,14.9,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T22:00:00Z,2025-11-25T03:30:00+05:30,26.071318,91.87488,62.0,93.0,6.1,1.15,5.4,20.3,14.7,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T22:15:00Z,2025-11-25T03:45:00+05:30,26.071318,91.87488,64.0,96.0,5.6,1.04,5.6,20.8,14.7,90.0,,
Meghalaya,Nongpoh,3409376,"Central Academy for SFS, Byrnihat - PCBA",2025-11-24T22:30:00Z,2025-11-25T04:00:00+05:30,26.071318,91.87488,63.0,95.0,5.5,1.02,5.6,20.7,14.7,90.0,,
