state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,25.6635413,94.0989878,20.94,122.0,2.62,0.51,59.0,26.98,14.07,84.73,1.96,300.02
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,25.6635413,94.0989878,73.21,122.0,2.76,0.49,58.49,24.68,13.97,86.51,1.7,308.91
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,25.6635413,94.0989878,51.87,122.0,2.26,0.49,58.52,21.6,13.78,84.0,1.13,122.01
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,25.6635413,94.0989878,63.72,122.0,2.99,0.48,57.9,19.65,13.74,81.2,0.88,96.15
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,25.6635413,94.0989878,64.67,122.0,4.31,0.46,58.63,19.29,13.77,80.22,1.0,39.51
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,25.6635413,94.0989878,64.32,96.0,2.93,0.42,58.34,18.0,13.76,78.16,1.16,60.03
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,25.6635413,94.0989878,64.32,96.0,2.98,0.39,57.95,17.3,13.69,77.58,1.16,45.84
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,25.6635413,94.0989878,60.97,96.0,2.57,0.38,58.27,16.12,13.75,71.61,1.17,77.95
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,25.6635413,94.0989878,46.56,93.8,2.63,0.35,57.99,14.13,13.82,68.96,0.68,63.74
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,25.6635413,94.0989878,26.8,52.0,2.61,0.32,58.18,13.59,14.51,66.23,0.82,83.79
Nagaland,Kohima,10901,"PWD Juction, Kohima - NPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,25.6635413,94.0989878,29.44,52.0,2.64,0.31,58.49,12.25,14.66,61.62,1.27,65.98
