state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,31.62,74.876512,55.24,102.6,30.79,0.55,11.02,31.12,19.29,66.61,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,31.62,74.876512,55.51,103.1,36.38,0.58,11.43,31.39,19.24,66.65,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,31.62,74.876512,55.85,103.7,37.83,0.55,10.93,21.44,19.24,66.65,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,31.62,74.876512,55.24,102.6,28.03,0.57,11.26,35.37,19.34,66.58,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,31.62,74.876512,55.85,103.7,19.33,0.58,11.75,25.74,19.16,66.74,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,31.62,74.876512,55.52,103.3,7.6,0.41,8.37,27.86,19.11,66.85,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,31.62,74.876512,55.05,102.2,19.08,0.52,10.75,31.67,19.08,66.93,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,31.62,74.876512,55.85,103.7,50.35,0.55,11.28,30.97,19.2,66.62,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,31.62,74.876512,55.05,102.2,40.33,0.59,11.79,33.04,19.01,67.03,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,31.62,74.876512,51.29,97.6,18.52,0.6,12.16,30.53,19.03,66.93,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,31.62,74.876512,46.85,87.0,34.1,0.6,12.18,32.63,19.04,66.93,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,31.62,74.876512,55.05,102.2,39.49,0.58,11.4,26.72,19.07,66.96,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,31.62,74.876512,46.85,87.0,5.54,0.64,12.7,31.1,18.9,67.26,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,31.62,74.876512,54.93,104.0,28.4,0.63,12.54,36.94,18.92,67.17,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,31.62,74.876512,74.56,138.5,8.42,0.63,12.6,31.12,18.84,67.21,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,31.62,74.876512,46.85,87.0,30.95,0.62,12.66,32.36,18.98,67.05,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,31.62,74.876512,74.56,138.5,27.55,0.64,12.86,25.49,18.68,67.54,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,31.62,74.876512,81.21,143.8,18.74,0.65,13.01,28.33,18.64,67.69,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,31.62,74.876512,83.62,155.3,31.71,0.65,12.91,36.62,18.62,67.8,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,31.62,74.876512,74.56,138.5,40.36,0.63,12.81,32.29,18.75,67.4,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T19:00:00Z,2025-11-25T00:30:00+05:30,31.62,74.876512,87.42,162.4,15.49,0.6,11.82,35.35,18.43,68.54,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T19:15:00Z,2025-11-25T00:45:00+05:30,31.62,74.876512,92.65,170.8,31.48,0.59,11.62,43.26,18.38,68.57,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T19:30:00Z,2025-11-25T01:00:00+05:30,31.62,74.876512,99.61,185.0,19.07,0.58,11.62,35.79,18.32,68.54,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T19:45:00Z,2025-11-25T01:15:00+05:30,31.62,74.876512,99.61,185.0,14.5,0.58,11.56,34.08,18.28,68.6,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T20:00:00Z,2025-11-25T01:30:00+05:30,31.62,74.876512,99.61,185.0,35.76,0.57,11.57,22.6,18.26,68.63,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T20:15:00Z,2025-11-25T01:45:00+05:30,31.62,74.876512,94.02,168.3,6.61,0.59,11.73,47.56,18.28,68.61,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T20:30:00Z,2025-11-25T02:00:00+05:30,31.62,74.876512,79.8,148.2,7.67,0.59,11.85,20.29,18.26,68.62,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T20:45:00Z,2025-11-25T02:15:00+05:30,31.62,74.876512,99.61,185.0,14.5,0.58,11.56,34.08,18.28,68.6,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T21:00:00Z,2025-11-25T02:30:00+05:30,31.62,74.876512,79.8,148.2,21.98,0.62,12.37,22.18,18.24,68.56,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T21:15:00Z,2025-11-25T02:45:00+05:30,31.62,74.876512,75.14,143.6,57.82,0.65,12.71,30.55,18.2,68.54,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T21:30:00Z,2025-11-25T03:00:00+05:30,31.62,74.876512,71.57,132.9,40.68,0.65,12.77,20.99,18.25,68.53,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T21:45:00Z,2025-11-25T03:15:00+05:30,31.62,74.876512,79.8,148.2,50.65,0.6,12.02,32.32,18.28,68.61,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T22:00:00Z,2025-11-25T03:30:00+05:30,31.62,74.876512,71.57,132.9,58.74,0.66,13.03,34.82,18.23,68.52,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T22:15:00Z,2025-11-25T03:45:00+05:30,31.62,74.876512,75.79,140.9,18.1,0.49,9.59,28.96,18.19,68.55,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T22:30:00Z,2025-11-25T04:00:00+05:30,31.62,74.876512,83.83,155.7,34.89,0.6,11.95,32.24,18.16,68.61,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T22:45:00Z,2025-11-25T04:15:00+05:30,31.62,74.876512,71.57,132.9,23.1,0.64,12.93,43.08,18.26,68.53,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T23:00:00Z,2025-11-25T04:30:00+05:30,31.62,74.876512,83.83,155.7,45.27,0.67,13.47,30.77,18.18,68.64,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T23:15:00Z,2025-11-25T04:45:00+05:30,31.62,74.876512,79.11,148.5,27.69,0.68,13.72,37.52,18.21,68.64,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T23:30:00Z,2025-11-25T05:00:00+05:30,31.62,74.876512,73.34,136.2,31.68,0.67,13.2,35.59,18.23,68.6,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-24T23:45:00Z,2025-11-25T05:15:00+05:30,31.62,74.876512,83.83,155.7,38.9,0.64,12.93,27.95,18.19,68.61,0.0,0.0
Punjab,Amritsar,5551,"Golden Temple, Amritsar - PPCB",2025-11-25T00:00:00Z,2025-11-25T05:30:00+05:30,31.62,74.876512,73.34,136.2,7.93,0.67,13.27,30.64,18.23,68.52,0.0,0.0
