state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,26.470859,74.646594,63.7,156.4,18.64,0.6,13.27,6.61,19.27,48.8,0.53,10.09
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,26.470859,74.646594,63.7,156.4,15.78,0.6,12.29,9.53,18.93,51.0,0.53,10.02
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,26.470859,74.646594,73.5,169.9,19.97,0.61,11.22,7.81,18.67,51.9,0.53,10.14
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,26.470859,74.646594,73.6,170.8,18.66,0.63,10.05,6.27,18.51,53.0,0.53,10.1
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,26.470859,74.646594,73.6,170.8,19.4,0.64,9.41,5.26,18.73,50.8,0.54,10.7
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,26.470859,74.646594,73.6,170.8,20.41,0.69,8.87,6.14,18.63,51.8,0.53,10.31
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,26.470859,74.646594,71.2,180.8,20.27,0.68,8.56,5.13,18.5,50.7,0.53,10.21
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,26.470859,74.646594,71.2,181.1,16.78,0.59,7.71,6.43,18.0,53.8,0.53,9.73
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T15:00:00Z,2025-11-24T20:30:00+05:30,26.470859,74.646594,71.2,181.1,18.96,0.57,7.7,6.13,17.64,55.7,0.53,10.02
Rajasthan,Ajmer,10545,"Civil Lines, Ajmer - RSPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,26.470859,74.646594,71.2,181.1,17.74,0.58,7.32,8.86,17.4,57.6,0.53,9.97
