state,district,location_id,location_name,datetime_utc,datetime_local,latitude,longitude,pm25,pm10,no2,co,so2,o3,temperature,humidity,wind_speed,wind_direction
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T13:00:00Z,2025-11-24T18:30:00+05:30,27.33853,88.614099,17.88,30.5,4.69,0.19,0.47,85.46,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T13:15:00Z,2025-11-24T18:45:00+05:30,27.33853,88.614099,16.45,33.68,5.23,0.19,0.47,73.67,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T13:30:00Z,2025-11-24T19:00:00+05:30,27.33853,88.614099,16.02,36.4,5.02,0.18,0.47,75.86,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T13:45:00Z,2025-11-24T19:15:00+05:30,27.33853,88.614099,16.02,36.4,5.53,0.18,0.46,73.88,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T14:00:00Z,2025-11-24T19:30:00+05:30,27.33853,88.614099,16.02,36.4,5.29,0.18,0.47,71.41,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T14:15:00Z,2025-11-24T19:45:00+05:30,27.33853,88.614099,17.17,35.81,4.98,0.16,0.46,63.94,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T14:30:00Z,2025-11-24T20:00:00+05:30,27.33853,88.614099,17.52,35.3,4.99,0.16,0.47,70.55,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T14:45:00Z,2025-11-24T20:15:00+05:30,27.33853,88.614099,17.52,35.3,5.36,0.16,0.47,78.94,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T15:15:00Z,2025-11-24T20:45:00+05:30,27.33853,88.614099,17.34,33.95,5.21,0.15,0.47,65.77,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T15:30:00Z,2025-11-24T21:00:00+05:30,27.33853,88.614099,17.28,32.8,5.04,0.16,0.47,65.69,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T15:45:00Z,2025-11-24T21:15:00+05:30,27.33853,88.614099,17.28,32.8,4.96,0.14,0.47,68.72,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T16:00:00Z,2025-11-24T21:30:00+05:30,27.33853,88.614099,17.28,32.8,5.28,0.14,0.47,67.57,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T16:15:00Z,2025-11-24T21:45:00+05:30,27.33853,88.614099,13.68,30.0,5.13,0.12,0.47,65.77,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T16:30:00Z,2025-11-24T22:00:00+05:30,27.33853,88.614099,12.6,27.6,5.36,0.11,0.47,68.03,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T16:45:00Z,2025-11-24T22:15:00+05:30,27.33853,88.614099,12.6,27.6,5.12,0.09,0.47,67.62,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T17:00:00Z,2025-11-24T22:30:00+05:30,27.33853,88.614099,12.6,27.6,4.89,0.07,0.47,69.19,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T17:15:00Z,2025-11-24T22:45:00+05:30,27.33853,88.614099,13.57,24.32,5.1,0.07,0.46,71.35,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T17:30:00Z,2025-11-24T23:00:00+05:30,27.33853,88.614099,13.86,21.5,5.53,0.06,0.46,66.83,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T17:45:00Z,2025-11-24T23:15:00+05:30,27.33853,88.614099,13.86,21.5,5.07,0.06,0.46,68.11,0.0,0.0,0.0,0.0
Sikkim,Mangan,3409340,"Zero Point GICI, Gangtok - SSPCB",2025-11-24T18:00:00Z,2025-11-24T23:30:00+05:30,27.33853,88.614099,13.86,21.5,4.98,0.05,0.46,66.45,0.0,0.0,0.0,0.0
