city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude
Mumbai,0.24390654599031786,Moderate,0.2206354873259551,Moderate,0.11840159216405532,Very Poor,0.015382808830436821,Good,0.1048271291284657,Good,0.8281142226514002,Moderate,5,16173235,0.9846761086603204,0.2564102564102564,0.3059523809523809,0.9166666666666667,1970-01-01 00:00:01.766499058,0,3,1,1,Mumbai,938.0,30.0,2.0,0.0,0.0,23.6,51.03,1878.86,894.22,340.4,19.054999,72.8692035
New Delhi,0.347063776047148,Moderate,0.34975008925383794,Poor,0.29159235917347953,Severe,0.23414748708313754,Good,0.040097205346294046,Good,0.28100427645192444,Satisfactory,5,16173236,0.7072208033433944,0.7051282051282051,0.24523809523809523,0.7222222222222222,1970-01-01 00:00:01.766499002,0,3,1,1,New Delhi,1205.0,0.0,0.0,0.0,3.0,1.5,916.48,814.3299999999999,894.22,2068.8,28.6138954,77.2090057
Pune,0.2346453378236161,Moderate,0.2098536237058194,Moderate,0.11984156406704258,Very Poor,0.03511038046031,Good,0.048713133767811764,Good,0.6502965926334666,Moderate,5,16174445,0.8553517529602972,0.15384615384615385,0.20119047619047617,0.29444444444444445,1970-01-01 00:00:01.766498794,0,3,1,1,Pune,1899.0,5.0,2.0,0.0,1.0,24.72,1355.7,1793.35,894.22,563.07,18.5213738,73.8545071
Shrirampur,0.08048831824878973,Good,0.07768654052124242,Good,0.09507326686308559,Very Poor,0.13903240958196333,Good,0.08527559924886778,Good,0.32611394675127603,Satisfactory,3,30609910,0.8077548177385652,0.16666666666666663,0.20833333333333331,0.18333333333333335,1970-01-01 00:00:01.766499058,0,3,1,1,Shrirampur,324.0,3.0,11.0,0.0,0.0,0.0,1045.9,814.5,894.22,340.4,19.6199708,74.6546944
Vaduj,0.2739633761313408,Moderate,0.24807211710103536,Moderate,0.15730815008487636,Severe,0.11272898074213245,Good,0.04926543687175521,Good,0.44709615119326807,Moderate,5,30612110,0.8251683306245646,0.08974358974358976,0.2714285714285714,0.18611111111111112,1970-01-01 00:00:01.766499058,0,3,1,1,Vaduj,112.0,0.0,0.0,0.0,0.0,0.76,916.48,814.3299999999999,894.22,340.4,17.5950822,74.4504661
Pushkar,0.1630183119343296,Satisfactory,0.22825776508389864,Moderate,0.09379719420108876,Very Poor,0.10016439643024892,Good,0.03965536286313929,Good,0.40272221455832996,Satisfactory,5,82799646,0.7606222428604598,0.14102564102564102,0.3333333333333333,0.9638888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Pushkar,414.0,1.0,218.0,0.0,0.0,7.49,437.1,7.49,894.22,340.4,26.4876472,74.5578484
Orchha,0.12700484108608714,Satisfactory,0.11940378436272764,Satisfactory,0.11470995687889016,Very Poor,0.14361202442461246,Good,0.02938252512979123,Good,0.1739090449257369,Good,4,82799649,0.772231251451126,0.3076923076923077,0.22499999999999998,0.011111111111111112,1970-01-01 00:00:01.766499058,0,3,1,1,Orchha,48.0,0.0,1.0,0.0,0.0,46.82,916.48,1195.32,894.22,340.4,25.3528706,78.6402465
Phillaur,0.17314249631656495,Satisfactory,0.18716529810781868,Moderate,0.24575130241361143,Severe,0.13010803193987783,Good,0.06274163260797526,Good,0.3789948038809951,Satisfactory,5,102751630,0.711167866264221,0.34615384615384615,0.43690476190476185,0.8250000000000001,1970-01-01 00:00:01.766499058,0,3,1,1,Phillaur,532.0,0.0,0.0,0.0,0.0,25.75,916.48,814.3299999999999,894.22,340.4,31.018294,75.7839116
Goraya,0.17314249631656495,Satisfactory,0.18716529810781868,Moderate,0.24575130241361143,Severe,0.13010803193987783,Good,0.06274163260797526,Good,0.3789948038809951,Satisfactory,5,103898968,0.7127931274669144,0.34615384615384615,0.42976190476190473,0.8194444444444445,1970-01-01 00:00:01.766498986,0,3,1,1,Goraya,482.0,0.0,0.0,0.0,0.0,7.54,916.48,814.3299999999999,894.22,340.4,31.1208324,75.7787046
Phagwara,0.16672279520101033,Satisfactory,0.1812923955730097,Moderate,0.2529355524770248,Severe,0.14631282292155937,Good,0.06086380205456754,Good,0.3546696096013244,Satisfactory,5,103907978,0.7130253076387276,0.34615384615384615,0.42142857142857143,0.8194444444444445,1970-01-01 00:00:01.766498804,0,3,1,1,Phagwara,335.0,5.0,0.0,0.0,0.0,102.43,415.93,814.3299999999999,894.22,340.4,31.2206734,75.7696463
Mohali,0.297937276362871,Moderate,0.2904319885755088,Moderate,0.33330471600554135,Severe,0.14654767496477214,Good,0.08582790235281122,Good,0.42667954200579394,Moderate,5,125904109,0.7042024611098212,0.4487179487179487,0.42976190476190473,0.9055555555555556,1970-01-01 00:00:01.766499058,0,3,1,1,Mohali,1677.0,4.0,0.0,0.0,0.0,16.95,867.79,814.3299999999999,894.22,340.4,30.7041168,76.7176885
Morinda,0.27722584719006527,Moderate,0.27388432702606214,Moderate,0.31771867865992853,Severe,0.15159699389384682,Good,0.09135093339224568,Good,0.429576493309422,Moderate,5,125905496,0.7116322266078478,0.4358974358974359,0.42738095238095236,0.8722222222222222,1970-01-01 00:00:01.766499058,0,3,1,1,Morinda,393.0,2.0,0.0,0.0,0.0,9.59,870.35,814.3299999999999,894.22,340.4,30.7908462,76.4984505
Kurali,0.26038728688697116,Moderate,0.25624776865405213,Moderate,0.312079764297282,Severe,0.13010803193987783,Good,0.08196178062520712,Good,0.4170690210143928,Moderate,5,125906063,0.7053633619688879,0.4487179487179487,0.40238095238095234,0.9027777777777778,1970-01-01 00:00:01.766499058,0,3,1,1,Kurali,661.0,1.0,0.0,0.0,0.0,44.11,1335.88,814.3299999999999,894.22,340.4,30.8314536,76.5784763
Rupnagar,0.26038728688697116,Moderate,0.25624776865405213,Moderate,0.312079764297282,Severe,0.13010803193987783,Good,0.08196178062520712,Good,0.4170690210143928,Moderate,5,125907877,0.7069886231715812,0.4487179487179487,0.3702380952380952,0.9194444444444445,1970-01-01 00:00:01.766499058,0,3,1,1,Rupnagar,579.0,0.0,0.0,0.0,0.0,88.56,916.48,814.3299999999999,894.22,340.4,30.9688367,76.526088
Moga,0.21875394653757105,Moderate,0.23761156729739383,Moderate,0.3239195332773994,Severe,0.1782527007984969,Good,0.04352148459074339,Good,0.34542695544213,Satisfactory,5,126094102,0.7067564429997679,0.26923076923076916,0.369047619047619,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,1,Moga,1819.0,1.0,0.0,0.0,0.0,28.55,1597.66,814.3299999999999,894.22,340.4,30.8223408,75.1730967
Pahalgam,0.07034308566617554,Good,0.08397001071046058,Satisfactory,0.21519189869465957,Severe,0.26514795678722397,Good,0.03744615044736551,Good,0.2317101209362211,Satisfactory,3,165089167,0.3361968887856977,0.2948717948717948,0.557142857142857,0.14444444444444446,1970-01-01 00:00:01.766499058,0,3,1,1,Pahalgam,4.0,0.0,4.0,0.0,0.0,343.9,916.48,343.9,894.22,340.4,34.0322048,75.3226479
Ambala,0.32109029677962536,Moderate,0.32013566583363084,Moderate,0.3210512965600671,Severe,0.1578205730389854,Good,0.09753672815641223,Good,0.46489170920126915,Moderate,5,176044062,0.7244021360575806,0.41025641025641024,0.4726190476190476,0.8416666666666667,1970-01-01 00:00:01.766499058,0,3,1,1,Ambala,2095.0,3.0,0.0,0.0,0.0,34.33,1264.28,814.3299999999999,894.22,340.4,30.3843674,76.770421
Doraha,0.2383287728899179,Moderate,0.24393073902177795,Moderate,0.2908470078632612,Severe,0.15652888680131513,Good,0.0850546780072904,Good,0.4189543385294524,Moderate,5,176047379,0.7130253076387276,0.3717948717948718,0.44999999999999996,0.8388888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Doraha,554.0,3.0,0.0,0.0,0.0,11.35,1189.58,814.3299999999999,894.22,340.4,30.7988727,76.0372906
Sriperumbudur,0.09227531046095559,Good,0.09528739735808642,Satisfactory,0.0895319115724571,Very Poor,0.14431658055425078,Good,0.09808903126035569,Good,0.41674713753621195,Moderate,3,243327628,0.9196656605525888,0.7435897435897435,0.41428571428571426,0.07777777777777778,1970-01-01 00:00:01.766499058,0,3,1,1,Sriperumbudur,460.0,3.0,1.0,1.0,0.0,35.59,1702.44,637.33,2266.16,340.4,12.9666144,79.9458077
Poonamallee,0.09406440749315935,Good,0.09591217422349163,Satisfactory,0.08520419113773389,Very Poor,0.13022545796148424,Good,0.08626974483596597,Good,0.43012829355773213,Moderate,3,243327788,0.9231483631297888,0.7051282051282051,0.42857142857142855,0.1388888888888889,1970-01-01 00:00:01.766499058,0,3,1,1,Poonamallee,1768.0,14.0,3.0,0.0,0.0,51.56,572.24,566.74,894.22,340.4,13.0492031,80.1010677
