Country,City,Unnamed: 2,Unnamed: 3,Unnamed: 4,Unnamed: 5,Unnamed: 6,Unnamed: 7
France,Orthez,,,,,,
Japan,Osakasayama,,,,,,
Turkey,Osmaniye,,,,,,
Ecuador,Otavalo,,,,,,
Russian Federation,Otradnoye,,,,,,
South Africa,Oudtshoorn,,,,,,
Belgium,Overijse,,,,,,
United States of America,Owosso,,,,,,
New Zealand,Palmerston North,,,,,,
Philippines,Papaya,,,,,,
Brazil,Paraguacu Paulista,,,,,,
India,Partapur,,,,,,
Uruguay,Paso De Los Toros,,,,,,
Belarus,Pastavy,,,,,,
United States of America,Peachtree City,,,,,,
Chile,Penco,,,,,,
United States of America,Pepperell,,,,,,
Mexico,Petatlan,,,,,,
Canada,Petawawa,,,,,,
Brazil,Pianco,,,,,,
Brazil,Pimenta Bueno,,,,,,
Finland,Pirkkala,,,,,,
United States of America,Pittsfield,,,,,,
Indonesia,Plumbon,,,,,,
France,Poissy,,,,,,
Italy,Ponte San Nicolo,,,,,,
Italy,Pontecorvo,,,,,,
United Kingdom of Great Britain and Northern Ireland,Pontypool,,,,,,
Italy,Portici,,,,,,
Nigeria,Potiskum,,,,,,
Bolivia (Plurinational State of),Potosi,,,,,,
Brazil,Prata,,,,,,
Slovenia,Ptuj,,,,,,
Colombia,Puerto Berrio,,,,,,
India,Pukhrayan,,,,,,
India,Pune,,,,,,
Costa Rica,Purral,,,,,,
Kazakhstan,Qostanay,,,,,,
Germany,Quickborn,,,,,,
Germany,Quierschied,,,,,,
China,Qujing,,,,,,
China,Quzhou,,,,,,
Poland,Radzionkow,,,,,,
India,Raja Sansi,,,,,,
India,Ramanagaram,,,,,,
United States of America,Fort Payne,,,,,,
United States of America,Fostoria,,,,,,
United States of America,Fruitville,,,,,,
Japan,Funabashi,,,,,,
Colombia,Fusagasuga,,,,,,
Bangladesh,Gafargaon,,,,,,
United Republic of Tanzania,Gairo,,,,,,
Greece,Galatsion,,,,,,
Indonesia,Gambiran,,,,,,
Indonesia,Gampengrejo,,,,,,
India,Gandai,,,,,,
United States of America,Gantt,,,,,,
India,Gariadhar,,,,,,
Germany,Gartringen,,,,,,
Indonesia,Gempol,,,,,,
India,Ghiror,,,,,,
Germany,Ginsheim Gustavsburg,,,,,,
Germany,Gladbeck,,,,,,
Iran (Islamic Republic of),Golpayegan,,,,,,
Italy,Gragnano,,,,,,
Unknown,Great Yarmouth,,,,,,
United States of America,Greensboro,,,,,,
Italy,Grumo Appula,,,,,,
Zimbabwe,Gweru,,,,,,
India,Habra,,,,,,
Japan,Hanyu,,,,,,
India,Harrai,,,,,,
Romania,Hateg,,,,,,
Pakistan,Hazro,,,,,,
Netherlands,Heemskerk,,,,,,
Netherlands,Heerenveen,,,,,,
Germany,Hemer,,,,,,
India,Hilsa,,,,,,
India,Hojai,,,,,,
Belgium,Horst,,,,,,
China,Huzhou,,,,,,
Nigeria,Ihiala,,,,,,
Nigeria,Ilesha,,,,,,
Portugal,Ilhavo,,,,,,
Russian Federation,Inta,,,,,,
Russian Federation,Inzhavino,,,,,,
Philippines,Ipil,,,,,,
Jordan,Irbid,,,,,,
Bangladesh,Ishurdi,,,,,,
India,Islampur,,,,,,
Brazil,Itamaraju,,,,,,
Unknown,Itaparica,,,,,,
Brazil,Itapira,,,,,,
Brazil,Itapui,,,,,,
Brazil,Itu,,,,,,
United States of America,Jacksonville,,,,,,
India,Jagraon,,,,,,
Pakistan,Jand,,,,,,
United States of America,Janesville,,,,,,
United States of America,Jenison,,,,,,
Pakistan,Jhang,,,,,,
China,Jiayuguan,,,,,,
Brazil,Juatuba,,,,,,
Brazil,Juiz De Fora,,,,,,
India,Kagaznagar,,,,,,
Japan,Kakegawa,,,,,,
India,Kalamnuri,,,,,,
Bangladesh,Kaliganj,,,,,,
Russian Federation,Kamensk Shakhtinskiy,,,,,,
Brazil,Dourados,,,,,,
Russian Federation,Dubna,,,,,,
India,Dumraon,,,,,,
Germany,Duren,,,,,,
Turkey,Duzici,,,,,,
Russian Federation,Dzerzhinsk,,,,,,
Cameroon,Edea,,,,,,
Germany,Eggenfelden,,,,,,
United States of America,El Sobrante,,,,,,
United States of America,Elmwood Park,,,,,,
India,Eluru,,,,,,
Germany,Engen,,,,,,
Sweden,Enkoping,,,,,,
Germany,Ennepetal,,,,,,
Brazil,Entre Rios,,,,,,
Turkey,Ercis,,,,,,
Germany,Espelkamp,,,,,,
India,Ettaiyapuram,,,,,,
Unknown,Eureka,,,,,,
United States of America,Fairhope,,,,,,
Sweden,Falun,,,,,,
China,Fengcheng,,,,,,
Russian Federation,Mariinskiy Posad,,,,,,
Japan,Maruoka,,,,,,
Philippines,Masalukot,,,,,,
Italy,Melito Di Napoli,,,,,,
Czechia,Melnik,,,,,,
Papua New Guinea,Mendi,,,,,,
Malaysia,Mentakab,,,,,,
Unknown,Mesolongion,,,,,,
El Salvador,Metapan,,,,,,
Germany,Mettmann,,,,,,
Germany,Metzingen,,,,,,
Madagascar,Miandrivazo,,,,,,
Mexico,Miguel Auza,,,,,,
China,Minggang,,,,,,
Portugal,Mirandela,,,,,,
Mexico,Misantla,,,,,,
Austria,Mistelbach,,,,,,
Japan,Mobara,,,,,,
Mozambique,Mocambique,,,,,,
Germany,Molln,,,,,,
Mexico,Monclova,,,,,,
Italy,Monteroni Di Lecce,,,,,,
United States of America,Mooresville,,,,,,
Australia,Morayfield,,,,,,
Spain,Moron De La Frontera,,,,,,
France,Morsang Sur Orge,,,,,,
Sweden,Motala,,,,,,
United States of America,Mount Prospect,,,,,,
Russian Federation,Mtsensk,,,,,,
Myanmar,Mudon,,,,,,
India,Mukerian,,,,,,
Japan,Muroran,,,,,,
India,Naini Tal,,,,,,
Thailand,Nakhon Nayok,,,,,,
India,Nakur,,,,,,
United Republic of Tanzania,Nanganga,,,,,,
Japan,Kimitsu,,,,,,
India,Kishtwar,,,,,,
Guinea,Kissidougou,,,,,,
India,Kodaikanal,,,,,,
Hungary,Komarom,,,,,,
Russian Federation,Konstantinovsk,,,,,,
India,Korba,,,,,,
Unknown,Korsor,,,,,,
Pakistan,Kot Samaba,,,,,,
Thailand,Krabi,,,,,,
Sweden,Kristianstad,,,,,,
China,Kuandian,,,,,,
Cameroon,Kumbo,,,,,,
Japan,Kunitachi,,,,,,
Russian Federation,Kushva,,,,,,
Finland,Kuusankoski,,,,,,
France,La Fleche,,,,,,
India,Lachhmangarh,,,,,,
Unknown,Lagos,,,,,,
United States of America,Lake Forest Park,,,,,,
United States of America,Lake Worth,,,,,,
