City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
Chimbarongo,217,2,23,0,4,1,2
Cinisello Balsamo,1232,65,76,0,0,12,179
Tehachapi,268,7,7,0,0,0,3
Ciledug,3157,0,1,0,0,0,0
Tecuci,465,10,7,0,0,0,3
Champigny Sur Marne,1595,15,2,0,1,88,141
Taveta,2,0,3,0,0,0,152
Clifton,764,12,2,0,0,1,38
Cholet,1615,4,9,0,5,25,37
The Woodlands,870,0,0,0,0,0,37
Tendo,358,0,34,0,0,0,7
Tokuyama,555,18,0,0,0,0,2
Tomakomai,415,6,15,0,2,0,334
Uren,131,16,2,0,2,0,17
Ushiku,1501,6,149,0,0,0,72
Ust Dzheguta,205,0,0,0,0,0,1
Valbonne,478,2,0,0,4,15,25
Thessaloniki,2493,15,0,6,29,44,9
Thermi,603,23,250,0,4,2,21
Teyateyaneng,305,2,32,0,8,0,97
Thaba Nchu,540,2,0,0,0,0,1
Clermont Ferrand,2306,4,1,0,3,119,48
Clonmel,643,15,0,0,0,24,29
Civitavecchia,831,17,1,0,0,0,0
Chhata,8,10,0,0,0,0,1
Cleves,914,9,76,0,0,1,111
Chofu,1649,1,79,0,0,4,29
Topeka,691,10,1,0,0,0,22
Tototlan,33,0,0,0,0,0,0
Toropets,221,44,0,0,1,0,153
Vaslui,13,1,4,0,0,0,10
Verrettes,134,0,0,0,0,0,0
Ventanas,4,0,0,0,0,0,0
Troitskiy,52,0,23,0,0,0,19
Tunapuna,738,11,8,0,0,0,33
Chinsali,324,0,0,0,0,0,0
Valongo,1104,9,5,0,3,4,18
Thousand Oaks,451,0,0,0,0,0,6
Tres De Maio,480,0,0,0,0,0,14
Terrace,384,8,1,0,0,1,7
Tabat,41,0,0,0,0,0,0
Cibitoke,6,0,3,0,0,0,8
Tunja,1700,3,2,0,0,0,127
Tirat Karmel,415,2,6,0,0,0,50
Tonj,159,0,0,0,0,0,0
Tayug,108,2,0,0,0,0,0
Tuggurt,1397,4,0,0,0,0,7
Sunggal,1413,1,2,0,0,0,0
Tadepalle,540,1,64,0,1,0,0
Taquara,697,1,2,0,0,0,2
Trelew,1299,2,0,0,0,0,3
Ubud,459,0,103,0,0,0,43
Takhatpur,52,0,8,0,0,0,1
Turbo,423,0,0,0,0,0,6
Tamana,654,5,174,0,0,0,78
Tarhunah,8,0,0,0,0,0,1
Or Yehuda,766,3,17,0,1,6,31
Tatabanya,826,19,11,0,2,9,55
Oro Valley,423,1,0,0,7,0,37
Oron,38,0,9,0,0,0,15
Tarquinia,480,3,188,0,1,15,51
