Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season
Bangladesh,Narsingdi,Sector_3,23.91051,90.72242,5.0,27.65,6.74,1.58,41.99,260.57,56.92,31.0,90,5.0,Monsoon,651.31,723.14,5000.0,5000.0,2025-07-16 17:28:00,monsoon
Brazil,Diadema,Sector_3,-23.6608,-46.64015,1.0,1.32,0.06,0.1,32.94,38.34,9.29,25.8,100,7.5,Monsoon,9.48,5000.0,5000.0,5000.0,2025-09-10 18:42:00,monsoon
China,Shenyang,Sector_3,41.84149,123.40016,5.0,67.06,81.2,185.54,0.0,2116.76,104.71,-0.6,65,4.6,Monsoon,289.86,5000.0,5000.0,5000.0,2025-08-31 17:12:00,monsoon
Bangladesh,Jessore,City Center,23.1665256,89.2094419,5.0,105.91,13.15,13.06,73.36,709.33,134.26,29.4,76,3.3,Monsoon,8.25,660.9,5000.0,5000.0,2025-07-17 10:06:00,monsoon
Brazil,Maceió,Sector_3,-9.60425,-35.73147,1.0,0.54,0.05,0.08,36.63,38.91,2.49,37.7,73,7.1,Monsoon,124.91,463.38,1322.5,5000.0,2025-07-22 12:08:00,monsoon
Germany,Essen,Sector_4,51.48203,7.05034,1.0,2.74,6.78,0.31,26.97,125.92,4.81,19.2,100,1.9,Monsoon,192.6,1041.15,2088.67,407.09,2025-09-03 15:11:00,monsoon
China,Dalian,Sector_1,38.88909,121.60513,3.0,18.04,15.26,17.95,41.24,196.07,36.25,2.5,100,1.4,Monsoon,350.98,5000.0,5000.0,5000.0,2025-07-14 19:36:00,monsoon
USA,Sacramento,Sector_1,38.58474,-121.52777,1.0,4.05,10.63,0.6,22.9,139.55,6.18,17.4,100,7.5,Monsoon,166.97,148.36,5000.0,1526.88,2025-07-23 10:43:00,monsoon
India,Aurangabad,Sector_3,19.87305,75.30858,5.0,37.43,4.37,5.78,61.15,273.56,62.06,30.5,87,1.8,Monsoon,262.82,5000.0,5000.0,5000.0,2025-08-06 13:51:00,monsoon
Bangladesh,Gaibandha,Sector_2,25.3139,89.55202,5.0,64.85,16.81,2.27,33.27,640.89,89.96,24.8,80,4.0,Monsoon,471.77,5000.0,5000.0,5000.0,2025-07-08 16:13:00,monsoon
