Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Wind_Direction,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season,Hour,DayOfWeek,Month,Pollution_Source
Nigeria,Suleja,Sector_1,9.20597,7.17,5.0,127.93,0.83,0.36,117.27,412.53,442.66,40.6,12,3.4,NE,330.99,5000.0,5000.0,5000.0,2024-04-09 12:49:00,spring,12,1,4,Vehicular
Pakistan,Chiniot,Sector_1,31.71725,72.96441,5.0,493.27,20.75,4.15,120.27,3000.0,600.0,33.6,10,4.2,SW,1.73,5000.0,5000.0,5000.0,2024-06-02 11:54:00,summer,11,6,6,Vehicular
India,Pune,Sector_4,18.4909,73.85496,5.0,132.93,3.95,9.76,261.87,558.38,140.99,39.9,28,3.8,SE,86.36,1373.45,5000.0,1230.35,2024-08-08 08:38:00,summer,8,3,8,Industrial
Nigeria,Makurdi,Sector_3,7.72072,8.55605,5.0,174.52,3.85,1.62,95.03,984.89,534.57,52.7,10,2.5,SW,423.35,5000.0,5000.0,5000.0,2024-06-21 12:07:00,summer,12,4,6,Vehicular
Russia,Tolyatti,Sector_2,53.48146,49.43741,1.0,5.37,8.51,0.61,20.04,222.13,5.59,-0.34,93,1.38,NW,549.19,5000.0,5000.0,5000.0,2025-12-17 21:59:31,winter,21,2,12,Natural
China,Shenyang,Sector_3,41.84149,123.40016,5.0,186.94,58.4825,29.93,0.0,3000.0,221.5,-9.94,51,2.51,W,289.86,5000.0,5000.0,5000.0,2025-12-17 20:00:07,winter,20,2,12,Vehicular
Indonesia,Medan,Sector_3,3.59657,98.6657,1.0,3.66,1.93,0.2,2.94,130.8,5.63,39.2,100,3.0,SE,50.64,517.29,5000.0,5000.0,2024-07-19 11:42:00,monsoon,11,4,7,Natural
Pakistan,Rawalpindi,City Center,33.5915446,73.053721,5.0,167.47,19.28,2.54,87.92,1088.77,302.97,27.4,75,1.8,NE,2.35,5000.0,5000.0,5000.0,2024-04-25 15:18:00,spring,15,3,4,Vehicular
Brazil,Jaboatão dos Guararapes,Sector_3,-8.19724,-34.9263,2.0,43.106885804259086,0.46,0.25,73.14,239.29157397999955,259.10371456046755,30.03,62,5.14,NW,231.63,560.18,1124.0,1110.95,2025-12-17 20:48:54,summer,20,2,12,Agricultural
Indonesia,Depok,Sector_1,-6.40083,106.80774,1.0,2.49,0.36,0.11,62.31,270.144,6.916,41.5,72,4.7,SW,100.36,667.58,233.27,1492.12,2024-08-31 15:32:00,summer,15,5,8,Natural
Nigeria,Katsina,City Center,12.5630825,7.6207063,5.0,155.19,1.07,0.73,88.15,215.27,552.37,28.8,11,4.85,NW,5000.0,5000.0,5000.0,5000.0,2025-12-17 21:11:11,winter,21,2,12,Natural
