Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump
India,New Delhi,Sector_2,28.64366,77.21044,5.0,193.81,33.51,5.47,51.45,1021.91,251.83,16.05,72,2.06,Haze,137.2,706.0,5000.0,2223.79
India,New Delhi,Sector_3,28.61062,77.22193,5.0,193.81,33.51,5.47,51.45,1021.91,251.83,16.08,72,2.06,Haze,67.03,5000.0,5000.0,5000.0
India,New Delhi,City Center,28.6138954,77.2090057,5.0,193.81,33.51,5.47,51.45,1021.91,251.83,17.07,67,2.06,Haze,1.72,5000.0,5000.0,5000.0
India,New Delhi,Sector_1,28.63683,77.20848,5.0,193.81,33.51,5.47,51.45,1021.91,251.83,16.05,72,2.06,Haze,149.1,334.58,5000.0,5000.0
India,Mumbai,Sector_2,19.09523,72.86106,5.0,165.97,2.71,25.78,215.48,614.03,183.41,28.97,42,2.57,Smoke,530.78,369.93,5000.0,5000.0
India,New Delhi,Sector_4,28.58928,77.23423,5.0,194.05,32.99,7.26,59.47,988.75,251.03,16.12,72,2.06,Haze,78.55,1028.73,5000.0,1543.21
India,Mumbai,Sector_1,19.07711,72.89097,5.0,165.97,2.71,25.78,215.48,614.03,183.41,28.97,45,2.57,Smoke,65.6,24.14,559.08,5000.0
India,Mumbai,City Center,19.054999,72.8692035,5.0,165.97,2.71,25.78,215.48,614.03,183.41,29.02,42,2.57,Smoke,24.99,54.06,1244.28,5000.0
India,Mumbai,Sector_4,19.09716,72.86414,5.0,165.97,2.71,25.78,215.48,614.03,183.41,28.97,42,2.57,Smoke,140.95,671.59,5000.0,5000.0
India,Mumbai,Sector_3,19.03297,72.84511,5.0,165.97,2.71,25.78,215.48,614.03,183.41,28.99,42,2.57,Smoke,118.8,5000.0,5000.0,5000.0
India,Bangalore,Sector_1,12.94214,77.59996,2.0,13.41,7.53,3.14,59.72,239.0,17.99,20.91,67,3.09,Clouds,265.86,381.62,310.73,684.83
India,Bangalore,City Center,12.9767936,77.590082,2.0,12.78,7.64,2.49,54.53,244.67,17.89,21.17,65,6.71,Clouds,47.87,662.97,5000.0,694.6
India,Hyderabad,City Center,17.360589,78.4740613,5.0,103.58,7.98,7.01,97.65,390.62,111.75,19.2,59,2.57,Haze,35.98,5000.0,5000.0,5000.0
India,Bangalore,Sector_3,12.94804,77.60291,2.0,13.41,7.53,3.14,59.72,239.0,17.99,21.1,67,6.71,Clouds,33.43,0.0,600.82,326.73
India,Bangalore,Sector_4,13.00308,77.58066,2.0,10.26,5.65,2.25,65.18,212.91,13.59,21.2,65,6.71,Clouds,143.31,652.22,5000.0,5000.0
India,Bangalore,Sector_2,12.99092,77.55704,2.0,12.78,7.64,2.49,54.53,244.67,17.89,21.11,66,3.09,Clouds,40.94,439.7,5000.0,5000.0
India,Hyderabad,Sector_4,17.34327,78.4903,5.0,103.58,7.98,7.01,97.65,390.62,111.75,19.18,59,2.57,Haze,243.78,5000.0,5000.0,5000.0
India,Hyderabad,Sector_3,17.34837,78.50033,5.0,103.58,7.98,7.01,97.65,390.62,111.75,19.12,59,2.57,Haze,82.03,1299.38,0.0,5000.0
India,Hyderabad,Sector_1,17.3489,78.47415,5.0,103.58,7.98,7.01,97.65,390.62,111.75,19.09,59,2.57,Haze,55.58,5000.0,5000.0,5000.0
India,Hyderabad,Sector_2,17.39344,78.49733,5.0,103.58,7.98,7.01,97.65,390.62,111.75,19.23,59,2.57,Haze,36.2,1102.8,1561.88,5000.0
India,Ahmedabad,Sector_3,23.05056,72.58374,5.0,152.1,16.35,11.08,108.45,672.48,169.31,22.03,53,3.09,Smoke,3.87,1307.22,5000.0,5000.0
India,Ahmedabad,Sector_1,23.01502,72.55112,5.0,152.1,16.35,11.08,108.45,672.48,169.31,22.05,53,3.09,Smoke,159.71,5000.0,5000.0,5000.0
India,Ahmedabad,City Center,23.0215374,72.5800568,5.0,152.1,16.35,11.08,108.45,672.48,169.31,23.03,49,2.57,Smoke,51.03,5000.0,5000.0,5000.0
India,Ahmedabad,Sector_2,23.01295,72.5755,5.0,152.1,16.35,11.08,108.45,672.48,169.31,22.12,53,3.09,Smoke,161.66,5000.0,5000.0,5000.0
India,Chennai,Sector_1,13.07154,80.284,4.0,62.36,9.99,10.09,99.77,298.58,77.6,25.04,78,2.57,Mist,119.45,247.54,5000.0,5000.0
India,Chennai,Sector_2,13.09769,80.25722,4.0,62.36,9.99,10.09,99.77,298.58,77.6,25.02,78,2.57,Mist,24.61,295.85,5000.0,1000.59
India,Ahmedabad,Sector_4,23.0311,72.61728,5.0,154.31,19.42,11.78,106.13,716.49,171.27,22.01,53,3.09,Smoke,150.73,525.24,5000.0,5000.0
India,Chennai,City Center,13.0836939,80.270186,4.0,62.36,9.99,10.09,99.77,298.58,77.6,25.09,77,2.57,Mist,38.66,405.71,5000.0,1295.49
India,Kolkata,Sector_1,22.5773,88.3805,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.98,64,2.57,Haze,15.53,5000.0,5000.0,5000.0
India,Chennai,Sector_3,13.10023,80.29849,4.0,62.36,9.99,10.09,99.77,298.58,77.6,25.06,77,2.57,Mist,462.61,2.61,5000.0,5000.0
India,Chennai,Sector_4,13.06564,80.28263,4.0,62.36,9.99,10.09,99.77,298.58,77.6,25.04,78,2.57,Mist,119.62,204.58,5000.0,5000.0
India,Kolkata,City Center,22.5726459,88.3638953,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.96,64,2.57,Haze,145.05,5000.0,5000.0,5000.0
India,Kolkata,Sector_3,22.59729,88.34141,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.96,64,2.57,Haze,13.77,1043.77,5000.0,5000.0
India,Surat,City Center,21.2094892,72.8317058,5.0,173.39,13.5,47.85,146.89,620.67,185.87,23.93,46,3.09,Smoke,77.55,142.73,5000.0,5000.0
India,Kolkata,Sector_2,22.57173,88.37431,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.98,64,2.57,Haze,146.85,5000.0,5000.0,5000.0
India,Kolkata,Sector_4,22.57235,88.37985,5.0,251.73,7.46,29.64,178.43,962.81,270.52,20.99,64,2.57,Haze,285.52,5000.0,5000.0,5000.0
India,Surat,Sector_3,21.20075,72.83774,5.0,173.39,13.5,47.85,146.89,620.67,185.87,23.92,46,3.09,Smoke,19.1,5000.0,5000.0,5000.0
India,Surat,Sector_4,21.20592,72.8506,5.0,173.39,13.5,47.85,146.89,620.67,185.87,23.92,46,3.09,Smoke,107.81,5000.0,5000.0,5000.0
India,Surat,Sector_2,21.20129,72.82572,5.0,173.39,13.5,47.85,146.89,620.67,185.87,23.91,46,3.09,Smoke,257.94,5000.0,5000.0,5000.0
India,Surat,Sector_1,21.20319,72.86831,5.0,173.39,13.5,47.85,146.89,620.67,185.87,23.94,46,3.09,Smoke,122.23,5000.0,5000.0,5000.0
India,Pune,Sector_1,18.53721,73.85814,5.0,105.1,3.54,8.91,139.84,374.71,112.33,23.58,42,1.67,Clear,446.29,798.61,209.16,5000.0
India,Pune,Sector_3,18.5003,73.8502,5.0,105.1,3.54,8.91,139.84,374.71,112.33,23.38,42,1.75,Clear,45.01,632.0,5000.0,182.94
India,Pune,Sector_2,18.5117,73.85828,5.0,105.1,3.54,8.91,139.84,374.71,112.33,23.47,42,1.67,Clear,35.7,5000.0,5000.0,5000.0
India,Pune,City Center,18.5213738,73.8545071,5.0,105.1,3.54,8.91,139.84,374.71,112.33,23.56,42,1.67,Clear,64.19,1216.14,5000.0,597.08
India,Jaipur,Sector_2,26.88767,75.84836,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.03,45,0.0,Haze,908.77,5000.0,5000.0,5000.0
India,Pune,Sector_4,18.4909,73.85496,5.0,105.1,3.54,8.91,139.84,374.71,112.33,23.35,42,1.75,Clear,86.36,1373.45,5000.0,1230.35
India,Jaipur,Sector_4,26.91087,75.80945,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.65,45,0.0,Haze,133.7,5000.0,5000.0,5000.0
India,Jaipur,Sector_1,26.90036,75.85859,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.55,45,0.0,Haze,73.76,5000.0,5000.0,5000.0
India,Jaipur,Sector_3,26.93961,75.81217,5.0,131.18,19.9,7.99,125.54,564.92,173.83,17.37,45,0.0,Haze,634.29,1829.97,5000.0,5000.0
