Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season
Bangladesh,Narsingdi,Sector_3,23.91051,90.72242,5.0,67.01,9.16,2.23,82.92,383.56,82.2,29.4,37,3.8,Spring,651.31,723.14,5000.0,5000.0,2025-03-12 11:41:00,spring
Brazil,Diadema,Sector_3,-23.6608,-46.64015,1.0,2.48,0.06,0.15,58.91,49.2,15.25,25.0,63,6.3,Spring,9.48,5000.0,5000.0,5000.0,2025-03-09 14:49:00,spring
China,Shenyang,Sector_3,41.84149,123.40016,5.0,144.45,117.33,256.36,0.0,3064.87,177.96,0.1,29,3.4,Spring,289.86,5000.0,5000.0,5000.0,2025-03-29 11:51:00,spring
Bangladesh,Jessore,City Center,23.1665256,89.2094419,5.0,147.13,19.6,13.24,137.67,861.66,209.01,26.0,51,2.6,Spring,8.25,660.9,5000.0,5000.0,2025-03-23 15:27:00,spring
Brazil,Maceió,Sector_3,-9.60425,-35.73147,1.0,0.92,0.08,0.09,66.28,49.36,3.42,37.0,19,6.6,Spring,124.91,463.38,1322.5,5000.0,2025-03-31 20:08:00,spring
Germany,Essen,Sector_4,51.48203,7.05034,1.0,4.52,10.2,0.54,57.93,175.0,7.94,17.2,71,1.3,Spring,192.6,1041.15,2088.67,407.09,2025-03-18 19:57:00,spring
China,Dalian,Sector_1,38.88909,121.60513,3.0,35.56,22.9,17.79,53.32,289.7,54.75,7.0,75,0.3,Spring,350.98,5000.0,5000.0,5000.0,2025-03-21 18:51:00,spring
USA,Sacramento,Sector_1,38.58474,-121.52777,1.0,7.26,14.23,0.76,46.84,168.56,11.96,20.7,72,6.4,Spring,166.97,148.36,5000.0,1526.88,2025-05-07 08:53:00,spring
India,Aurangabad,Sector_3,19.87305,75.30858,5.0,73.03,6.8,7.49,153.41,305.71,90.28,28.4,53,0.6,Spring,262.82,5000.0,5000.0,5000.0,2025-03-17 15:39:00,spring
Bangladesh,Gaibandha,Sector_2,25.3139,89.55202,5.0,93.57,18.36,2.4,54.06,756.34,143.57,29.1,36,3.3,Spring,471.77,5000.0,5000.0,5000.0,2025-04-02 16:10:00,spring
Russia,Astrakhan,Sector_1,46.34773,48.01736,2.0,2.72,0.53,0.19,100.86,93.09,11.13,8.7,32,4.3,Spring,616.82,336.16,5000.0,313.87,2025-05-22 17:55:00,spring
Bangladesh,Chittagong,Sector_4,22.36129,91.86683,4.0,42.68,0.47,2.76,193.67,173.75,55.69,26.9,68,2.3,Spring,1608.84,1767.22,995.27,5000.0,2025-05-10 15:04:00,spring
Bangladesh,Chandpur,Sector_1,23.22879,90.61454,5.0,54.36,6.88,1.84,86.42,380.35,78.04,26.3,43,4.0,Spring,5000.0,5000.0,5000.0,5000.0,2025-03-17 15:27:00,spring
Germany,Ludwigshafen,Sector_1,49.49415,8.40425,2.0,10.05,22.53,1.02,53.26,244.92,15.33,14.1,74,2.1,Spring,125.2,968.45,371.82,215.19,2025-04-08 14:45:00,spring
Brazil,Santos,Sector_2,-23.95008,-46.30983,1.0,2.56,0.05,0.16,52.33,44.74,17.44,31.8,84,2.2,Spring,337.77,227.58,5000.0,5000.0,2025-04-24 19:16:00,spring
Germany,Dortmund,Sector_3,51.50101,7.47303,1.0,5.0,11.15,0.55,50.48,168.36,9.08,18.7,66,4.3,Spring,299.75,662.34,5000.0,161.93,2025-04-17 17:26:00,spring
Brazil,Serra,City Center,-20.1252961,-40.3064477,1.0,6.19,5.93,1.64,54.99,160.81,9.72,41.0,38,6.8,Spring,52.69,411.87,1544.47,5000.0,2025-03-03 12:33:00,spring
China,Foshan,Sector_3,23.03115,113.14266,5.0,90.25,34.23,24.83,84.71,533.38,124.41,27.1,27,3.1,Spring,0.34,301.38,1586.58,5000.0,2025-04-19 09:17:00,spring
China,Shantou,City Center,23.3563921,116.6775856,3.0,18.89,3.72,6.9,138.39,158.76,47.02,26.6,50,2.3,Spring,74.8,5000.0,5000.0,5000.0,2025-05-20 20:21:00,spring
India,Ghaziabad,Sector_2,28.78528,77.46545,5.0,170.06,31.79,3.7,51.28,817.88,180.22,24.5,16,3.3,Spring,114.23,5000.0,5000.0,5000.0,2025-03-31 11:49:00,spring
Pakistan,Sargodha,Sector_1,32.10059,72.6754,5.0,248.36,10.31,2.51,132.17,1459.12,406.16,28.1,10,2.5,Spring,536.84,5000.0,5000.0,5000.0,2025-03-11 14:09:00,spring
India,New Delhi,Sector_2,28.64366,77.21044,5.0,132.51,26.48,4.06,83.08,727.67,153.04,20.9,56,2.6,Spring,137.2,706.0,5000.0,2223.79,2025-04-11 16:35:00,spring
