Country,City,Location_Type,Latitude,Longitude,AQI,PM2_5,NO2,SO2,O3,CO,PM10,Temperature,Humidity,Wind_Speed,Weather_Condition,Dist_Road,Dist_Industry,Dist_Farm,Dist_Dump,Timestamp,Season
Bangladesh,Narsingdi,Sector_3,23.91051,90.72242,5.0,47.4,8.71,1.99,109.99,406.93,64.16,32.5,40,4.6,Summer,651.31,723.14,5000.0,5000.0,2025-07-15 13:36:00,summer
Brazil,Diadema,Sector_3,-23.6608,-46.64015,1.0,1.92,0.07,0.11,78.39,37.86,13.63,36.1,67,7.5,Summer,9.48,5000.0,5000.0,5000.0,2025-07-23 13:21:00,summer
China,Shenyang,Sector_3,41.84149,123.40016,5.0,116.88,103.53,242.33,0.0,3084.12,132.01,4.9,28,3.3,Summer,289.86,5000.0,5000.0,5000.0,2025-07-01 17:39:00,summer
Bangladesh,Jessore,City Center,23.1665256,89.2094419,5.0,137.66,19.33,15.51,176.83,1085.81,216.94,35.2,36,2.6,Summer,8.25,660.9,5000.0,5000.0,2025-08-27 09:19:00,summer
Brazil,Maceió,Sector_3,-9.60425,-35.73147,1.0,0.76,0.09,0.09,76.89,50.31,3.62,46.6,24,6.4,Summer,124.91,463.38,1322.5,5000.0,2025-08-14 17:56:00,summer
Germany,Essen,Sector_4,51.48203,7.05034,1.0,3.18,9.71,0.33,53.57,128.01,7.04,24.9,61,1.6,Summer,192.6,1041.15,2088.67,407.09,2025-06-10 18:33:00,summer
China,Dalian,Sector_1,38.88909,121.60513,3.0,25.17,27.64,17.2,76.87,240.61,50.72,11.6,77,1.2,Summer,350.98,5000.0,5000.0,5000.0,2025-06-15 09:09:00,summer
USA,Sacramento,Sector_1,38.58474,-121.52777,1.0,5.73,13.94,0.73,60.6,162.77,9.13,20.0,85,7.3,Summer,166.97,148.36,5000.0,1526.88,2025-08-05 13:47:00,summer
India,Aurangabad,Sector_3,19.87305,75.30858,5.0,72.86,5.74,6.3,180.75,246.03,82.99,33.0,45,1.0,Summer,262.82,5000.0,5000.0,5000.0,2025-06-01 10:40:00,summer
Bangladesh,Gaibandha,Sector_2,25.3139,89.55202,5.0,98.68,16.01,1.96,68.38,597.16,132.34,36.6,38,4.4,Summer,471.77,5000.0,5000.0,5000.0,2025-06-04 09:39:00,summer
Russia,Astrakhan,Sector_1,46.34773,48.01736,2.0,2.05,0.55,0.2,137.28,108.73,8.96,19.7,37,4.6,Summer,616.82,336.16,5000.0,313.87,2025-06-06 15:01:00,summer
Bangladesh,Chittagong,Sector_4,22.36129,91.86683,4.0,32.07,0.57,2.17,218.18,173.84,41.91,33.4,68,2.8,Summer,1608.84,1767.22,995.27,5000.0,2025-08-30 13:04:00,summer
Bangladesh,Chandpur,Sector_1,23.22879,90.61454,5.0,48.27,6.33,1.61,117.32,312.4,65.54,33.8,39,5.1,Summer,5000.0,5000.0,5000.0,5000.0,2025-06-13 15:02:00,summer
Germany,Ludwigshafen,Sector_1,49.49415,8.40425,2.0,8.38,22.89,0.98,64.34,238.44,13.06,19.2,71,2.2,Summer,125.2,968.45,371.82,215.19,2025-08-31 20:09:00,summer
Brazil,Santos,Sector_2,-23.95008,-46.30983,1.0,1.92,0.05,0.13,68.54,37.96,13.39,37.6,79,2.7,Summer,337.77,227.58,5000.0,5000.0,2025-07-29 19:37:00,summer
Germany,Dortmund,Sector_3,51.50101,7.47303,1.0,3.78,10.17,0.55,62.45,156.69,6.82,24.3,53,4.8,Summer,299.75,662.34,5000.0,161.93,2025-06-14 08:28:00,summer
Brazil,Serra,City Center,-20.1252961,-40.3064477,1.0,3.54,7.8,1.38,67.39,153.3,7.24,46.0,33,7.2,Summer,52.69,411.87,1544.47,5000.0,2025-06-08 18:48:00,summer
China,Foshan,Sector_3,23.03115,113.14266,5.0,62.31,35.3,25.3,104.25,455.8,91.27,35.1,33,4.3,Summer,0.34,301.38,1586.58,5000.0,2025-08-26 13:44:00,summer
China,Shantou,City Center,23.3563921,116.6775856,3.0,13.79,4.02,4.82,181.0,172.71,36.97,34.3,43,3.7,Summer,74.8,5000.0,5000.0,5000.0,2025-08-10 08:46:00,summer
India,Ghaziabad,Sector_2,28.78528,77.46545,5.0,136.37,35.64,3.51,70.48,696.91,195.77,29.9,13,3.6,Summer,114.23,5000.0,5000.0,5000.0,2025-08-12 18:34:00,summer
Pakistan,Sargodha,Sector_1,32.10059,72.6754,5.0,208.28,11.09,2.11,156.89,1025.19,285.28,35.1,10,3.5,Summer,536.84,5000.0,5000.0,5000.0,2025-06-14 11:46:00,summer
India,New Delhi,Sector_2,28.64366,77.21044,5.0,120.8,26.68,3.35,75.96,647.95,162.59,32.0,58,3.0,Summer,137.2,706.0,5000.0,2223.79,2025-07-08 08:28:00,summer
Nigeria,Minna,Sector_1,9.6263,6.58034,5.0,52.68,1.11,0.32,127.97,213.03,157.43,51.6,10,2.9,Summer,69.1,5000.0,5000.0,5000.0,2025-07-16 13:46:00,summer
Brazil,Rio de Janeiro,Sector_3,-22.92265,-43.16893,2.0,2.33,0.06,0.14,82.67,47.13,16.09,37.3,46,5.5,Summer,204.56,961.41,5000.0,1032.32,2025-08-27 18:35:00,summer
Germany,Leipzig,City Center,51.3406321,12.3747329,3.0,17.98,20.03,1.05,56.6,237.67,21.04,22.7,64,6.7,Summer,379.55,776.2,2614.08,231.09,2025-07-25 17:37:00,summer
Russia,Vladivostok,Sector_2,43.11064,131.90953,2.0,2.73,3.63,3.73,131.65,121.15,3.89,5.0,35,5.0,Summer,513.92,49.65,5000.0,649.08,2025-07-05 09:23:00,summer
USA,El Paso,Sector_1,31.76392,-106.5117,1.0,4.19,2.63,0.24,69.24,93.68,6.13,24.6,13,3.8,Summer,7.56,143.51,5000.0,5000.0,2025-07-01 08:07:00,summer
Bangladesh,Gaibandha,Sector_1,25.36741,89.54578,5.0,96.19,22.81,2.46,70.64,657.35,121.8,35.1,45,3.6,Summer,920.23,5000.0,5000.0,5000.0,2025-06-15 09:02:00,summer
Brazil,Santo André,Sector_2,-23.65108,-46.55835,1.0,2.06,0.05,0.12,63.34,34.48,10.59,33.9,56,7.3,Summer,81.34,492.78,1479.12,691.44,2025-07-11 20:44:00,summer
India,Kanpur,Sector_1,26.46244,80.27696,5.0,89.23,8.72,1.95,97.51,435.57,130.89,31.1,10,1.9,Summer,215.64,0.0,5000.0,5000.0,2025-08-10 14:29:00,summer
USA,Washington,Sector_2,38.8609,-77.01081,2.0,9.31,11.53,1.73,77.57,152.51,14.11,17.1,42,5.1,Summer,306.48,925.42,5000.0,5000.0,2025-08-13 12:19:00,summer
USA,Miami,Sector_4,25.74954,-80.18028,2.0,1.41,0.42,0.4,112.64,68.63,6.99,42.4,59,6.8,Summer,368.35,5000.0,5000.0,5000.0,2025-08-10 16:12:00,summer
Pakistan,Mardan,City Center,34.1937969,72.0451467,5.0,131.75,7.87,4.34,196.69,953.14,189.4,34.1,10,2.2,Summer,235.29,5000.0,5000.0,5000.0,2025-08-13 12:03:00,summer
Pakistan,Muzaffargarh,Sector_1,30.03589,71.20593,5.0,251.8,9.96,1.72,133.93,725.54,353.89,28.8,10,4.2,Summer,236.06,5000.0,5000.0,5000.0,2025-08-04 18:22:00,summer
Germany,Mannheim,City Center,49.4892913,8.4673098,2.0,10.93,22.95,1.24,66.18,234.09,13.39,20.4,65,2.5,Summer,438.37,29.16,5000.0,456.9,2025-06-04 09:18:00,summer
Pakistan,Multan,Sector_1,30.205,71.43807,5.0,178.21,13.03,1.47,139.55,891.96,315.24,29.9,48,1.2,Summer,79.94,5000.0,5000.0,5000.0,2025-08-14 19:31:00,summer
Brazil,Belém,Sector_1,-1.46429,-48.45643,1.0,1.55,0.34,0.17,47.53,85.99,2.89,42.2,49,5.7,Summer,162.65,267.08,5000.0,1313.75,2025-07-06 13:20:00,summer
Nigeria,Ilesa,Sector_3,7.59091,4.71302,1.0,5.08,1.43,0.72,70.72,176.94,11.96,50.3,10,3.0,Summer,972.05,5000.0,5000.0,5000.0,2025-06-20 13:42:00,summer
Russia,Belgorod,Sector_1,50.59382,36.56852,2.0,7.29,12.75,5.46,45.77,135.68,11.84,17.4,69,3.6,Summer,265.14,725.88,1760.26,536.07,2025-07-03 08:03:00,summer
Pakistan,Tando Allahyar,City Center,25.4619907,68.7198264,5.0,136.65,9.41,2.64,135.29,532.59,288.28,35.0,10,3.0,Summer,125.29,5000.0,5000.0,5000.0,2025-06-21 16:30:00,summer
Brazil,Santos,Sector_1,-23.94199,-46.31617,1.0,2.13,0.06,0.15,73.67,39.4,13.18,36.3,69,1.7,Summer,115.74,494.07,5000.0,5000.0,2025-07-30 09:19:00,summer
Indonesia,Surakarta,Sector_3,-7.57837,110.82212,1.0,1.34,0.05,0.12,78.21,47.03,6.7,41.6,72,3.9,Summer,38.52,606.58,1652.51,5000.0,2025-06-01 12:53:00,summer
Indonesia,Bogor,Sector_3,-6.5698,106.78092,1.0,1.01,0.23,0.08,60.06,55.0,2.62,43.2,74,3.6,Summer,73.32,5000.0,5000.0,5000.0,2025-06-10 08:55:00,summer
India,Meerut,Sector_1,29.00357,77.7887,5.0,137.34,34.0,3.66,90.67,946.04,206.33,33.2,10,2.8,Summer,5000.0,5000.0,5000.0,5000.0,2025-06-17 18:33:00,summer
Germany,Kiel,Sector_3,54.34926,10.18858,3.0,15.16,25.87,1.68,13.33,229.33,24.69,24.9,69,3.6,Summer,9.37,251.77,1359.87,412.36,2025-08-22 13:13:00,summer
Bangladesh,Dhaka,Sector_1,23.73968,90.35538,5.0,53.92,10.34,2.54,120.48,404.51,97.74,33.1,63,3.5,Summer,594.05,170.36,0.0,611.42,2025-06-04 18:12:00,summer
China,Chongqing,Sector_1,30.06274,107.89709,5.0,104.17,27.87,20.75,26.49,959.55,130.56,27.0,56,1.4,Summer,807.11,5000.0,5000.0,5000.0,2025-06-26 11:07:00,summer
Pakistan,Kotri,Sector_1,25.35821,68.27481,5.0,118.52,6.93,3.56,190.26,536.42,199.41,36.4,10,4.2,Summer,387.77,569.58,5000.0,5000.0,2025-08-05 12:04:00,summer
Pakistan,Daska,Sector_2,32.35364,74.39383,5.0,166.66,32.94,3.39,63.47,1550.85,221.04,29.5,10,2.8,Summer,148.35,5000.0,5000.0,5000.0,2025-08-03 16:08:00,summer
India,Jaipur,Sector_1,26.90036,75.85859,5.0,86.63,17.39,5.33,179.84,333.93,118.55,33.7,25,1.1,Summer,73.76,5000.0,5000.0,5000.0,2025-07-08 08:23:00,summer
Brazil,Fortaleza,Sector_4,-3.76331,-38.52671,1.0,1.37,0.24,0.08,61.47,77.69,4.82,47.1,37,9.2,Summer,292.74,429.09,5000.0,1341.71,2025-07-24 10:19:00,summer
Indonesia,Pekanbaru,Sector_3,0.52579,101.43988,3.0,18.3,9.31,1.12,0.64,557.04,26.7,38.3,78,4.3,Summer,64.94,182.98,5000.0,5000.0,2025-08-30 20:03:00,summer
Brazil,Mauá,City Center,-23.6669527,-46.4616922,1.0,2.21,0.06,0.12,85.87,38.16,13.43,34.0,75,5.8,Summer,164.59,91.06,5000.0,1256.43,2025-06-18 11:10:00,summer
Brazil,Sorocaba,City Center,-23.5003451,-47.4582864,1.0,1.71,0.32,0.15,57.29,46.3,10.7,36.9,48,8.3,Summer,57.66,410.11,5000.0,5000.0,2025-07-21 14:06:00,summer
USA,Indianapolis,City Center,39.7683331,-86.1583502,1.0,4.6,7.89,1.28,95.23,138.93,7.95,17.7,42,5.6,Summer,32.87,1066.06,5000.0,913.24,2025-06-21 10:30:00,summer
India,Meerut,Sector_3,29.03043,77.7755,5.0,118.0,32.67,4.73,83.09,879.1,230.11,29.6,10,2.4,Summer,339.26,465.37,5000.0,5000.0,2025-06-11 14:47:00,summer
Indonesia,Cirebon,Sector_2,-6.67801,108.53918,1.0,1.43,1.35,0.18,62.85,87.95,2.96,45.5,65,3.0,Summer,555.1,5000.0,5000.0,5000.0,2025-07-08 16:29:00,summer
Germany,Halle,City Center,51.4824354,11.9712985,3.0,16.35,21.38,1.33,56.49,226.41,24.01,19.0,65,7.0,Summer,371.94,219.36,2995.73,338.74,2025-06-25 17:29:00,summer
Pakistan,Chishtian,Sector_1,29.79235,72.83652,5.0,189.3,2.46,3.43,217.51,693.7,404.07,37.4,10,3.6,Summer,743.41,5000.0,5000.0,5000.0,2025-08-19 20:31:00,summer
China,Xiamen,Sector_4,24.45824,118.08093,3.0,20.73,7.14,8.1,149.92,173.54,39.82,33.5,44,5.8,Summer,16.24,5000.0,5000.0,5000.0,2025-06-07 14:00:00,summer
Pakistan,Daska,City Center,32.3323692,74.352516,5.0,203.84,29.97,4.22,55.75,1760.99,293.91,34.0,10,3.2,Summer,37.37,5000.0,5000.0,5000.0,2025-08-02 17:26:00,summer
China,Quanzhou,Sector_2,25.19136,118.31885,3.0,26.69,13.89,11.76,127.56,194.8,37.83,28.6,61,2.0,Summer,738.46,5000.0,5000.0,5000.0,2025-08-02 13:07:00,summer
USA,Denver,Sector_2,39.7367,-104.99634,1.0,1.15,2.41,0.07,97.48,64.72,1.32,23.6,18,1.4,Summer,1.77,5000.0,5000.0,5000.0,2025-06-16 10:31:00,summer
Nigeria,Benin City,Sector_3,6.335,5.603,1.0,1.48,0.15,0.09,36.05,97.86,2.82,50.4,22,3.9,Summer,252.16,5000.0,5000.0,5000.0,2025-08-30 19:58:00,summer
Brazil,Fortaleza,City Center,-3.7304512,-38.5217989,1.0,1.28,0.14,0.07,82.33,92.63,4.31,46.7,48,9.3,Summer,1.5,293.17,5000.0,923.78,2025-07-17 20:43:00,summer
Indonesia,Pontianak,Sector_4,-0.02207,109.31553,1.0,1.12,0.19,0.08,75.94,74.82,2.34,37.8,76,1.3,Summer,80.03,1272.76,583.64,5000.0,2025-07-21 14:35:00,summer
Bangladesh,Faridpur,Sector_3,23.59992,89.79965,5.0,111.65,11.59,4.76,154.19,674.81,130.03,36.9,27,4.2,Summer,823.65,5000.0,5000.0,5000.0,2025-06-14 14:41:00,summer
Russia,Tomsk,Sector_3,58.609,82.08166,1.0,0.43,0.3,0.24,106.92,93.31,0.5,-7.8,87,3.9,Summer,5000.0,5000.0,5000.0,5000.0,2025-06-25 15:41:00,summer
Bangladesh,Rangpur,Sector_2,25.60381,89.10296,5.0,89.54,13.48,3.69,106.42,636.41,121.83,35.9,38,2.8,Summer,650.23,5000.0,5000.0,5000.0,2025-07-30 10:36:00,summer
Bangladesh,Satkhira,City Center,22.7166509,89.0749857,5.0,176.25,11.2,22.54,227.56,755.85,206.18,37.3,32,3.8,Summer,64.38,1305.15,623.67,392.51,2025-07-10 12:21:00,summer
Indonesia,Dumai,Sector_1,1.67991,101.46596,2.0,7.29,1.76,0.16,13.39,249.83,9.5,40.8,73,2.2,Summer,244.16,0.0,1661.5,5000.0,2025-08-24 20:36:00,summer
China,Luoyang,City Center,34.6196539,112.4477046,5.0,148.12,64.42,16.92,18.84,1018.57,277.42,20.5,35,2.8,Summer,100.11,5000.0,5000.0,5000.0,2025-06-06 10:22:00,summer
India,Varanasi,City Center,25.3356491,83.0076292,5.0,82.38,5.35,2.66,147.62,389.93,97.14,31.5,12,2.9,Summer,133.49,5000.0,5000.0,5000.0,2025-08-09 10:10:00,summer
Pakistan,Mirpur Khas,Sector_1,25.53147,68.98136,5.0,136.2,10.14,2.26,117.93,537.74,300.42,39.9,10,3.6,Summer,624.05,5000.0,5000.0,5000.0,2025-07-05 15:52:00,summer
Brazil,Porto Velho,Sector_3,-8.75309,-63.89742,1.0,0.33,0.11,0.02,5.19,46.55,0.32,40.1,61,1.8,Summer,84.0,256.28,5000.0,5000.0,2025-07-04 13:54:00,summer
China,Nanning,Sector_3,22.77866,108.3417,5.0,53.05,4.18,4.92,124.86,242.6,68.23,36.4,57,3.7,Summer,11.33,5000.0,5000.0,5000.0,2025-08-19 11:50:00,summer
Nigeria,Iwo,Sector_2,7.64444,4.18981,2.0,11.12,3.78,1.89,104.39,360.38,19.86,50.6,10,2.6,Summer,293.35,5000.0,5000.0,5000.0,2025-08-08 19:47:00,summer
China,Chengdu,Sector_1,30.65397,104.04457,5.0,185.21,35.53,20.61,75.79,1127.64,202.43,22.7,60,2.2,Summer,18.99,83.39,5000.0,5000.0,2025-06-28 08:45:00,summer
China,Zibo,Sector_2,36.80416,118.03678,5.0,147.27,79.83,45.91,0.0,1654.3,224.49,20.2,48,3.0,Summer,12.02,5000.0,5000.0,5000.0,2025-08-31 15:07:00,summer
Bangladesh,Nawabganj,Sector_4,24.61302,88.24432,5.0,132.36,27.77,4.99,87.23,871.74,147.86,34.6,26,4.0,Summer,72.02,411.67,5000.0,5000.0,2025-06-15 12:29:00,summer
Brazil,Ananindeua,Sector_3,-1.40949,-48.42664,1.0,1.66,0.32,0.14,50.82,79.25,2.98,45.1,46,6.0,Summer,129.46,131.0,5000.0,5000.0,2025-06-24 11:44:00,summer
Brazil,Caxias do Sul,Sector_2,-29.17504,-51.13691,2.0,2.45,0.61,1.57,127.86,59.37,5.71,39.4,41,3.3,Summer,1001.62,5000.0,5000.0,5000.0,2025-08-24 19:39:00,summer
Russia,Kazan,Sector_4,55.80313,49.16846,1.0,3.67,10.81,2.02,37.38,157.97,5.14,4.6,77,1.6,Summer,1394.36,1194.52,5000.0,267.03,2025-06-25 15:10:00,summer
USA,New Orleans,City Center,29.9559145,-90.0730259,2.0,1.59,1.02,0.27,128.61,85.46,3.67,30.9,60,5.1,Summer,8.27,68.97,5000.0,5000.0,2025-06-19 13:11:00,summer
Brazil,Joinville,Sector_3,-26.25973,-48.84532,1.0,1.94,0.32,0.48,98.81,44.87,3.7,39.2,32,4.0,Summer,90.42,138.79,5000.0,1287.98,2025-08-02 12:49:00,summer
India,Surat,Sector_3,21.20075,72.83774,5.0,110.5,10.67,30.85,242.06,477.0,118.82,39.5,17,4.6,Summer,19.1,5000.0,5000.0,5000.0,2025-08-02 16:50:00,summer
Bangladesh,Sherpur,Sector_4,25.00869,90.01869,5.0,56.15,12.74,1.44,75.9,613.68,101.36,35.2,36,4.0,Summer,212.2,383.81,1142.49,5000.0,2025-08-19 16:43:00,summer
Russia,Yaroslavl,Sector_2,57.63954,39.83003,1.0,2.4,5.17,0.89,90.46,116.65,2.8,15.5,76,4.6,Summer,336.38,1030.55,5000.0,718.31,2025-08-20 08:26:00,summer
Indonesia,Tangerang,Sector_2,-6.13961,106.61707,1.0,0.42,0.35,0.09,37.52,85.56,1.22,40.5,82,5.2,Summer,7.83,5000.0,5000.0,5000.0,2025-08-17 20:46:00,summer
Brazil,Contagem,Sector_4,-19.91312,-44.06675,1.0,3.39,0.75,0.37,69.96,134.53,3.58,39.9,55,4.1,Summer,97.5,283.98,5000.0,5000.0,2025-08-12 08:38:00,summer
Bangladesh,Chandpur,City Center,23.2241763,90.6531005,5.0,54.72,7.43,1.56,97.85,397.12,74.14,35.1,43,4.5,Summer,71.72,5000.0,5000.0,5000.0,2025-08-17 20:36:00,summer
India,Navi Mumbai,Sector_3,19.0156,73.02335,5.0,104.47,3.25,18.45,283.87,499.85,125.53,43.7,21,3.4,Summer,78.63,448.18,5000.0,907.25,2025-07-19 18:57:00,summer
Pakistan,Sialkot,Sector_3,32.51236,74.56682,5.0,179.34,42.08,2.95,68.18,1770.28,239.34,34.1,52,0.9,Summer,438.71,5000.0,5000.0,5000.0,2025-07-21 13:07:00,summer
China,Nanjing,Sector_3,32.00822,118.77759,5.0,120.91,71.82,20.2,0.0,1461.42,181.54,20.0,29,3.4,Summer,22.6,239.69,1267.61,826.95,2025-08-27 20:52:00,summer
Russia,Bryansk,Sector_3,53.26766,34.37174,1.0,3.9,2.26,0.74,107.3,139.35,4.7,18.1,77,4.2,Summer,1392.37,573.51,5000.0,1176.98,2025-07-12 08:45:00,summer
Indonesia,Kendari,Sector_4,-3.9769,122.51744,1.0,3.23,2.73,0.24,64.63,166.54,5.36,37.0,76,1.6,Summer,24.57,5000.0,5000.0,5000.0,2025-08-11 19:43:00,summer
Nigeria,Kaduna,Sector_4,10.52044,7.4269,5.0,70.91,1.3,0.19,116.9,187.93,214.82,50.8,10,2.0,Summer,91.81,839.47,562.63,5000.0,2025-06-23 20:30:00,summer
Pakistan,Larkana,Sector_4,27.59829,68.21211,5.0,115.36,5.77,2.34,170.66,393.66,175.97,37.3,10,3.3,Summer,249.28,5000.0,5000.0,5000.0,2025-08-26 15:40:00,summer
USA,San Antonio,City Center,29.4246002,-98.4951405,1.0,2.83,3.71,0.03,57.12,108.76,5.76,30.7,75,2.6,Summer,57.09,177.4,5000.0,5000.0,2025-08-12 11:12:00,summer
Nigeria,Onitsha,Sector_2,6.17126,6.79996,1.0,4.63,0.68,0.53,47.5,147.88,13.81,48.7,10,2.1,Summer,558.6,5000.0,5000.0,5000.0,2025-06-16 16:23:00,summer
China,Hangzhou,Sector_4,30.24182,120.17553,5.0,140.35,85.16,14.2,0.0,1139.24,160.13,23.7,38,3.4,Summer,128.34,972.72,2107.68,1015.78,2025-06-19 19:08:00,summer
USA,Nashville,City Center,36.1622767,-86.7742984,2.0,8.2,5.93,0.39,92.61,146.22,9.39,22.0,31,3.9,Summer,8.57,600.49,5000.0,527.44,2025-08-15 19:36:00,summer
China,Zibo,City Center,36.8129564,118.0488401,5.0,138.25,74.29,39.09,0.0,1491.68,200.59,21.3,46,3.6,Summer,72.99,5000.0,5000.0,5000.0,2025-07-14 14:53:00,summer
Indonesia,Bogor,Sector_2,-6.60545,106.76008,1.0,0.94,0.13,0.09,51.57,48.89,3.08,41.7,72,3.3,Summer,140.81,1359.08,238.84,1437.56,2025-06-08 11:00:00,summer
