city_x,PM25 AQ,PM25 AQI Category,PM10 AQ,PM10 AQI Category,CO AQ,CO AQI Category,NO2 AQ,NO2 AQI Category,SO2 AQ,SO2 AQI Category,O3 AQ,O3 AQI Category,AQI,location_id,temperature,humidity,wind_speed,wind_deg,timestamp,hour,day_of_week,month,season,city_y,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Distance_to_Nearest_Road_m,Distance_to_Nearest_Industrial_m,Distance_to_Nearest_Farmland_m,Distance_to_Nearest_Landfill_m,Distance_to_Nearest_Dump_m,latitude,longitude,Pollution_Source
Mumbai,0.2439065459903178,Moderate,0.2206354873259551,Moderate,0.1184015921640553,Very Poor,0.0153828088304368,Good,0.1048271291284657,Good,0.8281142226514002,Moderate,5,16173235,0.9846761086603204,0.2564102564102564,0.3059523809523809,0.9166666666666669,1970-01-01 00:00:01.766499058,0,3,1,Winter,Mumbai,938.0,30.0,2.0,0.0,0.0,23.6,51.03,1878.86,894.22,340.4,19.054999,72.8692035,Industrial
New Delhi,0.347063776047148,Moderate,0.3497500892538379,Poor,0.2915923591734795,Severe,0.2341474870831375,Good,0.040097205346294,Good,0.2810042764519244,Satisfactory,5,16173236,0.7072208033433944,0.7051282051282051,0.2452380952380952,0.7222222222222222,1970-01-01 00:00:01.766499002,0,3,1,Winter,New Delhi,1205.0,0.0,0.0,0.0,3.0,1.5,916.48,814.3299999999999,894.22,2068.8,28.6138954,77.2090057,Vehicular
Pune,0.2346453378236161,Moderate,0.2098536237058194,Moderate,0.1198415640670425,Very Poor,0.03511038046031,Good,0.0487131337678117,Good,0.6502965926334666,Moderate,5,16174445,0.8553517529602972,0.1538461538461538,0.2011904761904761,0.2944444444444444,1970-01-01 00:00:01.766498794,0,3,1,Winter,Pune,1899.0,5.0,2.0,0.0,1.0,24.72,1355.7,1793.35,894.22,563.07,18.5213738,73.8545071,Natural
Shrirampur,0.0804883182487897,Good,0.0776865405212424,Good,0.0950732668630855,Very Poor,0.1390324095819633,Good,0.0852755992488677,Good,0.326113946751276,Satisfactory,3,30609910,0.8077548177385652,0.1666666666666666,0.2083333333333333,0.1833333333333333,1970-01-01 00:00:01.766499058,0,3,1,Winter,Shrirampur,324.0,3.0,11.0,0.0,0.0,0.0,1045.9,814.5,894.22,340.4,19.6199708,74.6546944,Natural
Vaduj,0.2739633761313408,Moderate,0.2480721171010353,Moderate,0.1573081500848763,Severe,0.1127289807421324,Good,0.0492654368717552,Good,0.447096151193268,Moderate,5,30612110,0.8251683306245646,0.0897435897435897,0.2714285714285714,0.1861111111111111,1970-01-01 00:00:01.766499058,0,3,1,Winter,Vaduj,112.0,0.0,0.0,0.0,0.0,0.76,916.48,814.3299999999999,894.22,340.4,17.5950822,74.4504661,Natural
Pushkar,0.1630183119343296,Satisfactory,0.2282577650838986,Moderate,0.0937971942010887,Very Poor,0.1001643964302489,Good,0.0396553628631392,Good,0.4027222145583299,Satisfactory,5,82799646,0.7606222428604598,0.141025641025641,0.3333333333333333,0.9638888888888888,1970-01-01 00:00:01.766499058,0,3,1,Winter,Pushkar,414.0,1.0,218.0,0.0,0.0,7.49,437.1,7.49,894.22,340.4,26.4876472,74.5578484,Natural
Orchha,0.1270048410860871,Satisfactory,0.1194037843627276,Satisfactory,0.1147099568788901,Very Poor,0.1436120244246124,Good,0.0293825251297912,Good,0.1739090449257369,Good,4,82799649,0.772231251451126,0.3076923076923077,0.2249999999999999,0.0111111111111111,1970-01-01 00:00:01.766499058,0,3,1,Winter,Orchha,48.0,0.0,1.0,0.0,0.0,46.82,916.48,1195.32,894.22,340.4,25.3528706,78.6402465,Natural
Phillaur,0.1731424963165649,Satisfactory,0.1871652981078186,Moderate,0.2457513024136114,Severe,0.1301080319398778,Good,0.0627416326079752,Good,0.3789948038809951,Satisfactory,5,102751630,0.711167866264221,0.3461538461538461,0.4369047619047618,0.8250000000000001,1970-01-01 00:00:01.766499058,0,3,1,Winter,Phillaur,532.0,0.0,0.0,0.0,0.0,25.75,916.48,814.3299999999999,894.22,340.4,31.018294,75.7839116,Natural
Goraya,0.1731424963165649,Satisfactory,0.1871652981078186,Moderate,0.2457513024136114,Severe,0.1301080319398778,Good,0.0627416326079752,Good,0.3789948038809951,Satisfactory,5,103898968,0.7127931274669144,0.3461538461538461,0.4297619047619047,0.8194444444444445,1970-01-01 00:00:01.766498986,0,3,1,Winter,Goraya,482.0,0.0,0.0,0.0,0.0,7.54,916.48,814.3299999999999,894.22,340.4,31.1208324,75.7787046,Natural
Phagwara,0.1667227952010103,Satisfactory,0.1812923955730097,Moderate,0.2529355524770248,Severe,0.1463128229215593,Good,0.0608638020545675,Good,0.3546696096013244,Satisfactory,5,103907978,0.7130253076387276,0.3461538461538461,0.4214285714285714,0.8194444444444445,1970-01-01 00:00:01.766498804,0,3,1,Winter,Phagwara,335.0,5.0,0.0,0.0,0.0,102.43,415.93,814.3299999999999,894.22,340.4,31.2206734,75.7696463,Natural
Mohali,0.297937276362871,Moderate,0.2904319885755088,Moderate,0.3333047160055413,Severe,0.1465476749647721,Good,0.0858279023528112,Good,0.4266795420057939,Moderate,5,125904109,0.7042024611098212,0.4487179487179487,0.4297619047619047,0.9055555555555556,1970-01-01 00:00:01.766499058,0,3,1,Winter,Mohali,1677.0,4.0,0.0,0.0,0.0,16.95,867.79,814.3299999999999,894.22,340.4,30.7041168,76.7176885,Natural
Morinda,0.2772258471900652,Moderate,0.2738843270260621,Moderate,0.3177186786599285,Severe,0.1515969938938468,Good,0.0913509333922456,Good,0.429576493309422,Moderate,5,125905496,0.7116322266078478,0.4358974358974359,0.4273809523809523,0.8722222222222222,1970-01-01 00:00:01.766499058,0,3,1,Winter,Morinda,393.0,2.0,0.0,0.0,0.0,9.59,870.35,814.3299999999999,894.22,340.4,30.7908462,76.4984505,Natural
Kurali,0.2603872868869711,Moderate,0.2562477686540521,Moderate,0.312079764297282,Severe,0.1301080319398778,Good,0.0819617806252071,Good,0.4170690210143928,Moderate,5,125906063,0.7053633619688879,0.4487179487179487,0.4023809523809523,0.9027777777777778,1970-01-01 00:00:01.766499058,0,3,1,Winter,Kurali,661.0,1.0,0.0,0.0,0.0,44.11,1335.88,814.3299999999999,894.22,340.4,30.8314536,76.5784763,Natural
Rupnagar,0.2603872868869711,Moderate,0.2562477686540521,Moderate,0.312079764297282,Severe,0.1301080319398778,Good,0.0819617806252071,Good,0.4170690210143928,Moderate,5,125907877,0.7069886231715812,0.4487179487179487,0.3702380952380952,0.9194444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Rupnagar,579.0,0.0,0.0,0.0,0.0,88.56,916.48,814.3299999999999,894.22,340.4,30.9688367,76.526088,Natural
Moga,0.218753946537571,Moderate,0.2376115672973938,Moderate,0.3239195332773994,Severe,0.1782527007984969,Good,0.0435214845907433,Good,0.34542695544213,Satisfactory,5,126094102,0.7067564429997679,0.2692307692307691,0.369047619047619,0.8583333333333334,1970-01-01 00:00:01.766499058,0,3,1,Winter,Moga,1819.0,1.0,0.0,0.0,0.0,28.55,1597.66,814.3299999999999,894.22,340.4,30.8223408,75.1730967,Natural
Pahalgam,0.0703430856661755,Good,0.0839700107104605,Satisfactory,0.2151918986946595,Severe,0.2651479567872239,Good,0.0374461504473655,Good,0.2317101209362211,Satisfactory,3,165089167,0.3361968887856977,0.2948717948717948,0.557142857142857,0.1444444444444444,1970-01-01 00:00:01.766499058,0,3,1,Winter,Pahalgam,4.0,0.0,4.0,0.0,0.0,343.9,916.48,343.9,894.22,340.4,34.0322048,75.3226479,Natural
