City,Road_Count,Industrial_Count,Farmland_Count,Landfill_Count,Dump_Site_Count,Recycling_Count,Green_Area_Count
A Coruna,1291,5,0,0,158,96,11
Aabenraa,605,5,7,0,0,2,26
Aachen,1658,9,5,0,12,86,157
Aalborg,1980,20,0,0,36,217,93
Aalburg,73,2,96,0,0,0,423
Aalen,0,0,0,0,0,0,0
Aalsmeer,736,17,47,0,0,0,337
Aalst,1220,12,43,0,0,7,152
Aalten,659,3,109,0,11,20,503
Aalter,603,2,108,0,1,8,302
Aanekoski,0,0,0,0,0,0,0
Aarau,950,13,44,0,6,21,108
Aarschot,647,24,85,0,0,9,356
Aartselaar,391,16,57,0,3,17,121
Aba,30,0,0,0,0,0,1
Abadan,1066,2,0,0,0,0,5
Abaete,416,0,0,0,0,0,9
Abaetetuba,519,1,0,0,0,0,8
Abakaliki,0,0,0,0,0,0,0
Abakan,563,31,0,0,33,1,324
Abalak,0,0,0,0,0,0,0
Abancay,635,0,1,0,0,0,6
Abano Terme,642,2,33,0,0,8,9
Abaran,211,1,0,0,0,0,4
Abashiri,242,2,2,0,0,0,19
Abasolo,29,0,0,0,0,0,0
Abay,163,4,0,0,0,0,0
Abaza,199,7,0,0,7,3,14
Abbeville,0,0,0,0,0,0,0
Abbiategrasso,670,15,198,0,0,1,3
Abbotsford,988,27,7,0,19,39,51
Abdanan,528,1,13,0,0,0,4
Abdulino,174,5,0,0,0,0,10
Abeche,0,0,0,0,0,0,0
Abengourou,664,0,0,0,0,0,0
Abensberg,448,4,111,0,1,5,75
Abeokuta,0,0,0,0,0,0,0
Aberdare,0,0,0,0,0,0,0
Aberdeen,1901,44,0,0,17,74,116
Aberystwyth,352,0,26,0,21,15,69
Abha,876,0,6,0,0,0,12
Abhar,1389,1,0,0,0,0,3
Abhayapuri,0,0,0,0,0,0,0
Abhaynagar,91,6,0,0,0,0,1
Abidjan,759,12,0,0,0,0,1
Abiko,1141,2,117,0,0,1,58
Abilene,0,0,0,0,0,0,0
Abingdon,0,0,0,0,0,0,0
Abington,277,0,0,0,0,0,3
Abinsk,336,2,1,0,0,0,32
Abiy Adi,2,0,0,0,0,0,0
Abnub,775,0,0,0,0,0,0
Abohar,0,0,0,0,0,0,0
Aboisso,0,0,0,0,0,0,2
Abomey,909,0,0,0,0,0,0
Abomey Calavi,882,0,0,0,1,0,1
Abomsa,171,0,0,0,0,0,1
Abong Mbang,0,0,0,0,0,0,0
Abonnema,35,0,0,0,0,0,4
Abony,309,4,2,0,0,1,17
Abovyan,387,11,5,1,2,1,2
Abrantes,0,0,0,0,0,0,0
Abrego,0,0,0,0,0,0,0
Abreu E Lima,0,0,0,0,0,0,0
Abreus,85,3,6,0,0,0,2
Abu Dhabi,1383,0,0,0,21,20,69
Abu Jubayhah,155,0,0,0,0,0,0
Abu Kamal,553,0,13,0,0,0,0
Abu Road,0,0,0,0,0,0,0
Abu Zabad,300,0,0,0,0,0,0
Abucay,381,0,3,0,0,0,0
Abuja,594,4,0,0,0,0,12
Aburi,0,0,0,0,0,0,0
Abuyog,114,0,24,0,0,0,52
Abyek,683,4,5,0,0,0,13
Acacias,2590,3,0,0,8,176,53
Acahualco,770,0,1,0,0,1,1
Acajete,25,0,0,0,0,0,1
Acajutiba,0,0,0,0,0,0,0
Acajutla,329,48,4,0,0,0,18
Acala,0,0,0,0,0,0,0
Acambaro,88,0,0,0,0,0,0
Acaponeta,0,0,0,0,0,0,0
Acapulco,1677,3,0,0,0,0,40
Acara,1,0,0,0,0,0,1
Acarau,0,0,0,0,0,0,0
Acarigua,0,0,0,0,0,0,0
Acatic,330,15,30,0,0,0,0
Acatlan,59,0,0,0,0,0,1
Acatzingo,1,0,0,0,0,0,0
Acayucan,23,0,0,0,0,0,0
Accra,1179,3,0,0,1,3,61
Accrington,1146,35,20,1,0,3,380
Acerra,800,3,171,0,0,0,0
Achalpur,0,0,0,0,0,0,0
Acheng,135,15,0,0,0,0,6
Acheres,11,0,12,0,0,0,17
Achern,887,11,169,0,0,35,142
Achhnera,58,0,0,0,0,0,0
Achim,601,8,155,1,0,15,174
Achinsk,278,1,0,0,0,0,12
Achkhoy Martan,0,0,0,0,0,0,0
Aci Castello,357,0,0,0,0,0,6
Aci Catena,1174,3,7,0,0,1,9
Acin,0,0,0,0,0,0,0
Acireale,983,0,6,0,1,0,11
Aconibe,58,0,0,0,0,0,3
Acopiara,0,0,0,0,0,0,0
Acoyapa,140,1,0,0,0,0,6
Acquaviva Delle Fonti,0,0,0,0,0,0,0
Acqui Terme,530,19,106,0,0,7,19
Acri,0,0,0,0,0,0,0
Acton,1509,37,0,0,0,13,79
Actopan,0,0,0,0,0,0,0
Acu,3731,15,1,0,4,94,42
Acuautla,26,0,0,0,0,0,0
Acucena,91,0,0,0,0,0,0
Acuna,624,1,0,0,0,0,2
Acushnet,409,0,0,0,0,0,1
Acworth,476,1,0,0,1,0,2
Ada,21,0,27,0,0,0,174
Adalaj,350,0,0,0,0,0,0
Adamantina,764,0,0,0,0,0,1
Adana,2498,3,5,0,0,0,0
Addanki,0,0,0,0,0,0,0
Addi Ugri,0,0,0,0,0,0,0
Addis Abeba,0,0,0,0,0,0,0
Addis Zemen,1976,0,5,0,1,0,16
Addison,582,10,0,0,1,0,18
Adeje,0,0,0,0,0,0,0
Adelaide,1347,2,0,0,0,2,18
Adelanto,0,0,0,0,0,0,0
Adelfia,0,0,0,0,0,0,0
Adelphi,726,1,1,0,1,0,69
Aden,0,0,0,0,0,0,0
Adet,87,0,8,1,3,12,266
Adiake,0,0,0,0,0,0,0
Adilabad,0,0,0,0,0,0,0
Adilcevaz,103,0,0,0,0,0,0
Adiwerna,891,0,4,0,0,0,12
Adjud,149,2,1,0,0,0,14
Adjumani,11,0,0,0,0,0,0
Adliswil,688,8,20,0,11,25,176
Adolfo Ruiz Cortines,1740,0,0,0,0,4,14
Adoni,0,0,0,0,0,0,0
Adra,605,2,0,0,24,40,0
Adrano,1418,0,37,0,0,1,6
Adrar,0,0,0,0,0,0,0
Adrasmon,26,0,4,0,0,0,0
Adre,418,0,16,0,0,0,17
Adria,0,0,0,0,0,0,0
Adrian,361,2,0,0,5,0,9
Adur,0,0,0,0,0,0,0
Aduturai,406,0,0,0,0,0,0
Adwa,0,0,0,0,0,0,0
Adygeysk,0,0,0,0,0,0,0
Adzope,598,0,0,0,0,0,0
Aerzen,202,11,21,0,0,3,20
Aesch,0,0,0,0,0,0,0
Affery,195,0,0,0,0,0,1
Affoltern,0,0,0,0,0,0,0
Affton,0,0,0,0,0,0,0
Afgoye,51,0,25,0,0,0,9
Afikpo,0,0,0,0,0,0,0
Afipskiy,0,0,0,0,0,0,0
Aflao,316,0,1,1,0,0,0
Aflu,0,0,0,0,0,0,0
Afmadu,0,0,0,0,0,0,0
Afogados Da Ingazeira,0,0,0,0,0,0,0
Afonso Claudio,329,0,10,1,0,0,105
Afragola,915,25,92,0,0,0,23
Afsin,690,0,0,0,0,0,0
Afyonkarahisar,0,0,0,0,0,0,0
Afzalgarh,23,0,0,0,0,0,0
Afzalpur,32,1,0,0,0,0,0
Agadez,621,0,4,1,0,0,0
Agadir,0,0,0,0,0,0,0
Agar,21,0,1,0,0,0,0
Agaro,301,0,0,0,0,0,0
Agartala,0,0,0,0,0,0,0
Agawam,293,1,3,0,0,0,1
Agbor,821,0,0,0,0,0,0
Agboville,523,0,3,0,0,0,1
Agdam,0,0,0,0,0,0,0
Agdas,0,0,0,0,0,0,0
Agde,0,0,0,0,0,0,0
Agen,1447,9,8,0,30,65,74
Ageo,2368,40,371,0,0,0,55
Agha Jari,9,0,0,0,0,0,0
Agidel,83,8,2,0,0,1,8
Aginskoye,0,0,0,0,0,0,0
Agliana,588,15,58,0,0,0,8
Agnibilekrou,0,0,0,0,0,0,0
Agnita,0,0,0,0,0,0,0
Agogo,357,0,2,0,0,0,2
Agoo,0,0,0,0,0,0,0
Agoura Hills,405,0,0,0,0,0,11
Agra,0,0,0,0,0,0,0
Agrate Brianza,649,83,180,0,0,1,62
Agrestina,447,1,0,0,0,0,0
Agrigento,830,9,11,0,0,0,19
Agrinion,1441,5,24,0,0,0,5
Agropoli,471,5,4,0,0,0,0
Agstafa,0,0,0,0,0,0,0
Agsu,0,0,0,0,0,0,0
Agua Branca,0,0,0,0,0,0,0
Agua De Dios,263,0,0,0,0,0,0
Agua Dulce,158,0,1,0,0,0,0
Agua Preta,0,0,0,0,0,0,0
Agua Prieta,0,0,0,0,0,0,0
Aguachica,526,4,0,0,0,0,20
Aguada De Pasajeros,0,0,0,0,0,0,0
Aguadas,150,0,5,0,0,0,7
Aguadilla,0,0,0,0,0,0,0
Aguadulce,135,5,2,0,0,1,0
Aguai,490,23,23,0,0,0,27
Aguas Belas,567,0,1,0,0,0,8
Aguas De Lindoia,388,0,5,0,0,0,55
Aguas Formosas,0,0,0,0,0,0,0
Aguas Santas,0,0,0,0,0,0,0
Aguas Vermelhas,0,0,0,0,0,0,0
Aguascalientes,1960,2,0,0,0,1,16
Aguazul,0,0,0,0,0,0,0
Agudos,528,1,0,0,0,0,2
Agueda,0,0,0,0,0,0,0
Aguie,213,0,0,0,0,0,0
Aguilar De La Frontera,272,7,0,0,0,0,0
Aguilares,428,0,0,0,0,1,0
Aguilas,839,7,15,1,0,4,8
Aguimes,553,1,52,0,1,8,0
Aguisan,53,1,20,0,0,0,0
Agulu,137,0,0,0,0,0,0
Agustin Codazzi,526,0,2,0,0,0,9
Ahar,1723,0,0,0,0,0,0
Ahaus,0,0,0,0,0,0,0
Ahlat,224,0,0,0,0,0,0
Ahlen,668,29,81,0,0,18,103
Ahmadabad,0,0,0,0,0,0,0
Ahmadnagar,11,0,0,0,0,0,0
Ahmadpur,0,0,0,0,0,0,0
Ahmadpur East,403,0,0,0,0,0,0
Ahmadpur Sial,0,0,0,0,0,0,0
Ahome,59,0,0,0,0,0,0
Ahraura,0,0,0,0,0,0,0
Ahrensburg,676,5,24,0,29,28,98
Ahuachapan,0,0,0,0,0,0,0
Ahualulco,0,0,0,0,0,0,0
Ahvaz,0,0,0,0,0,0,0
Ahwa,54,0,0,0,0,0,0
Aichach,0,0,0,0,0,0,0
Aigaleo,2178,32,18,0,0,27,9
Aiken,0,0,0,0,0,0,0
Aimores,0,0,0,0,0,0,0
Aioi,0,0,0,0,0,0,0
Airdrie,0,0,0,0,0,0,0
