Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,roads,dump_sites,agricultural_fields,wind_speed,wind_direction,Air Quality
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,34.0,4.0,3.0,0.3,355.0,Moderate
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6.0,28.0,2.0,3.0,0.5,355.0,Moderate
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,36.0,0.0,11.0,0.6,355.0,Moderate
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,45.0,3.0,9.0,0.5,355.0,Good
26.5,70.7,6.9,16.0,21.9,5.6,1.01,12.7,27.0,2.0,4.0,0.3,355.0,Good
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,27.0,0.0,2.0,0.3,355.0,Hazardous
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,45.0,2.0,13.0,0.3,355.0,Poor
31.0,59.6,5.0,16.8,24.2,13.6,1.38,6.3,37.0,2.0,2.0,0.3,355.0,Moderate
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,25.0,2.0,7.0,0.3,355.0,Poor
33.2,80.5,11.1,24.4,32.0,15.3,1.69,4.9,35.0,2.0,7.0,0.3,355.0,Poor
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13.0,25.0,3.0,6.0,0.3,355.0,Good
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,25.0,1.0,9.0,0.3,355.0,Moderate
20.0,53.3,3.7,12.9,26.1,6.6,1.09,10.2,32.0,2.0,2.0,0.3,355.0,Good
28.6,53.7,28.9,34.0,23.2,4.5,1.02,11.0,10.0,2.0,13.0,0.3,355.0,Good
22.3,80.5,4.5,12.0,17.2,6.3,1.18,10.4,12.0,3.0,2.0,0.3,355.0,Good
32.0,78.9,22.4,29.9,27.5,11.8,1.48,7.9,24.0,2.0,5.0,0.3,355.0,Moderate
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,19.0,4.0,0.0,0.3,355.0,Good
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,33.0,2.0,10.0,0.3,355.0,Poor
34.7,59.3,9.0,15.7,28.5,7.1,1.52,6.1,20.0,1.0,13.0,0.3,355.0,Moderate
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,15.0,1.0,14.0,0.3,355.0,Poor
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8.0,44.0,0.0,10.0,0.3,355.0,Moderate
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,27.0,2.0,4.0,0.3,355.0,Good
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10.0,30.0,4.0,6.0,0.3,355.0,Good
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,15.0,1.0,4.0,0.3,355.0,Good
26.2,49.9,0.5,2.0,22.9,2.3,0.94,17.9,24.0,0.0,1.0,0.3,355.0,Good
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,31.0,2.0,4.0,0.3,355.0,Good
30.0,69.2,2.0,3.9,15.3,5.2,1.09,10.1,18.0,0.0,9.0,0.3,355.0,Good
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,33.0,0.0,2.0,0.3,355.0,Poor
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,23.0,3.0,0.0,0.3,355.0,Good
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,27.0,2.0,0.0,0.3,355.0,Hazardous
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,23.0,3.0,9.0,0.3,355.0,Hazardous
23.3,45.2,24.0,29.0,26.6,5.3,0.96,10.9,48.0,1.0,0.0,0.3,355.0,Good
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,29.0,1.0,4.0,0.3,355.0,Poor
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10.0,19.0,2.0,4.0,0.3,355.0,Poor
21.8,79.6,7.1,16.8,14.5,6.0,0.91,10.8,38.0,4.0,7.0,0.3,355.0,Good
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,17.0,3.0,6.0,0.3,355.0,Moderate
27.5,78.9,30.2,34.1,15.3,3.0,0.98,11.1,32.0,1.0,7.0,0.3,355.0,Good
28.0,72.2,18.5,25.0,24.9,6.1,1.32,13.2,10.0,4.0,5.0,0.3,355.0,Good
22.2,50.0,2.3,8.4,23.5,3.7,0.96,10.2,16.0,1.0,2.0,0.3,355.0,Good
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,31.0,3.0,9.0,0.3,355.0,Hazardous
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,37.0,1.0,0.0,0.3,355.0,Hazardous
30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,31.0,1.0,9.0,0.3,355.0,Poor
39.3,78.9,68.9,85.2,43.7,13.0,1.7,8.5,28.0,2.0,10.0,0.4,355.0,Poor
24.7,64.9,17.3,37.0,27.2,14.9,1.48,5.5,26.0,3.0,15.0,0.3,355.0,Poor
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,15.0,1.0,2.0,0.3,355.0,Moderate
17.4,56.5,2.6,6.9,21.0,3.5,0.92,11.6,22.0,3.0,3.0,0.3,355.0,Good
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,25.0,2.0,6.0,0.3,355.0,Good
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,40.0,2.0,5.0,0.4,355.0,Good
22.4,69.3,2.2,8.4,19.6,3.0,0.92,10.2,33.0,2.0,9.0,0.5,355.0,Good
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,12.0,0.0,8.0,0.5,355.0,Moderate
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,33.0,5.0,4.0,0.5,355.0,Hazardous
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,26.0,2.0,5.0,0.5,355.0,Good
32.6,65.1,4.1,19.3,28.0,14.5,1.45,6.3,23.0,2.0,9.0,0.5,355.0,Moderate
46.1,100.3,144.0,169.8,42.5,16.1,2.3,7.3,36.0,0.0,0.0,0.5,355.0,Hazardous
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,40.0,4.0,5.0,0.4,355.0,Hazardous
48.1,94.1,4.2,19.0,23.7,6.0,1.57,6.0,39.0,1.0,8.0,0.5,355.0,Poor
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,21.0,1.0,1.0,0.6,355.0,Moderate
29.0,83.5,31.5,44.4,27.0,-2.8,1.49,5.7,26.0,5.0,0.0,0.6,355.0,Moderate
24.9,82.2,19.5,27.9,25.6,2.0,1.54,8.1,33.0,0.0,11.0,0.7,355.0,Moderate
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,39.0,2.0,5.0,1.0,355.0,Poor
20.8,48.5,16.0,19.7,11.2,2.5,1.17,10.2,25.0,1.0,0.0,0.9,355.0,Good
28.2,71.7,75.2,90.0,30.8,5.0,1.81,4.8,28.0,3.0,9.0,0.9,355.0,Poor
32.0,69.7,95.7,110.4,36.1,20.5,2.3,6.8,18.0,2.0,5.0,1.0,355.0,Poor
21.5,60.0,14.6,20.6,20.9,1.6,0.94,10.7,18.0,5.0,1.0,0.8,355.0,Good
29.6,63.1,12.8,15.9,22.0,3.8,1.16,11.0,38.0,3.0,7.0,1.1,353.0,Good
17.5,73.8,3.3,8.8,16.2,8.4,0.83,10.8,43.0,2.0,6.0,1.0,350.0,Good
33.2,49.8,1.4,23.3,23.0,25.8,2.06,6.8,29.0,2.0,3.0,0.9,350.0,Poor
58.6,66.0,44.0,54.0,44.3,22.7,3.09,5.2,40.0,1.0,2.0,0.8,350.0,Hazardous
28.1,51.8,36.0,40.3,26.4,5.4,1.15,10.8,33.0,0.0,1.0,0.8,350.0,Good
32.0,74.9,43.3,45.5,28.8,9.5,1.42,7.8,23.0,1.0,8.0,0.9,350.0,Moderate
25.0,63.9,9.3,10.8,15.8,4.6,0.92,10.1,33.0,3.0,1.0,1.0,352.0,Good
25.7,69.3,15.7,25.0,27.7,10.6,1.44,9.5,45.0,1.0,2.0,0.8,354.0,Moderate
35.1,69.2,7.9,30.3,35.3,27.6,2.07,4.9,29.0,1.0,6.0,0.9,354.0,Hazardous
26.7,63.2,6.8,9.3,13.4,4.9,0.98,10.0,45.0,0.0,11.0,0.8,354.0,Good
