id,lat,lon
pt_00001,8.093018,77.443716
pt_00002,8.317596,77.222009
pt_00003,8.317596,77.448974
pt_00004,8.317596,77.675939
pt_00005,8.317596,77.902904
pt_00006,8.542173,77.000187
pt_00007,8.542173,77.227284
pt_00008,8.542173,77.454381
pt_00009,8.542173,77.681478
pt_00010,8.542173,77.908575
pt_00011,8.766751,76.77824
pt_00012,8.766751,77.005473
pt_00013,8.766751,77.232705
pt_00014,8.766751,77.459938
pt_00015,8.766751,77.68717
pt_00016,8.766751,77.914403
pt_00017,8.766751,78.141635
pt_00018,8.991329,76.556157
pt_00019,8.991329,76.783529
pt_00020,8.991329,77.010901
pt_00021,8.991329,77.238272
pt_00022,8.991329,77.465644
pt_00023,8.991329,77.693016
pt_00024,8.991329,77.920388
pt_00025,8.991329,78.147759
pt_00026,9.215907,76.561443
pt_00027,9.215907,76.788957
pt_00028,9.215907,77.016472
pt_00029,9.215907,77.243987
pt_00030,9.215907,77.471501
pt_00031,9.215907,77.699016
pt_00032,9.215907,77.92653
pt_00033,9.215907,78.154045
pt_00034,9.215907,78.381559
pt_00035,9.215907,78.609074
pt_00036,9.440485,76.339203
pt_00037,9.440485,76.566864
pt_00038,9.440485,76.794526
pt_00039,9.440485,77.022187
pt_00040,9.440485,77.249848
pt_00041,9.440485,77.477509
pt_00042,9.440485,77.70517
pt_00043,9.440485,77.932831
pt_00044,9.440485,78.160492
pt_00045,9.440485,78.388153
pt_00046,9.440485,78.615815
pt_00047,9.440485,78.843476
pt_00048,9.665062,76.344611
pt_00049,9.665062,76.572423
pt_00050,9.665062,76.800234
pt_00051,9.665062,77.028045
pt_00052,9.665062,77.255857
pt_00053,9.665062,77.483668
pt_00054,9.665062,77.711479
pt_00055,9.665062,77.939291
pt_00056,9.665062,78.167102
pt_00057,9.665062,78.394913
pt_00058,9.665062,78.622725
pt_00059,9.665062,78.850536
pt_00060,9.88964,76.578118
pt_00061,9.88964,76.806083
pt_00062,9.88964,77.034048
pt_00063,9.88964,77.262014
pt_00064,9.88964,77.489979
pt_00065,9.88964,77.717944
pt_00066,9.88964,77.945909
pt_00067,9.88964,78.173875
pt_00068,9.88964,78.40184
pt_00069,9.88964,78.629805
pt_00070,9.88964,78.857771
pt_00071,9.88964,79.085736
pt_00072,10.114218,76.355828
pt_00073,10.114218,76.583951
pt_00074,10.114218,76.812073
pt_00075,10.114218,77.040196
pt_00076,10.114218,77.268319
pt_00077,10.114218,77.496442
pt_00078,10.114218,77.724565
pt_00079,10.114218,77.952688
pt_00080,10.114218,78.180811
pt_00081,10.114218,78.408934
pt_00082,10.114218,78.637057
pt_00083,10.114218,78.86518
pt_00084,10.114218,79.093303
pt_00085,10.338796,76.133353
pt_00086,10.338796,76.361637
pt_00087,10.338796,76.589921
pt_00088,10.338796,76.818205
pt_00089,10.338796,77.04649
pt_00090,10.338796,77.274774
pt_00091,10.338796,77.503058
pt_00092,10.338796,77.731343
pt_00093,10.338796,77.959627
pt_00094,10.338796,78.187911
pt_00095,10.338796,78.416195
pt_00096,10.338796,78.64448
pt_00097,10.338796,78.872764
pt_00098,10.338796,79.101048
pt_00099,10.338796,79.329333
pt_00100,10.338796,79.557617
pt_00101,10.338796,79.785901
pt_00102,10.563373,76.139131
pt_00103,10.563373,76.367581
pt_00104,10.563373,76.59603
pt_00105,10.563373,76.82448
pt_00106,10.563373,77.052929
pt_00107,10.563373,77.281378
pt_00108,10.563373,77.509828
pt_00109,10.563373,77.738277
pt_00110,10.563373,77.966727
pt_00111,10.563373,78.195176
pt_00112,10.563373,78.423625
pt_00113,10.563373,78.652075
pt_00114,10.563373,78.880524
pt_00115,10.563373,79.108973
pt_00116,10.563373,79.337423
pt_00117,10.563373,79.565872
pt_00118,10.563373,79.794322
pt_00119,10.787951,76.145042
pt_00120,10.787951,76.37366
pt_00121,10.787951,76.602278
pt_00122,10.787951,76.830896
pt_00123,10.787951,77.059515
pt_00124,10.787951,77.288133
pt_00125,10.787951,77.516751
pt_00126,10.787951,77.745369
pt_00127,10.787951,77.973988
pt_00128,10.787951,78.202606
pt_00129,10.787951,78.431224
pt_00130,10.787951,78.659842
pt_00131,10.787951,78.888461
pt_00132,10.787951,79.117079
pt_00133,10.787951,79.345697
pt_00134,10.787951,79.574315
pt_00135,10.787951,79.802934
pt_00136,11.012529,75.922293
pt_00137,11.012529,76.151084
pt_00138,11.012529,76.379875
pt_00139,11.012529,76.608665
pt_00140,11.012529,76.837456
pt_00141,11.012529,77.066247
pt_00142,11.012529,77.295038
pt_00143,11.012529,77.523829
pt_00144,11.012529,77.75262
pt_00145,11.012529,77.981411
pt_00146,11.012529,78.210202
pt_00147,11.012529,78.438993
pt_00148,11.012529,78.667783
pt_00149,11.012529,78.896574
pt_00150,11.012529,79.125365
pt_00151,11.012529,79.354156
pt_00152,11.012529,79.582947
pt_00153,11.012529,79.811738
pt_00154,11.237107,75.928291
