id,lat,lon,aqi,pm25,pm10,no2,so2,co,o3,temp_c,humidity,wind_speed,wind_deg,weather_desc,roads,industrial,farmland,dump
pt_00001,8.093018,77.443716,93.0,93.0,63.0,0.1,7.0,3.1,6.7,28.66,59.0,3.56,51.0,overcast clouds,3,0,0,0
pt_00002,8.317596,77.222009,93.0,93.0,63.0,0.1,7.0,3.1,6.7,32.26,43.0,2.06,210.0,overcast clouds,34,0,0,0
pt_00003,8.317596,77.448974,93.0,93.0,63.0,0.1,7.0,3.1,6.7,30.75,45.0,2.43,46.0,overcast clouds,6,0,0,0
pt_00004,8.317596,77.675939,66.0,,66.0,3.9,2.5,7.3,11.8,28.75,56.0,6.6,14.0,overcast clouds,5,0,0,0
pt_00005,8.317596,77.902904,66.0,,66.0,3.9,2.5,7.3,11.8,28.37,62.0,7.83,20.0,overcast clouds,3,0,0,0
pt_00006,8.542173,77.000187,93.0,93.0,63.0,0.1,7.0,3.1,6.7,31.6,62.0,3.09,210.0,overcast clouds,90,0,0,0
pt_00007,8.542173,77.227284,93.0,93.0,63.0,0.1,7.0,3.1,6.7,32.23,43.0,1.36,57.0,overcast clouds,0,0,0,0
pt_00008,8.542173,77.454381,93.0,93.0,63.0,0.1,7.0,3.1,6.7,26.71,53.0,2.87,32.0,overcast clouds,0,0,0,0
pt_00009,8.542173,77.681478,66.0,,66.0,3.9,2.5,7.3,11.8,28.12,57.0,5.2,5.0,overcast clouds,3,0,0,0
pt_00010,8.542173,77.908575,66.0,,66.0,3.9,2.5,7.3,11.8,27.98,57.0,6.37,15.0,overcast clouds,4,0,0,0
pt_00011,8.766751,76.77824,152.0,152.0,58.0,2.4,1.0,4.7,14.9,30.71,50.0,2.49,212.0,overcast clouds,16,1,3,0
pt_00012,8.766751,77.005473,152.0,152.0,58.0,2.4,1.0,4.7,14.9,32.55,42.0,1.14,71.0,overcast clouds,11,0,0,0
pt_00013,8.766751,77.232705,93.0,93.0,63.0,0.1,7.0,3.1,6.7,24.71,52.0,2.57,77.0,overcast clouds,0,0,0,0
pt_00014,8.766751,77.459938,93.0,93.0,63.0,0.1,7.0,3.1,6.7,28.19,53.0,1.92,55.0,overcast clouds,2,0,0,0
pt_00015,8.766751,77.68717,66.0,,66.0,3.9,2.5,7.3,11.8,28.34,53.0,3.96,16.0,overcast clouds,53,1,0,0
pt_00016,8.766751,77.914403,66.0,,66.0,3.9,2.5,7.3,11.8,27.88,74.0,3.09,10.0,haze,1,0,0,0
pt_00017,8.766751,78.141635,66.0,,66.0,3.9,2.5,7.3,11.8,28.19,74.0,3.09,10.0,haze,17,0,0,0
pt_00018,8.991329,76.556157,152.0,152.0,58.0,2.4,1.0,4.7,14.9,28.2,61.0,3.79,297.0,overcast clouds,45,0,0,0
pt_00019,8.991329,76.783529,152.0,152.0,58.0,2.4,1.0,4.7,14.9,32.63,42.0,1.52,63.0,overcast clouds,46,0,0,0
pt_00020,8.991329,77.010901,152.0,152.0,58.0,2.4,1.0,4.7,14.9,31.57,43.0,3.18,96.0,overcast clouds,13,0,0,0
pt_00021,8.991329,77.238272,152.0,152.0,58.0,2.4,1.0,4.7,14.9,28.46,52.0,3.33,98.0,overcast clouds,1,0,0,0
pt_00022,8.991329,77.465644,66.0,,66.0,3.9,2.5,7.3,11.8,28.15,49.0,2.27,61.0,overcast clouds,3,0,0,0
pt_00023,8.991329,77.693016,66.0,,66.0,3.9,2.5,7.3,11.8,28.37,51.0,4.11,29.0,overcast clouds,5,0,0,0
pt_00024,8.991329,77.920388,66.0,,66.0,3.9,2.5,7.3,11.8,28.46,57.0,5.86,23.0,overcast clouds,0,0,0,0
pt_00025,8.991329,78.147759,66.0,,66.0,3.9,2.5,7.3,11.8,29.12,59.0,6.92,27.0,overcast clouds,8,0,0,0
pt_00026,9.215907,76.561443,152.0,152.0,58.0,2.4,1.0,4.7,14.9,30.5,51.0,2.25,285.0,overcast clouds,50,0,32,0
pt_00027,9.215907,76.788957,152.0,152.0,58.0,2.4,1.0,4.7,14.9,32.68,44.0,0.79,334.0,overcast clouds,0,0,0,0
pt_00028,9.215907,77.016472,152.0,152.0,58.0,2.4,1.0,4.7,14.9,29.78,46.0,1.54,176.0,overcast clouds,0,0,0,0
pt_00029,9.215907,77.243987,152.0,152.0,58.0,2.4,1.0,4.7,14.9,22.39,56.0,3.01,103.0,overcast clouds,0,0,0,0
pt_00030,9.215907,77.471501,66.0,,66.0,3.9,2.5,7.3,11.8,27.83,53.0,3.04,77.0,overcast clouds,0,0,0,0
pt_00031,9.215907,77.699016,66.0,,66.0,3.9,2.5,7.3,11.8,27.82,52.0,4.13,37.0,overcast clouds,0,0,0,0
pt_00032,9.215907,77.92653,66.0,,66.0,3.9,2.5,7.3,11.8,28.28,57.0,5.56,26.0,overcast clouds,0,0,0,0
pt_00033,9.215907,78.154045,66.0,,66.0,3.9,2.5,7.3,11.8,28.87,58.0,6.78,27.0,overcast clouds,1,0,0,0
pt_00034,9.215907,78.381559,77.0,,77.0,0.9,2.0,3.2,1.9,28.87,59.0,7.33,25.0,overcast clouds,6,1,0,0
pt_00035,9.215907,78.609074,77.0,,77.0,0.9,2.0,3.2,1.9,28.87,60.0,7.35,26.0,overcast clouds,2,0,0,0
pt_00036,9.440485,76.339203,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.59,63.0,3.12,316.0,overcast clouds,83,0,0,0
pt_00037,9.440485,76.566864,158.0,158.0,66.0,2.4,0.3,9.1,6.9,32.3,45.0,0.89,273.0,overcast clouds,76,0,7,0
pt_00038,9.440485,76.794526,158.0,158.0,66.0,2.4,0.3,9.1,6.9,31.66,46.0,1.84,263.0,overcast clouds,11,0,1,0
pt_00039,9.440485,77.022187,152.0,152.0,58.0,2.4,1.0,4.7,14.9,31.99,44.0,1.23,235.0,overcast clouds,0,0,0,0
pt_00040,9.440485,77.249848,152.0,152.0,58.0,2.4,1.0,4.7,14.9,24.41,53.0,2.47,93.0,overcast clouds,0,0,0,0
pt_00041,9.440485,77.477509,66.0,,66.0,3.9,2.5,7.3,11.8,28.81,52.0,3.09,101.0,overcast clouds,0,0,0,0
pt_00042,9.440485,77.70517,66.0,,66.0,3.9,2.5,7.3,11.8,27.96,51.0,3.49,56.0,overcast clouds,8,0,0,0
pt_00043,9.440485,77.932831,66.0,,66.0,3.9,2.5,7.3,11.8,28.15,55.0,5.0,31.0,overcast clouds,3,0,0,0
pt_00044,9.440485,78.160492,66.0,,66.0,3.9,2.5,7.3,11.8,28.06,59.0,6.82,27.0,overcast clouds,1,1,0,0
pt_00045,9.440485,78.388153,77.0,,77.0,0.9,2.0,3.2,1.9,28.51,59.0,7.42,24.0,overcast clouds,8,0,0,0
pt_00046,9.440485,78.615815,77.0,,77.0,0.9,2.0,3.2,1.9,29.08,56.0,7.24,21.0,overcast clouds,8,0,0,0
pt_00047,9.440485,78.843476,77.0,,77.0,0.9,2.0,3.2,1.9,28.55,60.0,7.64,26.0,overcast clouds,1,0,0,0
pt_00048,9.665062,76.344611,158.0,158.0,66.0,2.4,0.3,9.1,6.9,27.19,64.0,3.45,309.0,overcast clouds,98,2,4,0
