longitude,latitude,location_id,location_name,Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,roads,dump_sites,agricultural_fields,wind_speed,wind_direction,Air Quality
87.716664,23.919222,12021060659,Chennai,29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,34,4,3,0.3,355,Moderate
76.581791,8.101815,797846414,Bengaluru,28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,28,2,3,0.5,355,Moderate
75.723057,9.16057,11948681927,Hyderabad,23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,36,0,11,0.6,355,Moderate
84.650543,13.824685,2573451924,Mumbai,27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,45,3,9,0.5,355,Good
96.398673,13.394245,10514771705,Delhi,26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,27,2,4,0.3,355,Good
81.140882,15.388005,9029323606,Pune,39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,27,0,2,0.3,355,Hazardous
95.191472,16.843104,10572393546,Kolkata,41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,45,2,13,0.3,355,Poor
94.516542,18.441899,13508510183,Coimbatore,31,59.6,5,16.8,24.2,13.6,1.38,6.3,37,2,2,0.3,355,Moderate
75.359116,20.195593,4547253172,Madurai,29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,25,2,7,0.3,355,Poor
79.652763,10.867124,7405928407,Trichy,33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,35,2,7,0.3,355,Poor
86.655772,9.228496,4308312065,Salem,26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,25,3,6,0.3,355,Good
83.023331,27.544389,2662062880,Erode,32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,25,1,9,0.3,355,Moderate
70.782797,23.58271,4335316860,Tiruppur,20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,32,2,2,0.3,355,Good
96.817243,20.880182,12993954264,Kochi,28.6,53.7,28.9,34,23.2,4.5,1.02,11,10,2,13,0.3,355,Good
89.826966,26.398758,2263890010,Thiruvananthapuram,22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,12,3,2,0.3,355,Good
80.693127,32.002703,10317324414,Ahmedabad,32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,24,2,5,0.3,355,Moderate
85.926888,20.403094,4505394815,Surat,22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,19,4,0,0.3,355,Good
70.539612,26.592464,13894647182,Vadodara,37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,33,2,10,0.3,355,Poor
82.363748,35.653594,4694118973,Jaipur,34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,20,1,13,0.3,355,Moderate
94.99414,32.34911,11255882301,Lucknow,37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,15,1,14,0.3,355,Poor
94.001428,20.354024,10242596331,Kanpur,27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,44,0,10,0.3,355,Moderate
77.784045,26.696788,12822879091,Patna,27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,27,2,4,0.3,355,Good
83.409668,13.135057,12293350500,Ranchi,25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,30,4,6,0.3,355,Good
88.224122,24.255143,11521833222,Bhubaneswar,24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,15,1,4,0.3,355,Good
77.860269,36.45852,1944879560,Visakhapatnam,26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,24,0,1,0.3,355,Good
69.881497,23.031138,8656907153,Vijayawada,22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,31,2,4,0.3,355,Good
82.657808,34.901511,5960318585,Guntur,30,69.2,2,3.9,15.3,5.2,1.09,10.1,18,0,9,0.3,355,Good
85.447436,19.812713,78574553,Warangal,37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,33,0,2,0.3,355,Poor
68.169406,36.9665,1001681409,Nizamabad,29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,23,3,0,0.3,355,Good
70.771686,24.797381,13930098395,Nagpur,52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,27,2,0,0.3,355,Hazardous
74.011429,9.225801,11534529083,Indore,44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,23,3,9,0.3,355,Hazardous
78.093516,25.015889,11219850283,Bhopal,23.3,45.2,24,29,26.6,5.3,0.96,10.9,48,1,0,0.3,355,Good
83.690485,15.962608,3588544903,Noida,35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,29,1,4,0.3,355,Poor
76.521445,8.941958,9344530082,Gurgaon,29.7,85.8,84.4,94.4,26.7,19.8,1.55,10,19,2,4,0.3,355,Poor
76.009331,31.804746,5984559824,Chennai,21.8,79.6,7.1,16.8,14.5,6,0.91,10.8,38,4,7,0.3,355,Good
93.211131,15.996159,13677599921,Bengaluru,27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,17,3,6,0.3,355,Moderate
