Temperature,Humidity,PM2.5,PM10,NO2,SO2,CO,Proximity_to_Industrial_Areas,Population_Density,roads,dump_sites,agricultural_fields,Air Quality
29.8,59.1,5.2,17.9,18.9,9.2,1.72,6.3,319,34,4,3,Moderate
28.3,75.6,2.3,12.2,30.8,9.7,1.64,6,611,28,2,3,Moderate
23.1,74.7,26.7,33.8,24.4,12.6,1.63,5.2,619,36,0,11,Moderate
27.1,39.1,6.1,6.3,13.5,5.3,1.15,11.1,551,45,3,9,Good
26.5,70.7,6.9,16,21.9,5.6,1.01,12.7,303,27,2,4,Good
39.4,96.6,14.6,35.5,42.9,17.9,1.82,3.1,674,27,0,2,Hazardous
41.7,82.5,1.7,15.8,31.1,12.7,1.8,4.6,735,45,2,13,Poor
31,59.6,5,16.8,24.2,13.6,1.38,6.3,443,37,2,2,Moderate
29.4,93.8,10.3,22.7,45.1,11.8,2.03,5.4,486,25,2,7,Poor
33.2,80.5,11.1,24.4,32,15.3,1.69,4.9,535,35,2,7,Poor
26.3,65.7,1.3,5.5,18.3,5.9,0.85,13,529,25,3,6,Good
32.5,51.2,1.6,10.5,21.6,19.3,1.53,5.9,519,25,1,9,Moderate
20,53.3,3.7,12.9,26.1,6.6,1.09,10.2,538,32,2,2,Good
28.6,53.7,28.9,34,23.2,4.5,1.02,11,508,10,2,13,Good
22.3,80.5,4.5,12,17.2,6.3,1.18,10.4,232,12,3,2,Good
32,78.9,22.4,29.9,27.5,11.8,1.48,7.9,444,24,2,5,Moderate
22.9,75.4,4.5,10.4,18.4,3.7,0.96,14.4,359,19,4,0,Good
37.6,81.2,28.1,56.6,46.7,13.7,1.85,4.1,560,33,2,10,Poor
34.7,59.3,9,15.7,28.5,7.1,1.52,6.1,437,20,1,13,Moderate
37.8,97.2,0.6,24.6,37.1,11.7,1.13,7.7,803,15,1,14,Poor
27.6,44.1,3.5,14.4,30.7,9.4,0.97,8,338,44,0,10,Moderate
27.6,77.5,3.8,10.9,9.1,1.7,1.04,14.4,520,27,2,4,Good
25.6,58.3,0.4,-0.2,25.3,4.5,0.98,10,536,30,4,6,Good
24.6,48.4,8.3,15.4,23.3,4.6,1.03,11.2,461,15,1,4,Good
26.2,49.9,0.5,2,22.9,2.3,0.94,17.9,581,24,0,1,Good
22.6,62.1,16.4,21.3,17.6,4.8,0.93,11.5,324,31,2,4,Good
30,69.2,2,3.9,15.3,5.2,1.09,10.1,297,18,0,9,Good
37.6,72.2,10.1,16.6,32.2,6.3,1.85,3.5,637,33,0,2,Poor
29.6,65.6,3.4,9.3,20.6,2.9,1.03,10.2,452,23,3,0,Good
52.5,83.9,67.5,91.2,31.6,34.6,2.31,2.9,785,27,2,0,Hazardous
44.7,97.9,34.6,57.3,28.1,22.6,1.78,3.5,562,23,3,9,Hazardous
23.3,45.2,24,29,26.6,5.3,0.96,10.9,575,48,1,0,Good
35.4,100.2,20.5,33.2,34.4,11.7,1.85,5.1,440,29,1,4,Poor
29.7,85.8,84.4,94.4,26.7,19.8,1.55,10,744,19,2,4,Poor
21.8,79.6,7.1,16.8,14.5,6,0.91,10.8,455,38,4,7,Good
27.7,86.1,83.3,93.5,25.3,6.8,1.71,7.4,594,17,3,6,Moderate
27.5,78.9,30.2,34.1,15.3,3,0.98,11.1,472,32,1,7,Good
28,72.2,18.5,25,24.9,6.1,1.32,13.2,480,10,4,5,Good
22.2,50,2.3,8.4,23.5,3.7,0.96,10.2,547,16,1,2,Good
33.3,70.1,55.1,72.7,40.5,30.7,2.12,4.9,612,31,3,9,Hazardous
37.5,83.7,3.1,2.2,39.5,29.2,2.61,2.5,898,37,1,0,Hazardous
30.9,94.4,48.3,67.1,31.4,23.3,1.75,4.3,779,31,1,9,Poor
39.3,78.9,68.9,85.2,43.7,13,1.7,8.5,570,28,2,10,Poor
24.7,64.9,17.3,37,27.2,14.9,1.48,5.5,453,26,3,15,Poor
27.8,62.8,8.7,13.2,29.7,15.8,1.4,8.1,604,15,1,2,Moderate
17.4,56.5,2.6,6.9,21,3.5,0.92,11.6,475,22,3,3,Good
18.1,70.1,3.1,8.1,19.7,5.8,1.18,12.9,273,25,2,6,Good
25.6,78.1,1.1,5.2,21.3,6.1,0.89,10.9,524,40,2,5,Good
22.4,69.3,2.2,8.4,19.6,3,0.92,10.2,339,33,2,9,Good
25.3,47.4,70.7,84.8,22.4,8.2,1.59,13.2,587,12,0,8,Moderate
42.1,89.8,12.1,35.3,41.4,30.4,2.67,2.8,861,33,5,4,Hazardous
27.5,45.3,2.8,10.1,13.7,4.1,0.82,10.6,236,26,2,5,Good
32.6,65.1,4.1,19.3,28,14.5,1.45,6.3,509,23,2,9,Moderate
46.1,100.3,144,169.8,42.5,16.1,2.3,7.3,443,36,0,0,Hazardous
33.5,81.2,23.4,56.5,34.2,27.2,1.95,3.7,600,40,4,5,Hazardous
48.1,94.1,4.2,19,23.7,6,1.57,6,625,39,1,8,Poor
31.6,76.7,21.4,26.9,30.1,17.4,1.29,7.6,663,21,1,1,Moderate
29,83.5,31.5,44.4,27,-2.8,1.49,5.7,538,26,5,0,Moderate
24.9,82.2,19.5,27.9,25.6,2,1.54,8.1,458,33,0,11,Moderate
27.7,99.4,17.8,29.9,37.5,9.9,1.74,5.4,588,39,2,5,Poor
20.8,48.5,16,19.7,11.2,2.5,1.17,10.2,432,25,1,0,Good
