City,Country,Location_Type,latitude,longitude,dist_road,road_count,dist_industry,industry_count,dist_farm,farm_count
Praskoveya,Russian Federation,Sector_2,44.77698,44.19112,1977.99,15.0,1226.79,9.0,989.89,10.0
Praskoveya,Russian Federation,City Center,44.7444,44.2031,789.86,6.0,,,1194.8,25.0
Presidente Dutra,Brazil,Sector_1,-5.25046,-44.49919,1891.22,1.0,,,,
Presidente Dutra,Brazil,Sector_2,-5.2867,-44.5462,181.36,4.0,,,,
Presidente Dutra,Brazil,Sector_3,-5.26174,-44.42481,,,,,,
Presidente Dutra,Brazil,Sector_4,-5.31129,-44.50277,1567.01,27.0,,,,
Praskoveya,Russian Federation,Sector_3,44.71468,44.20559,619.06,5.0,,,0.0,15.0
Presidente Dutra,Brazil,City Center,-5.29,-44.49,394.09,52.0,956.55,2.0,,
Priolo Gargallo,Italy,Sector_1,37.19139,15.21214,,,,,,
Priolo Gargallo,Italy,Sector_3,37.11844,15.18669,462.84,69.0,1616.14,3.0,1844.93,5.0
Priolo Gargallo,Italy,Sector_4,37.19088,15.18865,1253.45,17.0,463.99,9.0,1669.25,5.0
Priolo Gargallo,Italy,City Center,37.1572,15.1802,550.6,126.0,1161.91,7.0,901.45,10.0
Priolo Gargallo,Italy,Sector_2,37.1863,15.12505,342.77,19.0,,,,
Przasnysz,Poland,Sector_2,53.08796,20.91148,,,,,,
Przasnysz,Poland,Sector_3,52.97444,20.91226,4345.25,1.0,,,0.0,191.0
Przasnysz,Poland,Sector_4,52.98758,20.91517,2077.18,3.0,2272.69,13.0,23.71,233.0
Przasnysz,Poland,Sector_1,52.9581,20.8244,3609.52,1.0,,,0.0,43.0
Punaauia,France,Sector_1,-17.67637,-149.65359,,,,,,
Punaauia,France,Sector_2,-17.59839,-149.62896,1845.33,45.0,,,,
Punaauia,France,Sector_3,-17.62964,-149.55574,,,,,,
Punaauia,France,Sector_4,-17.65037,-149.66884,,,,,,
Punta Gorda,United States of America,City Center,26.9298,-82.0454,215.47,51.0,1.83,45.0,,
Punta Gorda,United States of America,Sector_1,26.97418,-82.1088,1452.63,2.0,1960.98,4.0,,
Punta Gorda,United States of America,Sector_2,26.95555,-82.07238,657.54,38.0,458.02,24.0,2533.32,1.0
Praskoveya,Russian Federation,Sector_4,44.72426,44.17131,2276.61,5.0,,,0.0,21.0
Punta Gorda,United States of America,Sector_3,26.96491,-82.01798,190.72,30.0,1797.27,7.0,,
Punaauia,France,City Center,-17.6333,-149.6,683.07,78.0,0.0,3.0,,
Punta Gorda,United States of America,Sector_4,26.94918,-82.03179,815.45,61.0,790.47,31.0,2017.23,2.0
Puttlingen,Germany,Sector_1,49.32628,6.92082,166.11,82.0,1300.16,5.0,467.14,56.0
Puttlingen,Germany,Sector_3,49.31601,6.86636,64.96,52.0,3359.6,1.0,30.44,36.0
Puttlingen,Germany,Sector_2,49.30297,6.81163,133.59,45.0,570.03,12.0,741.17,26.0
Przasnysz,Poland,City Center,53.0191,20.8803,0.01,66.0,166.85,101.0,787.08,322.0
Praskoveya,Russian Federation,Sector_1,44.79657,44.17605,808.54,27.0,865.72,29.0,2959.01,1.0
Puurs,Belgium,Sector_2,51.07758,4.19909,,,,,,
Puurs,Belgium,Sector_3,51.1337,4.34008,530.12,59.0,31.0,12.0,1043.71,26.0
Puttlingen,Germany,Sector_4,49.30339,6.90456,426.9,51.0,1360.19,6.0,286.34,37.0
Puurs,Belgium,City Center,51.075,4.29,925.85,44.0,807.42,9.0,709.72,145.0
Puttlingen,Germany,City Center,49.2855,6.8872,375.65,68.0,768.85,9.0,510.13,30.0
Pyatigorsk,Russian Federation,Sector_2,44.11529,43.06688,1684.81,9.0,1465.42,19.0,,
Pyatigorsk,Russian Federation,Sector_3,44.03729,43.09941,226.29,71.0,1437.27,3.0,2714.39,2.0
Pyatigorsk,Russian Federation,Sector_4,44.0262,43.07636,163.59,87.0,469.0,8.0,3187.04,2.0
Qalyub,Egypt,City Center,30.1792,31.2056,271.49,23.0,,,,
Pyatigorsk,Russian Federation,City Center,44.0486,43.0594,647.55,96.0,772.38,14.0,,
Pyatigorsk,Russian Federation,Sector_1,44.04716,43.12156,365.5,89.0,997.72,2.0,594.42,9.0
Puurs,Belgium,Sector_1,51.10027,4.31203,2254.31,19.0,91.13,8.0,225.23,91.0
Puurs,Belgium,Sector_4,51.05879,4.32669,130.21,149.0,67.59,18.0,29.95,131.0
Qalyub,Egypt,Sector_3,30.21379,31.15129,569.39,20.0,,,,
Qalyub,Egypt,Sector_4,30.1985,31.27459,,,,,,
Qinzhou,China,City Center,21.95,108.6167,831.86,45.0,1248.22,4.0,,
Qalyub,Egypt,Sector_2,30.19962,31.14352,738.45,35.0,,,,
Qalyub,Egypt,Sector_1,30.18703,31.17623,,,,,,
Qinzhou,China,Sector_1,21.95686,108.5897,1249.75,36.0,2557.91,1.0,,
Qinzhou,China,Sector_2,21.98302,108.5705,2413.89,2.0,,,,
Qinzhou,China,Sector_4,21.98252,108.62476,0.71,43.0,841.76,3.0,,
Raalte,Netherlands,Sector_3,52.41524,6.26436,,,,,,
Raalte,Netherlands,Sector_2,52.3429,6.34535,3899.1,2.0,3245.56,1.0,166.11,102.0
